player_id,name,shirt,team,deg_out,deg_in,x_mean,y_mean,str_out,str_in,betweenness,betweenness_w,pagerank_w
104010,A. Rudiger,22.0,52,26,12,49.33288043478261,44.80904347826087,65.0,25.0,0.03564846755942354,0.03763440860215054,0.01391229885479545
534899,R. Asencio,35.0,52,25,12,48.442134146341466,20.952292682926828,60.0,21.0,0.035571815985468457,0.005376344086021506,0.013934170549806722
379868,J. Bellingham,5.0,52,25,18,65.18673913043479,37.701565217391305,56.0,43.0,0.09480397769208729,0.13709677419354838,0.0262894576061686
344644,F. Valverde,8.0,52,24,15,63.287109375,18.3886875,80.0,57.0,0.05345659031609687,0.2010752688172043,0.026594619209164692
20874,L. Modric,10.0,52,18,10,68.4348,23.300426666666667,50.0,15.0,0.006566652000104816,0.0,0.01244277422406679
347862,Rodrygo,11.0,52,18,9,73.98211267605635,16.283605633802818,47.0,22.0,0.0072477943190093486,0.007526881720430107,0.014028210469830445
296337,F. Mendy,23.0,52,18,11,61.595377358490566,56.6491320754717,29.0,15.0,0.025848029755813767,0.010035842293906808,0.013259657277978057
73798,T. Courtois,1.0,52,15,6,11.033513513513514,35.58421621621621,27.0,7.0,0.00582821543984532,0.001075268817204301,0.00823391463118835
353423,A. Tchouameni,14.0,52,15,10,57.575,37.825,33.0,12.0,0.006723076658725531,0.006810035842293906,0.011651271903187944
300713,K. Mbappe,9.0,52,14,8,69.50699999999999,34.442971428571425,18.0,11.0,0.0140997020485099,0.008602150537634409,0.008920864574633421
337782,V. Junior,7.0,52,12,7,70.91189189189188,55.521081081081086,22.0,10.0,0.008587429595494111,0.002688172043010753,0.008229036772961579
144511,L. Vazquez,17.0,52,11,6,68.75008474576272,9.971796610169491,41.0,31.0,0.004286412512218964,0.05698924731182796,0.01566493834245656
422957,F. Garcia,20.0,52,11,4,52.77057692307692,60.119846153846154,17.0,8.0,0.005022662003727923,0.002688172043010753,0.007267717797434996
369109,E. Camavinga,6.0,52,10,7,54.83370967741936,33.907870967741935,20.0,13.0,0.004675518627131531,0.001075268817204301,0.00831683630256259
317541,B. Diaz,21.0,52,8,8,72.77375,10.464444444444444,24.0,29.0,0.004679991454185003,0.013978494623655914,0.015343534924021343
434138,P. Barrios,8.0,63,17,27,41.97136363636364,35.59593939393939,57.0,81.0,0.11201803765042205,0.17473118279569894,0.09275200542107179
135914,J. M. Gimenez,2.0,63,15,20,30.62027027027027,27.876324324324322,33.0,46.0,0.05571198069435144,0.10618279569892473,0.053948649828270925
125547,R. D. Paul,5.0,63,14,19,59.47682432432432,18.431675675675674,53.0,91.0,0.03677879261311018,0.14928315412186377,0.09804877086594621
236511,C. Lenglet,15.0,63,12,20,35.47882978723404,52.58425531914894,40.0,71.0,0.017733055345257306,0.0913978494623656,0.07018260409806033
254582,M. Llorente,14.0,63,12,23,50.27105263157895,11.787859649122808,45.0,59.0,0.03705894373868399,0.07795698924731183,0.06730991720275638
80241,A. Griezmann,7.0,63,12,20,65.62694444444445,19.649481481481484,42.0,83.0,0.023053900485744523,0.03458781362007169,0.08360171045984037
365409,J. Alvarez,19.0,63,11,24,64.59337500000001,38.2789,27.0,49.0,0.05132038767847,0.06810035842293906,0.060846502655034884
375621,C. Gallagher,4.0,63,10,14,46.387173913043476,51.952,18.0,28.0,0.008137263853381812,0.00913978494623656,0.03343295488846236
76662,J. Oblak,13.0,63,10,8,11.055483870967741,33.5876129032258,20.0,13.0,0.006132927155847359,0.026881720430107527,0.016831050839738584
361812,Reinildo,23.0,63,8,16,51.41594594594595,59.966810810810806,27.0,47.0,0.006637582687001054,0.02204301075268817,0.047767057066994564
303728,N. Molina,16.0,63,7,13,53.07521739130435,8.393565217391304,11.0,21.0,0.02100711415227544,0.022311827956989248,0.03515592586440246
422918,G. Simeone,22.0,63,6,14,66.65884615384616,14.172769230769232,21.0,41.0,0.0020240506986650047,0.0,0.04402215153193362
381594,S. Lino,12.0,63,6,12,49.8435,57.39880000000001,8.0,17.0,0.00815078028364886,0.021505376344086023,0.02373677170645764
127604,A. Correa,10.0,63,4,8,72.6075,13.186333333333332,6.0,16.0,0.0010138248847926265,0.0,0.023059288540678367
25931,C. Azpilicueta,3.0,63,4,8,48.63409090909091,61.89236363636364,7.0,11.0,0.0029519077099722266,0.012903225806451613,0.014304811985685019
302497,A. Sorloth,9.0,63,3,6,57.945,36.613142857142854,4.0,8.0,0.0022712920293565457,0.0016129032258064516,0.01149608182861016
367008,R. L. Normand,24.0,63,3,9,40.845,12.681999999999999,7.0,14.0,0.00032816645719871526,0.0032258064516129032,0.01941444177579869
