csv,passes_total,passes_with_receiver,coverage_pct,nodes,edges,nx_path,pt_path
eventing-En Directo Ipswich 1-3 West Ham - Premier League 2024_2025.htm-2025-11-27.csv,1115,1105,99.1,32,293,data\processed\passes_eventing-En_Directo_Ipswich_1-3_West_Ham_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Ipswich_1-3_West_Ham_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Crystal Palace 4-2 Wolves - Premier League 2024_2025.htm-2025-11-27.csv,976,968,99.18,32,293,data\processed\passes_eventing-En_Directo_Crystal_Palace_4-2_Wolves_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Crystal_Palace_4-2_Wolves_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Liverpool 1-1 Crystal Palace - Premier League 2024_2025.htm-2025-11-27.csv,1011,1003,99.21,31,291,data\processed\passes_eventing-En_Directo_Liverpool_1-1_Crystal_Palace_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Liverpool_1-1_Crystal_Palace_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Wolves 0-2 Brighton - Premier League 2024_2025.htm-2025-11-27.csv,1035,1033,99.81,32,289,data\processed\passes_eventing-En_Directo_Wolves_0-2_Brighton_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Wolves_0-2_Brighton_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Fulham 1-3 Everton - Premier League 2024_2025.htm-2025-11-27.csv,953,948,99.48,32,286,data\processed\passes_eventing-En_Directo_Fulham_1-3_Everton_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Fulham_1-3_Everton_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Manchester United 0-2 West Ham - Premier League 2024_2025.htm-2025-11-27.csv,1056,1047,99.15,32,278,data\processed\passes_eventing-En_Directo_Manchester_United_0-2_West_Ham_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Manchester_United_0-2_West_Ham_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo West Ham 1-2 Nottingham Forest - Premier League 2024_2025.htm-2025-11-27.csv,923,915,99.13,32,277,data\processed\passes_eventing-En_Directo_West_Ham_1-2_Nottingham_Forest_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_West_Ham_1-2_Nottingham_Forest_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Brighton 3-2 Liverpool - Premier League 2024_2025.htm-2025-11-27.csv,987,977,98.99,31,276,data\processed\passes_eventing-En_Directo_Brighton_3-2_Liverpool_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Brighton_3-2_Liverpool_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Manchester United 2-0 Aston Villa - Premier League 2024_2025.htm-2025-11-27.csv,958,954,99.58,32,274,data\processed\passes_eventing-En_Directo_Manchester_United_2-0_Aston_Villa_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Manchester_United_2-0_Aston_Villa_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Chelsea 3-1 Liverpool - Premier League 2024_2025.htm-2025-11-27.csv,1080,1074,99.44,30,263,data\processed\passes_eventing-En_Directo_Chelsea_3-1_Liverpool_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Chelsea_3-1_Liverpool_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Brentford 4-3 Manchester United - Premier League 2024_2025.htm-2025-11-27.csv,965,955,98.96,32,255,data\processed\passes_eventing-En_Directo_Brentford_4-3_Manchester_United_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Brentford_4-3_Manchester_United_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Manchester City 3-1 Bournemouth - Premier League 2024_2025.htm-2025-11-27.csv,1117,1109,99.28,31,254,data\processed\passes_eventing-En_Directo_Manchester_City_3-1_Bournemouth_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Manchester_City_3-1_Bournemouth_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Tottenham 1-4 Brighton - Premier League 2024_2025.htm-2025-11-27.csv,890,885,99.44,32,252,data\processed\passes_eventing-En_Directo_Tottenham_1-4_Brighton_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Tottenham_1-4_Brighton_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Nottingham Forest 2-2 Leicester - Premier League 2024_2025.htm-2025-11-27.csv,860,856,99.53,30,251,data\processed\passes_eventing-En_Directo_Nottingham_Forest_2-2_Leicester_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Nottingham_Forest_2-2_Leicester_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Newcastle 0-1 Everton - Premier League 2024_2025.htm-2025-11-27.csv,908,905,99.67,29,251,data\processed\passes_eventing-En_Directo_Newcastle_0-1_Everton_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Newcastle_0-1_Everton_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Brentford 2-3 Fulham - Premier League 2024_2025.htm-2025-11-27.csv,816,807,98.9,31,250,data\processed\passes_eventing-En_Directo_Brentford_2-3_Fulham_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Brentford_2-3_Fulham_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Everton 2-0 Southampton - Premier League 2024_2025.htm-2025-11-27.csv,1081,1062,98.24,32,250,data\processed\passes_eventing-En_Directo_Everton_2-0_Southampton_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Everton_2-0_Southampton_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Everton 2-2 Ipswich - Premier League 2024_2025.htm-2025-11-27.csv,926,915,98.81,32,250,data\processed\passes_eventing-En_Directo_Everton_2-2_Ipswich_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Everton_2-2_Ipswich_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Liverpool 2-2 Arsenal - Premier League 2024_2025.htm-2025-11-27.csv,864,856,99.07,30,248,data\processed\passes_eventing-En_Directo_Liverpool_2-2_Arsenal_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Liverpool_2-2_Arsenal_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Arsenal 1-2 Bournemouth - Premier League 2024_2025.htm-2025-11-27.csv,901,890,98.78,30,247,data\processed\passes_eventing-En_Directo_Arsenal_1-2_Bournemouth_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Arsenal_1-2_Bournemouth_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Newcastle 2-0 Chelsea - Premier League 2024_2025.htm-2025-11-27.csv,987,978,99.09,29,247,data\processed\passes_eventing-En_Directo_Newcastle_2-0_Chelsea_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Newcastle_2-0_Chelsea_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Nottingham Forest 0-1 Chelsea - Premier League 2024_2025.htm-2025-11-27.csv,924,920,99.57,28,246,data\processed\passes_eventing-En_Directo_Nottingham_Forest_0-1_Chelsea_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Nottingham_Forest_0-1_Chelsea_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Wolves 1-1 Brentford - Premier League 2024_2025.htm-2025-11-27.csv,957,951,99.37,30,245,data\processed\passes_eventing-En_Directo_Wolves_1-1_Brentford_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Wolves_1-1_Brentford_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Aston Villa 1-0 Fulham - Premier League 2024_2025.htm-2025-11-27.csv,906,891,98.34,32,244,data\processed\passes_eventing-En_Directo_Aston_Villa_1-0_Fulham_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Aston_Villa_1-0_Fulham_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Bournemouth 2-0 Leicester - Premier League 2024_2025.htm-2025-11-27.csv,865,857,99.08,30,243,data\processed\passes_eventing-En_Directo_Bournemouth_2-0_Leicester_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Bournemouth_2-0_Leicester_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Bournemouth 0-1 Aston Villa - Premier League 2024_2025.htm-2025-11-27.csv,823,818,99.39,30,242,data\processed\passes_eventing-En_Directo_Bournemouth_0-1_Aston_Villa_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Bournemouth_0-1_Aston_Villa_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Aston Villa 2-0 Tottenham - Premier League 2024_2025.htm-2025-11-27.csv,930,922,99.14,30,240,data\processed\passes_eventing-En_Directo_Aston_Villa_2-0_Tottenham_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Aston_Villa_2-0_Tottenham_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Brighton 1-1 Newcastle - Premier League 2024_2025.htm-2025-11-27.csv,896,885,98.77,29,240,data\processed\passes_eventing-En_Directo_Brighton_1-1_Newcastle_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Brighton_1-1_Newcastle_-_Premier_League_2024_2025.htm-2025-11-27.pt
