"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Length","type_value_Angle","type_value_PassEndX","type_value_Zone","type_value_PassEndY","type_value_Chipped","type_value_Longball","type_value_ThrowIn","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_HeadPass","type_value_LayOff","type_value_ShotAssist","type_value_KeyPass","type_value_GoalMouthY","type_value_OutOfBoxCentre","type_value_RegularPlay","type_value_RelatedEventId","type_value_RightFoot","type_value_Assisted","type_value_GoalMouthZ","type_value_FirstTouch","type_value_MissHigh","type_value_IndividualPlay","type_value_GoalKick","type_value_Foul","type_value_FreekickTaken","type_value_Cross","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_KeeperThrow","type_value_Penalty","type_value_Yellow","type_value_DivingSave","type_value_KeeperSaved","type_value_MissLeft","type_value_BlockedY","type_value_BigChance","type_value_BlockedX","type_value_LowCentre","type_value_BoxCentre","type_value_Hands","type_value_ParriedSafe","type_value_KeeperSaveInTheBox","type_value_BoxLeft","type_value_Collected","type_value_MissRight","type_value_IntentionalAssist","type_value_FromCorner","type_value_CornerTaken","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_Head","type_value_LowRight","type_value_OverRun","type_value_LeftFoot","type_value_Blocked","type_value_OutfielderBlock","type_value_SmallBoxLeft","type_value_DeepBoxRight","type_value_HighRight","type_value_KeeperSaveObox","type_value_FastBreak","type_value_SmallBoxCentre","type_value_SixYardBlock","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_BoxRight","type_value_SetPiece","type_value_ParriedDanger","type_value_KeeperSaveInSixYard","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_SmallBoxRight","type_value_HighClaim","type_value_BlockedCross","type_value_AerialFoul","type_value_HighCentre","type_value_OneOnOne","value_Length","value_Angle","value_PassEndX","value_Zone","value_PassEndY","value_Chipped","value_Longball","value_ThrowIn","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_HeadPass","value_LayOff","value_ShotAssist","value_KeyPass","value_GoalMouthY","value_OutOfBoxCentre","value_RegularPlay","value_RelatedEventId","value_RightFoot","value_Assisted","value_GoalMouthZ","value_FirstTouch","value_MissHigh","value_IndividualPlay","value_GoalKick","value_Foul","value_FreekickTaken","value_Cross","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_KeeperThrow","value_Penalty","value_Yellow","value_DivingSave","value_KeeperSaved","value_MissLeft","value_BlockedY","value_BigChance","value_BlockedX","value_LowCentre","value_BoxCentre","value_Hands","value_ParriedSafe","value_KeeperSaveInTheBox","value_BoxLeft","value_Collected","value_MissRight","value_IntentionalAssist","value_FromCorner","value_CornerTaken","value_BigChanceCreated","value_IntentionalGoalAssist","value_Head","value_LowRight","value_OverRun","value_LeftFoot","value_Blocked","value_OutfielderBlock","value_SmallBoxLeft","value_DeepBoxRight","value_HighRight","value_KeeperSaveObox","value_FastBreak","value_SmallBoxCentre","value_SixYardBlock","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_BoxRight","value_SetPiece","value_ParriedDanger","value_KeeperSaveInSixYard","value_InvolvedPlayers","value_TeamFormation","value_CaptainPlayerId","value_TeamPlayerFormation","value_SmallBoxRight","value_HighClaim","value_BlockedCross","value_AerialFoul","value_HighCentre","value_OneOnOne","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,55,52.605,33.796,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,297546,40.95,38.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2796191615,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.7","2.74","39.0","Back","57.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.01689528,0.01262646,-0.00426882,"Valencia","Real Madrid",12,"Umar Sadiq","FW",TRUE,-11.8312336338606,0,156.930281271208,"U. Sadiq",1,1,"Valencia",1
2,4,0,4,55,40.845,38.76,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,456787,34.86,28.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2796191627,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.1","4.20","33.2","Back","41.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.01262646,0.01262646,0,"Valencia","Real Madrid",5,"Enzo Barrenechea","MC",TRUE,-6.04640968860282,0,-119.589505280247,"E. Barrenechea",2,1,"Valencia",2
3,5,0,6,55,35.175,28.424,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,427831,38.01,12.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2796191713,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.6","4.88","36.2","Back","17.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.01262646,0.01214719,-0.00047927,"Valencia","Real Madrid",15,"Cesar Tarrega","DC",TRUE,-0.451488955029461,0,-80.18539953034,"C. Tarrega",3,1,"Valencia",3
4,6,0,8,55,37.905,12.036,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,425591,40.425,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2796191759,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7","5.01","38.5","Back","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.01214719,0.01126267,-0.00088452,"Valencia","Real Madrid",3,"Cristhian Mosquera","DC",TRUE,-0.714822907057012,0,-73.1032721997458,"C. Mosquera",4,1,"Valencia",4
5,7,0,11,55,40.215,3.604,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 124, 128, 36, 37, 217, 218)",TRUE,362103,87.78,19.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2796191863,0,212,213,140,56,141,155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.1","0.32","83.6","Center","28.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,NA,NA,NA,"Valencia","Real Madrid",19,"Max Aarons","DR",TRUE,49.0159858842036,0,18.4230226678647,"M. Aarons",5,1,"Valencia",5
6,4,0,14,52,22.155,54.196,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,104010,2.94,36.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2796192027,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.1","3.88","2.8","Back","53.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.00942382,0.00941056,-1.32599999999993e-05,"Real Madrid","Valencia",22,"Antonio Rudiger","DC",TRUE,-16.8215361382156,0,-137.492388598032,"A. Rudiger",6,2,"Real Madrid",6
7,4.5,0,15.5,52,2.94,36.584,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,482830,4.515,32.3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.258333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.00941056,0.00941056,0,"Real Madrid","Valencia",26,"Fran Gonzalez","GK",TRUE,0,1.59332695719591,-69.8141969905352,"F. Gonzalez",7,2,"Real Madrid",7
8,5,0,17,52,4.515,32.3,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,482830,10.92,9.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2796192099,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.4","4.99","10.4","Back","14.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.00941056,0.00878589,-0.000624670000000001,"Real Madrid","Valencia",26,"Fran Gonzalez","GK",TRUE,3.35477740058894,0,-74.1154761756066,"F. Gonzalez",8,2,"Real Madrid",8
9,6,0,19,52,11.55,9.724,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,144511,1.575,17.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316666666666667,2796192253,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.4","2.50","1.5","Back","25.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,0.00878589,0.0088799,9.40100000000003e-05,"Real Madrid","Valencia",17,"Lucas Vazquez","DR",TRUE,-8.23918494471187,0,143.385523137434,"L. Vazquez",9,2,"Real Madrid",9
10,7,0,22,52,1.575,17.136,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 215)",TRUE,482830,26.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366666666666667,2796192325,0,212,213,140,56,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.3","5.65","25.6","Back","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-05 17:16:14",75382,"Santiago Bernabéu","Guillermo Cuadra Fernández","1 : 2",52,55,NA,NA,NA,"Real Madrid","Valencia",26,"Fran Gonzalez","GK",TRUE,0,0,-34.1050096943286,"F. Gonzalez",10,2,"Real Madrid",10
