"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_Zone","type_value_Angle","type_value_StandingSave","type_value_Length","type_value_PassEndY","type_value_Longball","type_value_RightFoot","type_value_Cross","type_value_RegularPlay","type_value_FirstTouch","type_value_SmallBoxCentre","type_value_BigChance","type_value_GoalMouthZ","type_value_LowRight","type_value_GoalMouthY","type_value_HeadPass","type_value_Chipped","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Foul","type_value_FreekickTaken","type_value_MissLeft","type_value_CornerTaken","type_value_Head","type_value_KeeperThrow","type_value_ShotAssist","type_value_KeyPass","type_value_LowCentre","type_value_Assisted","type_value_IndividualPlay","type_value_RelatedEventId","type_value_BlockedX","type_value_BlockedY","type_value_Blocked","type_value_BoxLeft","type_value_OutfielderBlock","type_value_ThrowIn","type_value_LayOff","type_value_LeftFoot","type_value_OtherBodyPart","type_value_OutOfBoxCentre","type_value_MissRight","type_value_GoalKick","type_value_ParriedSafe","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_FromCorner","type_value_Collected","type_value_KeeperSaveObox","type_value_OverRun","type_value_MissHigh","type_value_BlockedCross","type_value_IntentionalAssist","type_value_BoxCentre","type_value_Yellow","type_value_DeepBoxRight","type_value_DeepBoxLeft","type_value_HighClaim","type_value_LastMan","type_value_SetPiece","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_Penalty","type_value_KeeperWentWide","type_value_BoxRight","type_value_HighRight","type_value_LeadingToAttempt","type_value_LowLeft","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighCentre","type_value_Throughball","type_value_BigChanceCreated","type_value_SmallBoxLeft","type_value_Volley","type_value_KeeperMissed","type_value_PenaltyShootoutConcededGK","type_value_KeeperSaved","value_PassEndX","value_Zone","value_Angle","value_StandingSave","value_Length","value_PassEndY","value_Longball","value_RightFoot","value_Cross","value_RegularPlay","value_FirstTouch","value_SmallBoxCentre","value_BigChance","value_GoalMouthZ","value_LowRight","value_GoalMouthY","value_HeadPass","value_Chipped","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_Foul","value_FreekickTaken","value_MissLeft","value_CornerTaken","value_Head","value_KeeperThrow","value_ShotAssist","value_KeyPass","value_LowCentre","value_Assisted","value_IndividualPlay","value_RelatedEventId","value_BlockedX","value_BlockedY","value_Blocked","value_BoxLeft","value_OutfielderBlock","value_ThrowIn","value_LayOff","value_LeftFoot","value_OtherBodyPart","value_OutOfBoxCentre","value_MissRight","value_GoalKick","value_ParriedSafe","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_FromCorner","value_Collected","value_KeeperSaveObox","value_OverRun","value_MissHigh","value_BlockedCross","value_IntentionalAssist","value_BoxCentre","value_Yellow","value_DeepBoxRight","value_DeepBoxLeft","value_HighClaim","value_LastMan","value_SetPiece","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_Penalty","value_KeeperWentWide","value_BoxRight","value_HighRight","value_LeadingToAttempt","value_LowLeft","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighCentre","value_Throughball","value_BigChanceCreated","value_SmallBoxLeft","value_Volley","value_KeeperMissed","value_PenaltyShootoutConcededGK","value_KeeperSaved","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,63,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,365409,35.385,36.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2787431945,0,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.7","Back","2.98",NA,"17.4","54.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01689528,0.01262646,-0.00426882,"Atletico","Real Madrid",19,"Julian Alvarez","FW",TRUE,-17.1735599851192,0,170.52627791558,"J. Alvarez",1,1,"Atletico",1
2,4,0,2,63,35.28,36.72,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,434138,35.595,27.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2787431953,0,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.9","Back","4.75",NA,"9.1","40.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01262646,0.01262646,0,"Atletico","Real Madrid",8,"Pablo Barrios","MC",TRUE,0.0743169162123252,0,-88.0200849338477,"P. Barrios",2,1,"Atletico",2
3,5,0,4,63,37.59,28.696,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,125547,29.505,48.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2787431969,0,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.1","Back","1.97",NA,"20.9","70.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01262646,0.01110462,-0.00152184,"Atletico","Real Madrid",5,"Rodrigo De Paul","MC",TRUE,-9.16524154222193,0,112.716701962838,"R. D. Paul",3,1,"Atletico",3
4,5.5,0,5.5,63,29.505,48.008,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,236511,32.97,47.124,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.0916666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01110462,0.01110462,0,"Atletico","Real Madrid",15,"Clement Lenglet","DC",TRUE,0,3.56773890059712,-14.3121502029569,"C. Lenglet",4,1,"Atletico",4
5,6,0,7,63,32.97,47.124,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,236511,32.34,20.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2787431985,0,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.8","Back","4.69",NA,"26.7","30.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01110462,0.01110462,0,"Atletico","Real Madrid",15,"Clement Lenglet","DC",TRUE,-0.693493409040286,0,-91.3539023993744,"C. Lenglet",5,1,"Atletico",5
6,6.5,0,8.5,63,32.34,20.468,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,254582,34.335,24.276,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.141666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01110462,0.01110462,0,"Atletico","Real Madrid",14,"Marcos Llorente","DR",TRUE,0,2.57843281950267,62.3500892162858,"M. Llorente",6,1,"Atletico",6
7,7,0,10,63,34.335,24.276,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,254582,26.985,34.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2787431999,0,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.7","Back","2.18",NA,"12.9","51.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01269174,0.01132376,-0.00136798,"Atletico","Real Madrid",14,"Marcos Llorente","DR",TRUE,-6.68910045550075,0,124.717054942548,"M. Llorente",7,1,"Atletico",7
8,8,0,12,63,26.04,36.04,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,135914,25.62,52.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2787432021,0,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.4","Back","1.60",NA,"16.9","77.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01132376,0.00942382,-0.00189994,"Atletico","Real Madrid",2,"Jose Maria Gimenez","DC",TRUE,-2.62934383307216,0,91.4209363157862,"J. M. Gimenez",8,1,"Atletico",8
9,8.5,0,14,63,25.62,52.972,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,236511,28.245,59.5,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.00942382,0.00977659,0.000352770000000001,"Atletico","Real Madrid",15,"Clement Lenglet","DC",TRUE,0,0.735657246859844,68.0942515214014,"C. Lenglet",9,1,"Atletico",9
10,9,0,16,63,28.245,59.5,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 216, 218)",TRUE,236511,68.46,36.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2787432039,0,140,56,213,178,212,141,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.2","Center","5.77",NA,"46.3","53.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Atletico","Real Madrid",15,"Clement Lenglet","DC",TRUE,44.2439227529397,0,-29.6029086022897,"C. Lenglet",10,1,"Atletico",10
