"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_PassEndX","type_value_StandingSave","type_value_Zone","type_value_Angle","type_value_Length","type_value_Longball","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_ThrowIn","type_value_Foul","type_value_FreekickTaken","type_value_Chipped","type_value_Cross","type_value_RightFoot","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_Assisted","type_value_GoalMouthY","type_value_BoxCentre","type_value_RelatedEventId","type_value_LowLeft","type_value_LeftFoot","type_value_GoalMouthZ","type_value_BlockedX","type_value_BlockedY","type_value_RegularPlay","type_value_Collected","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_KeeperThrow","type_value_OtherBodyPart","type_value_LayOff","type_value_OutOfBoxCentre","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_MissLeft","type_value_CornerTaken","type_value_FromCorner","type_value_BigChance","type_value_LowCentre","type_value_Volley","type_value_SmallBoxCentre","type_value_HeadPass","type_value_IndividualPlay","type_value_GoalKick","type_value_MissHigh","type_value_Head","type_value_Blocked","type_value_BoxRight","type_value_OutfielderBlock","type_value_MissRight","type_value_Throughball","type_value_BigChanceCreated","type_value_OneOnOne","type_value_ParriedDanger","type_value_FirstTouch","type_value_HighRight","type_value_LastMan","type_value_IntentionalGoalAssist","type_value_LowRight","type_value_LeadingToAttempt","type_value_BlockedCross","type_value_PlayerCaughtOffside","type_value_Yellow","type_value_HighLeft","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_IndirectFreekickTaken","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_BoxLeft","value_PassEndY","value_PassEndX","value_StandingSave","value_Zone","value_Angle","value_Length","value_Longball","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_ThrowIn","value_Foul","value_FreekickTaken","value_Chipped","value_Cross","value_RightFoot","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_Assisted","value_GoalMouthY","value_BoxCentre","value_RelatedEventId","value_LowLeft","value_LeftFoot","value_GoalMouthZ","value_BlockedX","value_BlockedY","value_RegularPlay","value_Collected","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_KeeperThrow","value_OtherBodyPart","value_LayOff","value_OutOfBoxCentre","value_ParriedSafe","value_KeeperSaveObox","value_MissLeft","value_CornerTaken","value_FromCorner","value_BigChance","value_LowCentre","value_Volley","value_SmallBoxCentre","value_HeadPass","value_IndividualPlay","value_GoalKick","value_MissHigh","value_Head","value_Blocked","value_BoxRight","value_OutfielderBlock","value_MissRight","value_Throughball","value_BigChanceCreated","value_OneOnOne","value_ParriedDanger","value_FirstTouch","value_HighRight","value_LastMan","value_IntentionalGoalAssist","value_LowRight","value_LeadingToAttempt","value_BlockedCross","value_PlayerCaughtOffside","value_Yellow","value_HighLeft","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_IndirectFreekickTaken","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_CaptainPlayerId","value_BoxLeft","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,3,0,0,839,52.395,34.272,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,135366,35.07,31.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2788577973,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.0","33.4",NA,"Back","3.27","17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01689528,0.01262646,-0.00426882,"Villarreal","Real Madrid",22,"Ayoze Perez","FW",TRUE,-17.3540459434997,0,-172.398858030741,"A. Perez",1,1,"Villarreal",1
2,4,0,2,839,34.23,31.96,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,494120,35.175,38.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2788577977,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56.9","33.5",NA,"Back","1.43","6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01262646,0.01262646,0,"Villarreal","Real Madrid",5,"Willy Kambwala","DC",TRUE,0.816930601407293,0,82.0093553621452,"W. Kambwala",2,1,"Villarreal",2
3,4.5,0,2.5,839,35.175,38.692,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,389130,38.64,44.336,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01262646,0.01269174,6.52799999999992e-05,"Villarreal","Real Madrid",2,"Logan Costa","DC",TRUE,0,2.82233979341616,58.4531419799858,"L. Costa",3,1,"Villarreal",3
4,5,0,3,839,38.64,44.336,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,389130,44.415,41.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2788577991,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.9","42.3",NA,"Back","5.81","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01269174,0.01484598,0.00215424,"Villarreal","Real Madrid",2,"Logan Costa","DC",TRUE,6.12341577777133,0,-26.8540214990747,"L. Costa",4,1,"Villarreal",4
5,6,0,4,839,44.31,41.82,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,399047,36.96,46.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2788578025,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.5","35.2",NA,"Back","2.57","8.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01484598,0.01269174,-0.00215424,"Villarreal","Real Madrid",18,"Pape Gueye","MC",TRUE,-8.00145775376069,0,147.072137346836,"P. Gueye",5,1,"Villarreal",5
6,7,0,7,839,38.115,48.688,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 37, 216, 218)",TRUE,389130,58.8,62.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2788578043,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92.4","56.0",NA,"Left","0.60","25.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01269174,0.01473596,0.00204422,"Villarreal","Real Madrid",2,"Logan Costa","DC",TRUE,14.0202966935501,0,34.363559831031,"L. Costa",6,1,"Villarreal",6
7,8,0,8,839,56.7,62.22,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,448209,43.995,53.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2788578097,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78.3","41.9",NA,"Back","3.76","15.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01473596,0.0138454,-0.000890559999999999,"Villarreal","Real Madrid",23,"Sergi Cardona","DL",TRUE,-8.02851082925251,0,-144.759042457911,"S. Cardona",7,1,"Villarreal",7
8,8.5,0,9,839,43.995,53.244,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,399047,40.215,52.224,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.0138454,0.01214719,-0.00169821,"Villarreal","Real Madrid",18,"Pape Gueye","MC",TRUE,0,-3.33112303548989,-164.898901838615,"P. Gueye",8,1,"Villarreal",8
9,9,0,10,839,40.215,52.224,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,399047,35.07,54.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2788578113,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80.1","33.4",NA,"Back","2.73","5.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01214719,0.01214719,0,"Villarreal","Real Madrid",18,"Pape Gueye","MC",TRUE,-5.56446393402229,0,156.435499945189,"P. Gueye",9,1,"Villarreal",9
10,10,0,14,839,33.81,52.972,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,389130,30.24,47.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2788578135,0,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.9","28.8",NA,"Back","4.13","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.0105949,0.01110462,0.00050972,"Villarreal","Real Madrid",2,"Logan Costa","DC",TRUE,-2.30017365302143,0,-123.274887984835,"L. Costa",10,1,"Villarreal",10
