"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_PassEndY","type_value_PassEndX","type_value_Length","type_value_Angle","type_value_Zone","type_value_Chipped","type_value_Longball","type_value_Head","type_value_ThrowIn","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_GoalKick","type_value_HeadPass","type_value_OtherBodyPart","type_value_LeftFoot","type_value_Cross","type_value_KeeperThrow","type_value_Foul","type_value_FreekickTaken","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_LayOff","type_value_RightFoot","type_value_MissLeft","type_value_CornerTaken","type_value_Throughball","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_BoxLeft","type_value_MissRight","type_value_GoalMouthY","type_value_GoalMouthZ","type_value_Assisted","type_value_RegularPlay","type_value_FirstTouch","type_value_RelatedEventId","type_value_Volley","type_value_BoxCentre","type_value_MissHigh","type_value_BigChanceCreated","type_value_BigChance","type_value_LeadingToAttempt","type_value_LowCentre","type_value_BlockedY","type_value_BlockedX","type_value_DivingSave","type_value_Hands","type_value_ParriedSafe","type_value_KeeperSaveInTheBox","type_value_LastMan","type_value_IntentionalGoalAssist","type_value_IndividualPlay","type_value_OneOnOne","type_value_BoxRight","type_value_Blocked","type_value_OutOfBoxCentre","type_value_OutfielderBlock","type_value_FromCorner","type_value_LowRight","type_value_BlockedCross","type_value_HighCentre","type_value_Yellow","type_value_HighRight","type_value_Collected","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_ThrowinSetPiece","type_value_LowLeft","type_value_SmallBoxCentre","type_value_OverRun","type_value_DirectFreekick","value_StandingSave","value_PassEndY","value_PassEndX","value_Length","value_Angle","value_Zone","value_Chipped","value_Longball","value_Head","value_ThrowIn","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_GoalKick","value_HeadPass","value_OtherBodyPart","value_LeftFoot","value_Cross","value_KeeperThrow","value_Foul","value_FreekickTaken","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_LayOff","value_RightFoot","value_MissLeft","value_CornerTaken","value_Throughball","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_BoxLeft","value_MissRight","value_GoalMouthY","value_GoalMouthZ","value_Assisted","value_RegularPlay","value_FirstTouch","value_RelatedEventId","value_Volley","value_BoxCentre","value_MissHigh","value_BigChanceCreated","value_BigChance","value_LeadingToAttempt","value_LowCentre","value_BlockedY","value_BlockedX","value_DivingSave","value_Hands","value_ParriedSafe","value_KeeperSaveInTheBox","value_LastMan","value_IntentionalGoalAssist","value_IndividualPlay","value_OneOnOne","value_BoxRight","value_Blocked","value_OutOfBoxCentre","value_OutfielderBlock","value_FromCorner","value_LowRight","value_BlockedCross","value_HighCentre","value_Yellow","value_HighRight","value_Collected","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_InvolvedPlayers","value_CaptainPlayerId","value_TeamFormation","value_TeamPlayerFormation","value_ThrowinSetPiece","value_LowLeft","value_SmallBoxCentre","value_OverRun","value_DirectFreekick","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,183,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,424273,50.4,31.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2809554187,0,178,141,140,212,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.9","48.0","3.0","3.93","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.01689528,0.01484598,-0.0020493,"Bournemouth","Arsenal",3,"Milos Kerkez","DL",TRUE,-2.14067774103831,0,-134.891072793756,"M. Kerkez",1,1,"Bournemouth",1
2,5,0,2,183,49.56,31.892,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,331579,36.12,35.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2809554229,0,178,141,140,212,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.6","34.4","13.8","2.91","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.01484598,0.01262646,-0.00221952,"Bournemouth","Arsenal",19,"Justin Kluivert","AMC",TRUE,-13.4085304030654,0,166.623640819624,"J. Kluivert",2,1,"Bournemouth",2
3,6,0,4,183,36.645,36.448,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,399826,33.705,51.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2809554255,0,178,141,140,212,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75.6","32.1","15.2","1.76","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.01262646,0.0105949,-0.00203156,"Bournemouth","Arsenal",27,"Illia Zabarnyi","DC",TRUE,-4.99065694547558,0,101.118308507846,"I. Zabarnyi",3,1,"Bournemouth",3
4,6.5,0,5.5,183,33.705,51.408,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,468852,36.645,49.572,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.0916666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.0105949,0.01269174,0.00209684,"Bournemouth","Arsenal",2,"Dean Huijsen","DC",TRUE,0,3.28317870054087,-31.984357234894,"D. Huijsen",4,1,"Bournemouth",4
5,7,0,7,183,36.645,49.572,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 124, 128, 36, 37, 217, 218)",TRUE,468852,84.945,53.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2809554269,0,178,141,140,212,213,56,155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.1","80.9","48.5","0.09","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,NA,NA,NA,"Bournemouth","Arsenal",2,"Dean Huijsen","DC",TRUE,41.9324112828573,0,4.98857771847699,"D. Huijsen",5,1,"Bournemouth",5
6,4,0,9,13,20.58,16.796,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 215)",TRUE,322036,29.4,14.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2809554289,0,NA,141,140,212,213,56,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9","28.0","9.2","6.00","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,NA,NA,NA,"Arsenal","Bournemouth",4,"Ben White","DR",TRUE,0,0,-16.3290290334562,"B. White",6,1,"Bournemouth",6
7,4.5,0,10.5,13,29.4,14.212,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,247454,29.295,9.112,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.0105949,0.0105949,0,"Arsenal","Bournemouth",8,"Martin Odegaard","MC",TRUE,0,-1.54420905363396,-91.1794523618478,"M. Odegaard",7,1,"Bournemouth",7
8,6,0,12,13,29.295,9.112,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,247454,29.295,9.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2809554311,0,178,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,NA,NA,NA,"Arsenal","Bournemouth",8,"Martin Odegaard","MC",TRUE,0,0,0,"M. Odegaard",8,1,"Bournemouth",8
9,9,0,17,183,77.28,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 35, 38, 216)",TRUE,424273,57.75,63.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2809554449,0,NA,141,140,212,213,56,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93.5","55.0","20.4","3.43","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.02756312,0.01473596,-0.01282716,"Bournemouth","Arsenal",3,"Milos Kerkez","DL",TRUE,-11.8773383051323,0,-167.247733366161,"M. Kerkez",9,1,"Bournemouth",9
10,9.5,0,19,183,57.75,63.58,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,468852,57.435,59.908,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.316666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 06:25:59",60110,"Emirates Stadium","Jarred Gillett","1 : 2",13,183,0.01473596,0.01473596,0,"Bournemouth","Arsenal",2,"Dean Huijsen","DC",TRUE,0,1.58209040866963,-94.9030754763404,"D. Huijsen",10,1,"Bournemouth",10
