"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_Length","type_value_Angle","type_value_Zone","type_value_PassEndX","type_value_StandingSave","type_value_Longball","type_value_Head","type_value_HeadPass","type_value_Chipped","type_value_ThrowIn","type_value_Cross","type_value_RightFoot","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_BlockedCross","type_value_HighClaim","type_value_KeeperThrow","type_value_Defensive","type_value_LeftFoot","type_value_OtherBodyPart","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_GoalMouthY","type_value_FirstTouch","type_value_Assisted","type_value_RelatedEventId","type_value_RegularPlay","type_value_GoalMouthZ","type_value_LowCentre","type_value_BoxCentre","type_value_BlockedY","type_value_BlockedX","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_LayOff","type_value_LeadingToAttempt","type_value_MissHigh","type_value_BoxLeft","type_value_GoalKick","type_value_HighRight","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_MissLeft","type_value_CornerTaken","type_value_Foul","type_value_FreekickTaken","type_value_FastBreak","type_value_BigChanceCreated","type_value_BigChance","type_value_Feet","type_value_ParriedDanger","type_value_DivingSave","type_value_Volley","type_value_LowRight","type_value_ParriedSafe","type_value_MissRight","type_value_Yellow","type_value_Blocked","type_value_OutfielderBlock","type_value_LowLeft","type_value_SetPiece","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_Throughball","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_OverRun","type_value_FromCorner","type_value_IntentionalGoalAssist","type_value_SmallBoxCentre","type_value_LastMan","type_value_DirectFreekick","type_value_OutOfBoxDeepRight","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_HighLeft","type_value_KeeperSaveObox","value_PassEndY","value_Length","value_Angle","value_Zone","value_PassEndX","value_StandingSave","value_Longball","value_Head","value_HeadPass","value_Chipped","value_ThrowIn","value_Cross","value_RightFoot","value_OppositeRelatedEvent","value_Offensive","value_BlockedCross","value_HighClaim","value_KeeperThrow","value_Defensive","value_LeftFoot","value_OtherBodyPart","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_GoalMouthY","value_FirstTouch","value_Assisted","value_RelatedEventId","value_RegularPlay","value_GoalMouthZ","value_LowCentre","value_BoxCentre","value_BlockedY","value_BlockedX","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_LayOff","value_LeadingToAttempt","value_MissHigh","value_BoxLeft","value_GoalKick","value_HighRight","value_IndividualPlay","value_OutOfBoxCentre","value_MissLeft","value_CornerTaken","value_Foul","value_FreekickTaken","value_FastBreak","value_BigChanceCreated","value_BigChance","value_Feet","value_ParriedDanger","value_DivingSave","value_Volley","value_LowRight","value_ParriedSafe","value_MissRight","value_Yellow","value_Blocked","value_OutfielderBlock","value_LowLeft","value_SetPiece","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_Throughball","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_OverRun","value_FromCorner","value_IntentionalGoalAssist","value_SmallBoxCentre","value_LastMan","value_DirectFreekick","value_OutOfBoxDeepRight","value_TeamFormation","value_TeamPlayerFormation","value_InvolvedPlayers","value_CaptainPlayerId","value_HighLeft","value_KeeperSaveObox","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,30,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,444751,31.29,28.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2815356007,0,141,212,213,56,140,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2","21.9","3.39","Back","29.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,0.01689528,0.01132376,-0.00557152,"Tottenham","Aston Villa",28,"Wilson Odobert","AMC",TRUE,-21.4005853562744,0,-165.959942915232,"W. Odobert",1,1,"Tottenham",1
2,5,0,3,30,31.395,29.512,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,330816,32.445,53.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2815356059,0,141,212,213,56,140,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78.6","24.0","1.53","Back","30.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,0.01132376,0.0105949,-0.00072886,"Tottenham","Aston Villa",4,"Kevin Danso","DC",TRUE,-1.37456243153999,0,87.4882175906018,"K. Danso",2,1,"Tottenham",2
3,5.5,0,4.5,30,32.445,53.448,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,362275,35.91,55.624,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,0.0105949,0.01214719,0.00155229,"Tottenham","Aston Villa",3,"Sergio Reguilon","DL",TRUE,0,2.7213342725004,32.1285837876257,"S. Reguilon",3,1,"Tottenham",3
4,6,0,6,30,35.91,55.624,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 216, 218)",TRUE,362275,65.1,59.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2815356097,0,141,212,213,56,140,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.2","29.4","0.13","Left","62.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,NA,NA,NA,"Tottenham","Aston Villa",3,"Sergio Reguilon","DL",TRUE,25.1519634761608,0,7.16994624875085,"S. Reguilon",4,1,"Tottenham",4
5,4,0,9,24,32.025,7.412,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 216)",TRUE,301440,41.895,11.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2815356115,0,141,212,213,56,140,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.7","10.6","0.38","Back","39.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,NA,NA,NA,"Aston Villa","Tottenham",4,"Ezri Konsa","DC",TRUE,0,0,21.781389297952,"E. Konsa",5,2,"Aston Villa",5
6,4.5,0,10,24,41.895,11.356,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,331790,37.8,11.968,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,0.01214719,0.01214719,0,"Aston Villa","Tottenham",44,"Boubacar Kamara","DMC",TRUE,0,-3.67480977716794,171.500025326207,"B. Kamara",6,2,"Aston Villa",6
7,5,0,11,24,37.8,11.968,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 139, 36, 37, 216, 218)",TRUE,331790,47.145,14.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2815356143,0,141,212,213,56,140,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.1","9.6","0.25","Back","44.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,0.01214719,0.0138454,0.00169821,"Aston Villa","Tottenham",44,"Boubacar Kamara","DMC",TRUE,9.61793727038064,0,14.2884239676266,"B. Kamara",7,2,"Aston Villa",7
8,6,0,12,24,46.2,16.456,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 37, 216, 218)",TRUE,137467,48.3,16.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2815356151,0,141,212,213,56,140,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.6","2.1","0.13","Back","46.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,NA,NA,NA,"Aston Villa","Tottenham",21,"Marco Asensio","AMC",TRUE,2.08913147303241,0,7.38008022412104,"M. Asensio",8,2,"Aston Villa",8
9,21,0,12,30,47.565,43.86,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,429922,47.565,43.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2815358129,0,NA,NA,NA,56,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,NA,NA,NA,"Tottenham","Aston Villa",14,"Archie Gray","DMC",TRUE,0,0,0,"A. Gray",9,3,"Tottenham",9
10,7,0,14,30,37.065,44.2,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 216)",TRUE,103837,56.91,33.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2815356195,0,141,212,213,56,140,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.3","22.5","5.79","Center","54.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 07:33:50",42239,"Villa Park","Peter Bankes","2 : 0",24,30,NA,NA,NA,"Tottenham","Aston Villa",33,"Ben Davies","DC",TRUE,0,0,-28.2788856372039,"B. Davies",10,3,"Tottenham",10
