"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_PassEndX","type_value_Zone","type_value_PassEndY","type_value_StandingSave","type_value_Length","type_value_Longball","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Offensive","type_value_Foul","type_value_FreekickTaken","type_value_ThrowIn","type_value_Head","type_value_Chipped","type_value_LayOff","type_value_Cross","type_value_RightFoot","type_value_GoalKick","type_value_OtherBodyPart","type_value_HighClaim","type_value_LastMan","type_value_BoxCentre","type_value_GoalMouthY","type_value_RegularPlay","type_value_GoalMouthZ","type_value_IndividualPlay","type_value_MissRight","type_value_LeftFoot","type_value_BlockedCross","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_BlockedX","type_value_Assisted","type_value_RelatedEventId","type_value_FirstTouch","type_value_BlockedY","type_value_LowLeft","type_value_Collected","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_KeeperThrow","type_value_OverRun","type_value_OutOfBoxCentre","type_value_LowCentre","type_value_Blocked","type_value_OutfielderBlock","type_value_Yellow","type_value_MissLeft","type_value_CornerTaken","type_value_MissHigh","type_value_BigChanceCreated","type_value_BigChance","type_value_ParriedDanger","type_value_Feet","type_value_LowRight","type_value_VoidYellowCard","type_value_LeadingToGoal","type_value_IntentionalGoalAssist","type_value_SmallBoxCentre","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_SetPiece","type_value_OutOfBoxRight","type_value_Throughball","type_value_SecondYellow","type_value_BoxRight","type_value_HighRight","type_value_ParriedSafe","type_value_FromCorner","type_value_BoxLeft","type_value_SixYardBlock","type_value_Volley","type_value_SmallBoxRight","type_value_KeeperSaveInSixYard","value_Angle","value_PassEndX","value_Zone","value_PassEndY","value_StandingSave","value_Length","value_Longball","value_HeadPass","value_OppositeRelatedEvent","value_Defensive","value_Offensive","value_Foul","value_FreekickTaken","value_ThrowIn","value_Head","value_Chipped","value_LayOff","value_Cross","value_RightFoot","value_GoalKick","value_OtherBodyPart","value_HighClaim","value_LastMan","value_BoxCentre","value_GoalMouthY","value_RegularPlay","value_GoalMouthZ","value_IndividualPlay","value_MissRight","value_LeftFoot","value_BlockedCross","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_BlockedX","value_Assisted","value_RelatedEventId","value_FirstTouch","value_BlockedY","value_LowLeft","value_Collected","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_KeeperThrow","value_OverRun","value_OutOfBoxCentre","value_LowCentre","value_Blocked","value_OutfielderBlock","value_Yellow","value_MissLeft","value_CornerTaken","value_MissHigh","value_BigChanceCreated","value_BigChance","value_ParriedDanger","value_Feet","value_LowRight","value_VoidYellowCard","value_LeadingToGoal","value_IntentionalGoalAssist","value_SmallBoxCentre","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_InvolvedPlayers","value_CaptainPlayerId","value_TeamFormation","value_TeamPlayerFormation","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_SetPiece","value_OutOfBoxRight","value_Throughball","value_SecondYellow","value_BoxRight","value_HighRight","value_ParriedSafe","value_FromCorner","value_BoxLeft","value_SixYardBlock","value_Volley","value_SmallBoxRight","value_KeeperSaveInSixYard","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,183,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,136456,47.775,33.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2812737871,0,213,140,56,141,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28","45.5","Back","49.0",NA,"4.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,0.01689528,0.01484598,-0.0020493,"Bournemouth","Aston Villa",4,"Lewis Cook","AMC",TRUE,-4.72904004961117,0,-171.810488623054,"L. Cook",1,1,"Bournemouth",1
2,5,0,2,183,48.09,33.32,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,357073,103.425,47.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2812738009,0,213,140,56,141,178,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","98.5","Center","70.2",NA,"57.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Bournemouth","Aston Villa",24,"Antoine Semenyo","AML",TRUE,43.088060782549,0,14.6022419146028,"A. Semenyo",2,1,"Bournemouth",2
3,6,0,22,24,16.17,31.484,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 216, 218)",TRUE,102248,62.37,47.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366666666666667,2812738329,0,213,140,56,141,178,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.34","59.4","Center","70.2",NA,"49.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Aston Villa","Bournemouth",23,"Emiliano Martinez","GK",TRUE,44.0772931274802,0,19.3805918540136,"E. Martinez",3,1,"Bournemouth",3
4,6,0,25,183,43.68,17.748,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 38, 216, 218)",TRUE,399826,61.32,16.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,2812738375,0,213,140,56,141,NA,212,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.20","58.4","Center","23.9",NA,"17.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Bournemouth","Aston Villa",27,"Illia Zabarnyi","DC",TRUE,16.2891334787441,0,-4.84749855286849,"I. Zabarnyi",4,1,"Bournemouth",4
5,7,0,26,24,41.16,52.632,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,89925,41.16,52.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,2812738367,0,NA,NA,56,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Aston Villa","Bournemouth",12,"Lucas Digne","DL",TRUE,0,0,0,"L. Digne",5,1,"Bournemouth",5
6,7,0,26,183,63.84,15.368,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,344314,63.84,15.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,2812738383,0,NA,NA,56,NA,NA,NA,NA,NA,233,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Bournemouth","Aston Villa",16,"Marcus Tavernier","AMR",TRUE,0,0,0,"M. Tavernier",6,1,"Bournemouth",6
7,8,0,26,24,36.855,54.06,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 38, 216, 218)",TRUE,89925,44.94,48.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,2812738387,0,213,140,56,141,NA,212,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.69","42.8","Back","71.5",NA,"9.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Aston Villa","Bournemouth",12,"Lucas Digne","DL",TRUE,9.22240328900694,0,-33.9346758855227,"L. Digne",7,1,"Bournemouth",7
8,8,0,28,183,55.23,15.912,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 37, 216, 218)",TRUE,69877,69.825,19.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466666666666667,2812738451,0,213,140,56,141,NA,212,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.22","66.5","Center","28.3",NA,"15.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Bournemouth","Aston Villa",15,"Adam Smith","DR",TRUE,14.8102415604028,0,12.860077480528,"A. Smith",8,1,"Bournemouth",8
9,9,0,29,24,33.6,44.2,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 216, 218)",TRUE,89925,41.475,50.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333333333,2812738459,0,213,140,56,141,NA,212,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.68","39.5","Back","74.3",NA,"10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Aston Villa","Bournemouth",12,"Lucas Digne","DL",TRUE,6.48596876938952,0,38.7661230729532,"L. Digne",9,2,"Aston Villa",9
10,9,0,32,183,66.15,17,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 35, 37, 216, 218)",TRUE,344314,64.89,22.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,2812738517,0,213,140,56,141,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.79","61.8","Center","33.4",NA,"5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:42:32",11248,"Vitality Stadium","Stuart Attwell","0 : 1",183,24,NA,NA,NA,"Bournemouth","Aston Villa",16,"Marcus Tavernier","AMR",TRUE,0.738526899450591,0,102.439562018847,"M. Tavernier",10,2,"Aston Villa",10
