"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_Length","type_value_PassEndY","type_value_PassEndX","type_value_Zone","type_value_Angle","type_value_Longball","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_HeadPass","type_value_OtherBodyPart","type_value_ThrowIn","type_value_Head","type_value_FreekickTaken","type_value_LayOff","type_value_RightFoot","type_value_Cross","type_value_MissRight","type_value_MissLeft","type_value_CornerTaken","type_value_Chipped","type_value_Foul","type_value_LeftFoot","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_FirstTouch","type_value_BoxCentre","type_value_Assisted","type_value_RelatedEventId","type_value_RegularPlay","type_value_GoalMouthZ","type_value_BlockedY","type_value_GoalMouthY","type_value_BlockedX","type_value_HighRight","type_value_GoalKick","type_value_Throughball","type_value_BigChanceCreated","type_value_BoxLeft","type_value_BigChance","type_value_MissHigh","type_value_KeeperThrow","type_value_IndividualPlay","type_value_FromCorner","type_value_OutOfBoxCentre","type_value_Volley","type_value_SmallBoxRight","type_value_LowRight","type_value_ParriedSafe","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInSixYard","type_value_KeeperSaveInTheBox","type_value_Yellow","type_value_LowCentre","type_value_Blocked","type_value_SetPiece","type_value_OutfielderBlock","type_value_HighLeft","type_value_BlockedCross","type_value_LastMan","type_value_GoalDisallowed","type_value_PlayerCaughtOffside","type_value_KeeperSaveObox","type_value_IndirectFreekickTaken","type_value_ParriedDanger","type_value_ThrowinSetPiece","type_value_HighClaim","type_value_OverRun","type_value_LowLeft","type_value_SmallBoxLeft","type_value_SixYardBlock","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_SmallBoxCentre","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_IntentionalGoalAssist","type_value_DeepBoxRight","type_value_BoxRight","type_value_LeadingToGoal","type_value_AerialFoul","type_value_DirectFreekick","type_value_Collected","value_StandingSave","value_Length","value_PassEndY","value_PassEndX","value_Zone","value_Angle","value_Longball","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_HeadPass","value_OtherBodyPart","value_ThrowIn","value_Head","value_FreekickTaken","value_LayOff","value_RightFoot","value_Cross","value_MissRight","value_MissLeft","value_CornerTaken","value_Chipped","value_Foul","value_LeftFoot","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_FirstTouch","value_BoxCentre","value_Assisted","value_RelatedEventId","value_RegularPlay","value_GoalMouthZ","value_BlockedY","value_GoalMouthY","value_BlockedX","value_HighRight","value_GoalKick","value_Throughball","value_BigChanceCreated","value_BoxLeft","value_BigChance","value_MissHigh","value_KeeperThrow","value_IndividualPlay","value_FromCorner","value_OutOfBoxCentre","value_Volley","value_SmallBoxRight","value_LowRight","value_ParriedSafe","value_DivingSave","value_Hands","value_KeeperSaveInSixYard","value_KeeperSaveInTheBox","value_Yellow","value_LowCentre","value_Blocked","value_SetPiece","value_OutfielderBlock","value_HighLeft","value_BlockedCross","value_LastMan","value_GoalDisallowed","value_PlayerCaughtOffside","value_KeeperSaveObox","value_IndirectFreekickTaken","value_ParriedDanger","value_ThrowinSetPiece","value_HighClaim","value_OverRun","value_LowLeft","value_SmallBoxLeft","value_SixYardBlock","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_SmallBoxCentre","value_TeamFormation","value_InvolvedPlayers","value_TeamPlayerFormation","value_CaptainPlayerId","value_IntentionalGoalAssist","value_DeepBoxRight","value_BoxRight","value_LeadingToGoal","value_AerialFoul","value_DirectFreekick","value_Collected","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,183,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,344314,45.885,39.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876309,0,178,212,141,140,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5","57.8","43.7","Back","2.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01689528,0.01484598,-0.0020493,"Bournemouth","Leicester",16,"Marcus Tavernier","DMC",TRUE,-6.85246954424053,0,141.276871022932,"M. Tavernier",1,1,"Bournemouth",1
2,5,0,0,183,45.465,39.304,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,315275,55.755,36.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876315,0,178,212,141,140,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.8","53.0","53.1","Center","5.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01484598,0.01689528,0.0020493,"Bournemouth","Leicester",12,"Tyler Adams","DMC",TRUE,10.4835649827471,0,-17.5990879812739,"T. Adams",2,1,"Bournemouth",2
3,5.5,0,1.5,183,55.755,36.04,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,344314,60.48,46.104,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01689528,0.01685596,-3.93199999999989e-05,"Bournemouth","Leicester",16,"Marcus Tavernier","DMC",TRUE,0,3.15116309561284,64.8501684723429,"M. Tavernier",3,1,"Bournemouth",3
4,6,0,3,183,60.48,46.104,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,344314,59.43,63.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2818876333,0,178,212,141,140,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.5","93.5","56.6","Left","1.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01935132,0.01473596,-0.00461536,"Bournemouth","Leicester",16,"Marcus Tavernier","DMC",TRUE,-8.19256878937192,0,93.4383345030693,"M. Tavernier",4,1,"Bournemouth",4
5,7,0,7,183,56.595,63.648,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,424273,44.52,52.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2818876339,0,178,212,141,140,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.7","76.7","42.4","Back","3.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01473596,0.0138454,-0.000890559999999999,"Bournemouth","Leicester",3,"Milos Kerkez","DL",TRUE,-6.38333701514896,0,-136.417092884749,"M. Kerkez",5,1,"Bournemouth",5
6,7.5,0,8,183,44.52,52.156,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,315275,42.42,48.824,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.0138454,0.01269174,-0.00115366,"Bournemouth","Leicester",12,"Tyler Adams","DMC",TRUE,0,-1.1653751223213,-122.221266811594,"T. Adams",6,1,"Bournemouth",6
7,8,0,9,183,42.42,48.824,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 35, 38, 216, 218)",TRUE,315275,40.425,15.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2818876359,0,178,212,141,140,56,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.9","22.1","38.5","Back","4.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01269174,0.01214719,-0.00054455,"Bournemouth","Leicester",12,"Tyler Adams","DMC",TRUE,-2.99249156865255,0,-93.3782869918849,"T. Adams",7,1,"Bournemouth",7
8,8.5,0,11,183,40.425,15.028,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,399826,43.785,13.668,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.183333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,0.01214719,0.0138454,0.00169821,"Bournemouth","Leicester",27,"Illia Zabarnyi","DC",TRUE,0,2.8010614715169,-22.0362269401454,"I. Zabarnyi",8,1,"Bournemouth",8
9,9,0,13,183,43.785,13.668,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 38, 216, 218)",TRUE,399826,61.635,11.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2818876367,0,178,212,141,140,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.0","16.8","58.7","Right","6.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,NA,NA,NA,"Bournemouth","Leicester",27,"Illia Zabarnyi","DC",TRUE,15.6135667120149,0,-7.16530873291592,"I. Zabarnyi",9,1,"Bournemouth",9
10,4,0,14,14,48.3,51.748,"FirstHalf","Interception","Successful",NA,NA,NA,"c(91, 101, 56)",TRUE,416970,48.3,51.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2818876373,0,178,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:21:34",11238,"Vitality Stadium","Lewis Smith","2 : 0",183,14,NA,NA,NA,"Leicester","Bournemouth",16,"Victor Kristiansen","AML",TRUE,0,0,0,"V. Kristiansen",10,1,"Bournemouth",10
