"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_PassEndY","type_value_Length","type_value_StandingSave","type_value_Angle","type_value_Zone","type_value_Longball","type_value_ThrowIn","type_value_KeeperThrow","type_value_Cross","type_value_RightFoot","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Head","type_value_Chipped","type_value_Foul","type_value_FreekickTaken","type_value_HeadPass","type_value_OtherBodyPart","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_LowLeft","type_value_BoxCentre","type_value_RegularPlay","type_value_GoalMouthZ","type_value_Assisted","type_value_RelatedEventId","type_value_BlockedX","type_value_Blocked","type_value_BlockedY","type_value_GoalMouthY","type_value_OutfielderBlock","type_value_MissLeft","type_value_CornerTaken","type_value_MissRight","type_value_LowRight","type_value_FirstTouch","type_value_SixYardBlock","type_value_FromCorner","type_value_LowCentre","type_value_LeadingToAttempt","type_value_Throughball","type_value_BigChanceCreated","type_value_BoxRight","type_value_BigChance","type_value_ParriedDanger","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_OutOfBoxCentre","type_value_IndividualPlay","type_value_LayOff","type_value_ThrowinSetPiece","type_value_DivingSave","type_value_Collected","type_value_KeeperSaveObox","type_value_LeftFoot","type_value_GoalKick","type_value_Yellow","type_value_LeadingToGoal","type_value_IntentionalGoalAssist","type_value_MissHigh","type_value_Penalty","type_value_KeeperSaved","type_value_HighCentre","type_value_Volley","type_value_BoxLeft","type_value_FastBreak","type_value_SmallBoxLeft","type_value_SavedOffline","type_value_SmallBoxCentre","type_value_DirectFreekick","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_BlockedCross","type_value_SetPiece","type_value_HighLeft","type_value_AerialFoul","type_value_OverRun","value_PassEndX","value_PassEndY","value_Length","value_StandingSave","value_Angle","value_Zone","value_Longball","value_ThrowIn","value_KeeperThrow","value_Cross","value_RightFoot","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_Head","value_Chipped","value_Foul","value_FreekickTaken","value_HeadPass","value_OtherBodyPart","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_LowLeft","value_BoxCentre","value_RegularPlay","value_GoalMouthZ","value_Assisted","value_RelatedEventId","value_BlockedX","value_Blocked","value_BlockedY","value_GoalMouthY","value_OutfielderBlock","value_MissLeft","value_CornerTaken","value_MissRight","value_LowRight","value_FirstTouch","value_SixYardBlock","value_FromCorner","value_LowCentre","value_LeadingToAttempt","value_Throughball","value_BigChanceCreated","value_BoxRight","value_BigChance","value_ParriedDanger","value_Hands","value_KeeperSaveInTheBox","value_OutOfBoxCentre","value_IndividualPlay","value_LayOff","value_ThrowinSetPiece","value_DivingSave","value_Collected","value_KeeperSaveObox","value_LeftFoot","value_GoalKick","value_Yellow","value_LeadingToGoal","value_IntentionalGoalAssist","value_MissHigh","value_Penalty","value_KeeperSaved","value_HighCentre","value_Volley","value_BoxLeft","value_FastBreak","value_SmallBoxLeft","value_SavedOffline","value_SmallBoxCentre","value_DirectFreekick","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_BlockedCross","value_SetPiece","value_HighLeft","value_AerialFoul","value_OverRun","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,170,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,363686,33.075,33.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2816485699,0,140,141,212,178,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.5","48.8","19.4",NA,"3.18","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,0.01689528,0.01132376,-0.00557152,"Fulham","Brentford",32,"Emile Smith Rowe","AMC",TRUE,-19.4296286727521,0,-177.594549082073,"E. S. Rowe",1,1,"Fulham",1
2,4.5,0,1,170,33.075,33.184,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,231135,34.965,29.648,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,0.01132376,0.01262646,0.0013027,"Fulham","Brentford",5,"Joachim Andersen","DC",TRUE,0,1.75954153442797,-61.8753954387061,"J. Andersen",2,1,"Fulham",2
3,5,0,2,170,34.965,29.648,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,231135,78.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2816485799,0,140,141,212,178,213,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74.6","0.0","53.3",NA,"5.66","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,NA,NA,NA,"Fulham","Brentford",5,"Joachim Andersen","DC",TRUE,26.957948797344,0,-34.3598304915375,"J. Andersen",3,1,"Fulham",3
4,5,0,27,189,26.355,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 38, 215)",TRUE,368512,32.13,62.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,2816486157,0,140,141,212,NA,213,56,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.6","91.6","9.1",NA,"5.40","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,0.00977659,0.00977659,0,"Brentford","Fulham",23,"Keane Lewis-Potter","DL",TRUE,7.51177175707375,0,-44.6857666999033,"K. Lewis-Potter",4,2,"Brentford",4
5,6,0,29,189,31.29,62.832,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,401168,24.675,66.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333333333,2816486195,0,140,141,212,178,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.5","97.1","7.3",NA,"2.69","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,0.00977659,0.00844854,-0.00132805,"Brentford","Fulham",24,"Mikkel Damsgaard","AMC",TRUE,-7.32657465793457,0,154.212750719277,"M. Damsgaard",5,2,"Brentford",5
6,7,0,29,189,24.675,66.028,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 128, 36, 38, 216, 218)",TRUE,368512,49.455,64.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333333333,2816486209,0,140,141,212,178,213,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.1","95.5","24.8",NA,"6.24","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,NA,NA,NA,"Brentford","Fulham",23,"Keane Lewis-Potter","DL",TRUE,22.8939443650422,0,-2.51403538056572,"K. Lewis-Potter",6,2,"Brentford",6
7,7,0,32,170,55.755,2.108,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,231135,96.495,20.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,2816486247,0,140,141,212,178,213,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.9","30.5","44.8",NA,"0.43","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,NA,NA,NA,"Fulham","Brentford",5,"Joachim Andersen","DC",TRUE,42.9168284732963,0,24.5764768347872,"J. Andersen",7,2,"Brentford",7
8,8,0,36,189,7.56,46.444,"FirstHalf","KeeperPickup","Successful",NA,NA,NA,"93",FALSE,115131,7.56,46.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2816486279,0,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,NA,NA,NA,"Brentford","Fulham",1,"Mark Flekken","GK",TRUE,0,0,0,"M. Flekken",8,2,"Brentford",8
9,8.5,0,36.5,189,7.56,46.444,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,115131,9.555,41.14,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.608333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,0.0088799,0.01082722,0.00194732,"Brentford","Fulham",1,"Mark Flekken","GK",TRUE,0,2.5197037245516,-69.3871524895762,"M. Flekken",9,2,"Brentford",9
10,9,0,37,189,9.555,41.14,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 36, 38, 215, 218)",TRUE,115131,19.11,16.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616666666666667,2816486417,0,140,141,212,178,213,56,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.2","24.4","26.3",NA,"5.08","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 23:59:02",17136,"Gtech Community Stadium","Jarred Gillett","2 : 3",189,170,0.01082722,0.00942382,-0.0014034,"Brentford","Fulham",1,"Mark Flekken","GK",TRUE,8.07533599356447,0,-68.7321508719938,"M. Flekken",10,2,"Brentford",10
