"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_Zone","type_value_StandingSave","type_value_Length","type_value_PassEndY","type_value_PassEndX","type_value_Longball","type_value_KeeperThrow","type_value_LayOff","type_value_Chipped","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_RightFoot","type_value_Cross","type_value_Head","type_value_IntentionalAssist","type_value_ShotAssist","type_value_BigChanceCreated","type_value_KeyPass","type_value_BigChance","type_value_BoxCentre","type_value_FirstTouch","type_value_RelatedEventId","type_value_GoalMouthY","type_value_MissHigh","type_value_Assisted","type_value_GoalMouthZ","type_value_FromCorner","type_value_GoalKick","type_value_HighClaim","type_value_Foul","type_value_FreekickTaken","type_value_ThrowIn","type_value_OtherBodyPart","type_value_RegularPlay","type_value_LeftFoot","type_value_IntentionalGoalAssist","type_value_LowCentre","type_value_IndirectFreekickTaken","type_value_Throughball","type_value_SmallBoxRight","type_value_OwnGoal","type_value_HighRight","type_value_ThrowinSetPiece","type_value_BlockedY","type_value_BlockedX","type_value_Volley","type_value_BoxLeft","type_value_SmallBoxCentre","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_IndividualPlay","type_value_LowRight","type_value_Hands","type_value_ParriedSafe","type_value_DivingSave","type_value_KeeperSaveInTheBox","type_value_Yellow","type_value_SetPiece","type_value_ParriedDanger","type_value_KeeperSaveInSixYard","type_value_BlockedCross","type_value_OutOfBoxCentre","type_value_Blocked","type_value_OutfielderBlock","type_value_Collected","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_CaptainPlayerId","type_value_HighCentre","type_value_LowLeft","type_value_BoxRight","type_value_LeadingToGoal","value_Angle","value_Zone","value_StandingSave","value_Length","value_PassEndY","value_PassEndX","value_Longball","value_KeeperThrow","value_LayOff","value_Chipped","value_HeadPass","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_MissLeft","value_MissRight","value_CornerTaken","value_RightFoot","value_Cross","value_Head","value_IntentionalAssist","value_ShotAssist","value_BigChanceCreated","value_KeyPass","value_BigChance","value_BoxCentre","value_FirstTouch","value_RelatedEventId","value_GoalMouthY","value_MissHigh","value_Assisted","value_GoalMouthZ","value_FromCorner","value_GoalKick","value_HighClaim","value_Foul","value_FreekickTaken","value_ThrowIn","value_OtherBodyPart","value_RegularPlay","value_LeftFoot","value_IntentionalGoalAssist","value_LowCentre","value_IndirectFreekickTaken","value_Throughball","value_SmallBoxRight","value_OwnGoal","value_HighRight","value_ThrowinSetPiece","value_BlockedY","value_BlockedX","value_Volley","value_BoxLeft","value_SmallBoxCentre","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_IndividualPlay","value_LowRight","value_Hands","value_ParriedSafe","value_DivingSave","value_KeeperSaveInTheBox","value_Yellow","value_SetPiece","value_ParriedDanger","value_KeeperSaveInSixYard","value_BlockedCross","value_OutOfBoxCentre","value_Blocked","value_OutfielderBlock","value_Collected","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_CaptainPlayerId","value_HighCentre","value_LowLeft","value_BoxRight","value_LeadingToGoal","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,32,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,437022,24.045,33.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2810209309,0,213,56,178,212,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.17","Back",NA,"28.5","49.0","22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.01689528,0.01016549,-0.00672979,"Man Utd","Brentford",17,"Alejandro Garnacho","AMC",TRUE,-28.4578558572298,0,-178.631041437168,"A. Garnacho",1,1,"Man Utd",1
2,4.5,0,2,32,24.045,33.32,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,361707,28.665,30.736,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.01016549,0.01132376,0.00115827,"Man Utd","Brentford",1,"Altay Bayindir","GK",TRUE,0,4.5531052130454,-29.2186062494138,"A. Bayindir",2,1,"Man Utd",2
3,5,0,4,32,28.665,30.736,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,361707,100.17,29.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2810209413,0,213,56,178,212,141,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.26","Center",NA,"71.5","42.7","95.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,NA,NA,NA,"Man Utd","Brentford",1,"Altay Bayindir","GK",TRUE,69.4786986663258,0,-1.3619254560511,"A. Bayindir",3,1,"Man Utd",3
4,4,0,9,189,3.36,44.2,"FirstHalf","KeeperPickup","Successful",NA,NA,NA,"93",FALSE,115131,3.36,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2810209427,0,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,NA,NA,NA,"Brentford","Man Utd",1,"Mark Flekken","GK",TRUE,0,0,0,"M. Flekken",4,2,"Brentford",4
5,4.5,0,10.5,189,3.36,44.2,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,115131,3.255,36.04,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.0088799,0.00941056,0.000530660000000001,"Brentford","Man Utd",1,"Mark Flekken","GK",TRUE,0,0.385075154873974,-90.7372211817357,"M. Flekken",5,2,"Brentford",5
6,5,0,12,189,3.255,36.04,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 36, 38, 215, 218)",TRUE,115131,15.12,20.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2810209531,0,213,56,178,212,141,140,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.37","Back",NA,"19.5","30.3","14.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.00941056,0.00977745,0.00036689,"Brentford","Man Utd",1,"Mark Flekken","GK",TRUE,10.8926411708216,0,-52.4520426186372,"M. Flekken",6,2,"Brentford",6
7,5.5,0,14,189,15.12,20.604,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,372724,21,18.496,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.00977745,0.01001304,0.000235590000000001,"Brentford","Man Utd",22,"Nathan Collins","DC",TRUE,0,5.4539925508482,-19.7229294230519,"N. Collins",7,2,"Brentford",7
8,6,0,16,189,21,18.496,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,372724,35.595,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2810209603,0,213,56,178,212,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.47","Back",NA,"21.2","4.5","33.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.01001304,0.01126267,0.00124963,"Brentford","Man Utd",22,"Nathan Collins","DC",TRUE,9.42975281584471,0,-46.6041144150291,"N. Collins",8,2,"Brentford",8
9,6.5,0,18,189,35.595,3.06,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,470031,39.48,7.548,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.01126267,0.01126267,0,"Brentford","Man Utd",33,"Michael Kayode","DR",TRUE,0,5.33088039059596,49.1191700015702,"M. Kayode",9,2,"Brentford",9
10,7,0,20,189,39.48,7.548,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,470031,26.25,13.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,2810209649,0,213,56,178,212,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.71","Back",NA,"14.6","20.1","25.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 23:07:49",17190,"Gtech Community Stadium","Anthony Taylor","4 : 3",189,32,0.01126267,0.0105949,-0.00066777,"Brentford","Man Utd",33,"Michael Kayode","DR",TRUE,-10.6741774915028,0,155.175445230817,"M. Kayode",10,2,"Brentford",10
