"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_Angle","type_value_PassEndY","type_value_StandingSave","type_value_Zone","type_value_Length","type_value_Chipped","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_HeadPass","type_value_Longball","type_value_Cross","type_value_LeftFoot","type_value_HighClaim","type_value_Head","type_value_ThrowIn","type_value_LayOff","type_value_Foul","type_value_FreekickTaken","type_value_RightFoot","type_value_KeeperThrow","type_value_DivingSave","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_LeadingToAttempt","type_value_GoalMouthZ","type_value_LowRight","type_value_IndividualPlay","type_value_RegularPlay","type_value_BlockedX","type_value_BlockedY","type_value_GoalMouthY","type_value_BoxLeft","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_AerialFoul","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_RelatedEventId","type_value_OutOfBoxCentre","type_value_Blocked","type_value_LowCentre","type_value_Assisted","type_value_FirstTouch","type_value_OutfielderBlock","type_value_OtherBodyPart","type_value_OverRun","type_value_GoalKick","type_value_FastBreak","type_value_DeepBoxLeft","type_value_HighRight","type_value_BoxCentre","type_value_HighLeft","type_value_Yellow","type_value_LowLeft","type_value_KeeperSaveObox","type_value_MissHigh","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_SixYardBlock","type_value_OutOfBoxDeepLeft","type_value_DirectFreekick","type_value_SetPiece","type_value_SmallBoxLeft","type_value_BlockedCross","type_value_Feet","type_value_ParriedDanger","type_value_Penalty","type_value_KeeperMissed","type_value_BigChance","type_value_BigChanceCreated","type_value_BoxRight","type_value_HighCentre","type_value_ParriedSafe","value_PassEndX","value_Angle","value_PassEndY","value_StandingSave","value_Zone","value_Length","value_Chipped","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_HeadPass","value_Longball","value_Cross","value_LeftFoot","value_HighClaim","value_Head","value_ThrowIn","value_LayOff","value_Foul","value_FreekickTaken","value_RightFoot","value_KeeperThrow","value_DivingSave","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_LeadingToAttempt","value_GoalMouthZ","value_LowRight","value_IndividualPlay","value_RegularPlay","value_BlockedX","value_BlockedY","value_GoalMouthY","value_BoxLeft","value_Hands","value_KeeperSaveInTheBox","value_MissLeft","value_MissRight","value_CornerTaken","value_AerialFoul","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_RelatedEventId","value_OutOfBoxCentre","value_Blocked","value_LowCentre","value_Assisted","value_FirstTouch","value_OutfielderBlock","value_OtherBodyPart","value_OverRun","value_GoalKick","value_FastBreak","value_DeepBoxLeft","value_HighRight","value_BoxCentre","value_HighLeft","value_Yellow","value_LowLeft","value_KeeperSaveObox","value_MissHigh","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_TeamFormation","value_TeamPlayerFormation","value_InvolvedPlayers","value_SixYardBlock","value_OutOfBoxDeepLeft","value_DirectFreekick","value_SetPiece","value_SmallBoxLeft","value_BlockedCross","value_Feet","value_ParriedDanger","value_Penalty","value_KeeperMissed","value_BigChance","value_BigChanceCreated","value_BoxRight","value_HighCentre","value_ParriedSafe","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,23,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,299254,38.955,30.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2810209507,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.1","3.40","44.7",NA,"Back","14.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01484598,0.01262646,-0.00221952,"Newcastle","Brighton",14,"Alexander Isak","FW",TRUE,-13.6432599816489,0,-165.100181062803,"A. Isak",1,1,"Newcastle",1
2,5,0,1,23,37.59,29.58,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,343501,30.66,24.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666666667,2810209529,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.2","3.76","36.3",NA,"Back","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01262646,0.01110462,-0.00152184,"Newcastle","Brighton",8,"Sandro Tonali","MC",TRUE,-7.36669670276162,0,-144.759042457911,"S. Tonali",2,1,"Newcastle",2
3,6,0,3,23,30.765,24.004,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,82726,34.44,13.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2810209569,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.8","5.06","20.2",NA,"Back","10.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01110462,0.0105949,-0.00050972,"Newcastle","Brighton",5,"Fabian Schar","DC",TRUE,1.49282795349046,0,-70.3073018816153,"F. Schar",3,1,"Newcastle",3
4,7,0,6,23,34.755,10.812,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,83078,49.98,3.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2810209605,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.6","5.83","5.1",NA,"Back","16.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.0105949,0.01248344,0.00188854,"Newcastle","Brighton",2,"Kieran Trippier","DR",TRUE,11.0494705717237,0,-25.7510128817496,"K. Trippier",4,1,"Newcastle",4
5,8,0,9,23,49.455,3.128,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,338780,36.225,2.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2810209645,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.5","3.22","3.1",NA,"Back","13.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01248344,0.01126267,-0.00122077,"Newcastle","Brighton",39,"Bruno Guimaraes","MC",TRUE,-12.2617963047284,0,-175.591359535079,"B. Guimaraes",5,1,"Newcastle",5
6,9,0,10,23,36.12,2.108,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,83078,20.475,9.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2810209699,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.5","2.70","14.1",NA,"Back","17.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01126267,0.00942382,-0.00183885,"Newcastle","Brighton",2,"Kieran Trippier","DR",TRUE,-12.07476307059,0,154.447162538969,"K. Trippier",6,1,"Newcastle",6
7,9.5,0,11.5,23,20.475,9.588,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,82726,16.59,10.812,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.191666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.00942382,0.00878589,-0.00063793,"Newcastle","Brighton",5,"Fabian Schar","DC",TRUE,0,-3.4206169021803,162.512553974225,"F. Schar",7,1,"Newcastle",7
8,10,0,13,23,16.59,10.812,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,82726,10.395,29.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2810209767,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.9","1.89","43.5",NA,"Back","19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.00878589,0.01082722,0.00204133,"Newcastle","Brighton",5,"Fabian Schar","DC",TRUE,-3.3079147651387,0,108.267184575711,"F. Schar",8,1,"Newcastle",8
9,10.5,0,14.5,23,10.395,29.58,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,105720,13.65,31.96,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,0.241666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01082722,0.01082722,0,"Newcastle","Brighton",22,"Nick Pope","GK",TRUE,0,3.33542070110681,36.1736290457721,"N. Pope",9,1,"Newcastle",9
10,11,0,16,23,13.65,31.96,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,105720,11.865,50.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2810209829,0,140,213,141,178,56,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.3","1.66","74.8",NA,"Back","19.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-04 22:30:27",31580,"American Express Stadium","Craig Pawson","1 : 1",211,23,0.01082722,0.00878589,-0.00204133,"Newcastle","Brighton",22,"Nick Pope","GK",TRUE,-3.27669741805531,0,95.3941296893202,"N. Pope",10,1,"Newcastle",10
