"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_Length","type_value_Angle","type_value_PassEndX","type_value_StandingSave","type_value_PassEndY","type_value_Longball","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Head","type_value_ShotAssist","type_value_KeyPass","type_value_Assisted","type_value_RegularPlay","type_value_RelatedEventId","type_value_RightFoot","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_GoalMouthZ","type_value_GoalMouthY","type_value_GoalKick","type_value_Chipped","type_value_HeadPass","type_value_ThrowIn","type_value_Foul","type_value_FreekickTaken","type_value_LayOff","type_value_BoxRight","type_value_LowRight","type_value_FastBreak","type_value_BlockedY","type_value_BlockedX","type_value_LeftFoot","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_IntentionalAssist","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_BigChance","type_value_LowCentre","type_value_SmallBoxCentre","type_value_FirstTouch","type_value_Blocked","type_value_BoxLeft","type_value_OutfielderBlock","type_value_MissRight","type_value_MissLeft","type_value_CornerTaken","type_value_Cross","type_value_HighRight","type_value_FromCorner","type_value_DivingSave","type_value_KeeperThrow","type_value_OtherBodyPart","type_value_Throughball","type_value_DirectFreekick","type_value_OverRun","type_value_BlockedCross","type_value_HighLeft","type_value_BoxCentre","type_value_LowLeft","type_value_KeeperSaveObox","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighClaim","type_value_HighCentre","type_value_SetPiece","type_value_Volley","type_value_ParriedSafe","type_value_SixYardBlock","type_value_MissHigh","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_ParriedDanger","type_value_LeadingToAttempt","type_value_Yellow","type_value_DeepBoxLeft","type_value_SmallBoxRight","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","value_Zone","value_Length","value_Angle","value_PassEndX","value_StandingSave","value_PassEndY","value_Longball","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_Head","value_ShotAssist","value_KeyPass","value_Assisted","value_RegularPlay","value_RelatedEventId","value_RightFoot","value_IndividualPlay","value_OutOfBoxCentre","value_GoalMouthZ","value_GoalMouthY","value_GoalKick","value_Chipped","value_HeadPass","value_ThrowIn","value_Foul","value_FreekickTaken","value_LayOff","value_BoxRight","value_LowRight","value_FastBreak","value_BlockedY","value_BlockedX","value_LeftFoot","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_IntentionalAssist","value_BigChanceCreated","value_IntentionalGoalAssist","value_BigChance","value_LowCentre","value_SmallBoxCentre","value_FirstTouch","value_Blocked","value_BoxLeft","value_OutfielderBlock","value_MissRight","value_MissLeft","value_CornerTaken","value_Cross","value_HighRight","value_FromCorner","value_DivingSave","value_KeeperThrow","value_OtherBodyPart","value_Throughball","value_DirectFreekick","value_OverRun","value_BlockedCross","value_HighLeft","value_BoxCentre","value_LowLeft","value_KeeperSaveObox","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighClaim","value_HighCentre","value_SetPiece","value_Volley","value_ParriedSafe","value_SixYardBlock","value_MissHigh","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_ParriedDanger","value_LeadingToAttempt","value_Yellow","value_DeepBoxLeft","value_SmallBoxRight","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_CaptainPlayerId","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,26,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,363982,31.395,37.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2817196525,0,56,212,213,140,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","21.4","2.99","29.9",NA,"54.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,0.01484598,0.01132376,-0.00352222,"Liverpool","Brighton",19,"Harvey Elliott","AMC",TRUE,-21.1773351920385,0,171.208554799089,"H. Elliott",1,1,"Liverpool",1
2,5,0,3,26,31.29,37.876,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,345957,76.23,56.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2817196549,0,56,212,213,140,178,141,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","48.7","0.39","72.6",NA,"83.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,NA,NA,NA,"Liverpool","Brighton",5,"Ibrahima Konate","DC",TRUE,37.241513245042,0,22.5927011113735,"I. Konate",2,1,"Liverpool",2
3,4,0,6,211,27.51,13.736,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,365402,27.51,13.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2817196559,0,56,NA,NA,NA,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,NA,NA,NA,"Brighton","Liverpool",29,"Jan Paul van Hecke","DC",TRUE,0,0,0,"J. P. van Hecke",3,1,"Liverpool",3
4,6,0,6,26,77.49,54.264,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,322971,77.49,54.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2817196551,0,56,NA,NA,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,NA,NA,NA,"Liverpool","Brighton",14,"Federico Chiesa","FW",TRUE,0,0,0,"F. Chiesa",4,1,"Liverpool",4
5,5,0,6,211,25.41,17.612,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 216)",TRUE,365402,37.17,18.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2817196577,0,56,212,213,140,NA,141,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","11.8","0.04","35.4",NA,"26.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,NA,NA,NA,"Brighton","Liverpool",29,"Jan Paul van Hecke","DC",TRUE,0,0,2.31784964290301,"J. P. van Hecke",5,1,"Liverpool",5
6,7,0,7,26,67.41,58.276,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,363884,63.945,62.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2817196579,0,56,212,213,140,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","5.1","2.32","60.9",NA,"91.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,0.01870347,0.0174506,-0.00125287,"Liverpool","Brighton",38,"Ryan Gravenberch","DMC",TRUE,-4.95578438783588,0,132.814199193224,"R. Gravenberch",6,1,"Liverpool",6
7,8,0,9,26,61.95,61.54,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,301455,37.59,64.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2817196603,0,56,212,213,140,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","24.5","3.03","35.8",NA,"94.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,0.0174506,0.01126267,-0.00618793,"Liverpool","Brighton",21,"Kostas Tsimikas","DL",TRUE,-22.7571497161354,0,173.786849685614,"K. Tsimikas",7,1,"Liverpool",7
8,8.5,0,11.5,26,37.59,64.192,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,430019,32.025,56.644,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.191666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,0.01126267,0.0105949,-0.00066777,"Liverpool","Brighton",78,"Jarell Quansah","DC",TRUE,0,-2.54499596134949,-126.40066123836,"J. Quansah",8,1,"Liverpool",8
9,9,0,14,26,32.025,56.644,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,430019,20.265,32.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2817196665,0,56,212,213,140,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","26.7","4.26","19.3",NA,"48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,0.0105949,0.01016549,-0.000429410000000002,"Liverpool","Brighton",78,"Jarell Quansah","DC",TRUE,-8.33738006117599,0,-116.165355415832,"J. Quansah",9,1,"Liverpool",9
10,10,0,19,26,19.845,31.96,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,114147,21.525,44.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316666666666667,2817196695,0,56,212,213,140,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","12.8","1.44","20.5",NA,"65.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-20 04:31:12",31611,"American Express Stadium","Andy Madley","3 : 2",211,26,0.01016549,0.01001304,-0.000152449999999998,"Liverpool","Brighton",1,"Alisson Becker","GK",TRUE,1.02449981113651,0,82.4738399622529,"A. Becker",10,1,"Liverpool",10
