"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_Zone","type_value_Length","type_value_Longball","type_value_Angle","type_value_PassEndX","type_value_PassEndY","type_value_OtherBodyPart","type_value_LayOff","type_value_Chipped","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_HeadPass","type_value_ThrowIn","type_value_Head","type_value_Cross","type_value_RightFoot","type_value_HighClaim","type_value_KeeperThrow","type_value_ShotAssist","type_value_IntentionalAssist","type_value_Throughball","type_value_BigChanceCreated","type_value_KeyPass","type_value_RegularPlay","type_value_BigChance","type_value_Assisted","type_value_MissHigh","type_value_FirstTouch","type_value_RelatedEventId","type_value_BoxCentre","type_value_GoalMouthZ","type_value_Volley","type_value_GoalMouthY","type_value_LeftFoot","type_value_GoalKick","type_value_Foul","type_value_AerialFoul","type_value_FreekickTaken","type_value_BlockedCross","type_value_MissLeft","type_value_CornerTaken","type_value_PlayerCaughtOffside","type_value_GoalDisallowed","type_value_IndirectFreekickTaken","type_value_MissRight","type_value_BlockedY","type_value_BlockedX","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_LeadingToAttempt","type_value_Blocked","type_value_LowCentre","type_value_OutfielderBlock","type_value_FromCorner","type_value_Yellow","type_value_HighRight","type_value_DivingSave","type_value_Hands","type_value_ParriedDanger","type_value_KeeperSaveObox","type_value_DirectFreekick","type_value_HighLeft","type_value_BoxRight","type_value_FastBreak","type_value_LastMan","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_IntentionalGoalAssist","type_value_LowRight","type_value_OverRun","type_value_ParriedSafe","type_value_KeeperSaveInTheBox","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_InvolvedPlayers","type_value_TeamFormation","value_StandingSave","value_Zone","value_Length","value_Longball","value_Angle","value_PassEndX","value_PassEndY","value_OtherBodyPart","value_LayOff","value_Chipped","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_HeadPass","value_ThrowIn","value_Head","value_Cross","value_RightFoot","value_HighClaim","value_KeeperThrow","value_ShotAssist","value_IntentionalAssist","value_Throughball","value_BigChanceCreated","value_KeyPass","value_RegularPlay","value_BigChance","value_Assisted","value_MissHigh","value_FirstTouch","value_RelatedEventId","value_BoxCentre","value_GoalMouthZ","value_Volley","value_GoalMouthY","value_LeftFoot","value_GoalKick","value_Foul","value_AerialFoul","value_FreekickTaken","value_BlockedCross","value_MissLeft","value_CornerTaken","value_PlayerCaughtOffside","value_GoalDisallowed","value_IndirectFreekickTaken","value_MissRight","value_BlockedY","value_BlockedX","value_IndividualPlay","value_OutOfBoxCentre","value_LeadingToAttempt","value_Blocked","value_LowCentre","value_OutfielderBlock","value_FromCorner","value_Yellow","value_HighRight","value_DivingSave","value_Hands","value_ParriedDanger","value_KeeperSaveObox","value_DirectFreekick","value_HighLeft","value_BoxRight","value_FastBreak","value_LastMan","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_IntentionalGoalAssist","value_LowRight","value_OverRun","value_ParriedSafe","value_KeeperSaveInTheBox","value_TeamPlayerFormation","value_CaptainPlayerId","value_InvolvedPlayers","value_TeamFormation","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,32,52.29,34.204,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 35, 37, 215, 218)",TRUE,123761,18.795,42.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2815395397,0,178,56,212,1,213,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","34.4",NA,"2.91","17.9","62.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.01689528,0.01001304,-0.00688224,"Man Utd","Chelsea",8,"Bruno Fernandes","MC",TRUE,-33.8863835207048,0,166.528206846052,"B. Fernandes",1,1,"Man Utd",1
2,4.5,0,4,32,18.795,42.228,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,260843,29.085,41.004,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.01016549,0.01132376,0.00115827,"Man Utd","Chelsea",24,"Andre Onana","GK",TRUE,0,10.3593646267403,-6.78348421912924,"A. Onana",2,1,"Man Utd",2
3,5,0,8,32,29.085,41.004,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 205, 36, 37, 217, 218)",TRUE,260843,76.23,52.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2815395455,0,178,56,212,1,213,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","48.6",NA,"0.25","72.6","77.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.01132376,0.02401521,0.01269145,"Man Utd","Chelsea",24,"Andre Onana","GK",TRUE,41.775120000758,0,14.2439436157581,"A. Onana",3,1,"Man Utd",3
4,6,0,11,32,76.23,52.972,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,439584,62.895,56.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2815395503,0,178,56,212,NA,213,140,141,21,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","13.7",NA,"2.91","59.9","82.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.02401521,0.01870347,-0.00531174,"Man Utd","Chelsea",9,"Rasmus Hojlund","FW",TRUE,-13.1218554805003,0,166.522143666205,"R. Hojlund",4,1,"Man Utd",4
5,7,0,13,32,61.74,56.848,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 124, 205, 36, 37, 217, 218)",TRUE,88526,73.92,65.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2815395517,0,178,56,212,NA,213,140,141,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","14.9",NA,"0.62","70.4","96.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.01870347,0.02122129,0.00251782,"Man Utd","Chelsea",18,"Casemiro","MC",TRUE,4.68263648714194,0,35.3378303524973,"Casemiro",5,1,"Man Utd",5
6,8,0,15,32,72.345,65.28,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 199)",FALSE,495260,72.345,65.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2815395543,0,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,NA,NA,NA,"Man Utd","Chelsea",13,"Patrick Dorgu","DML",TRUE,0,0,0,"P. Dorgu",6,1,"Man Utd",6
7,4,0,15,15,32.655,2.72,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"c(198, 200)",FALSE,361330,32.655,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2815395521,0,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,NA,NA,NA,"Chelsea","Man Utd",24,"Reece James","DR",TRUE,0,0,0,"R. James",7,1,"Man Utd",7
8,9,0,15,32,74.13,65.416,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 139, 205, 36, 38, 217, 218)",TRUE,495260,91.245,65.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2815395575,0,NA,56,212,NA,213,140,141,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","17.1",NA,"6.26","86.9","95.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.02122129,0.03485072,0.01362943,"Man Utd","Chelsea",13,"Patrick Dorgu","DML",TRUE,10.0604635508965,0,-1.13806620043332,"P. Dorgu",8,1,"Man Utd",8
9,10,0,18,32,92.295,65.008,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 38, 217, 218)",TRUE,343346,89.145,64.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2815395615,0,178,56,212,NA,213,140,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","3.3",NA,"3.40","84.9","94.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,0.03485072,0.03485072,0,"Man Utd","Chelsea",7,"Mason Mount","AMC",TRUE,-0.591979764448695,0,-165.476907868907,"M. Mount",9,1,"Man Utd",9
10,11,0,21,32,89.145,64.056,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 35, 37, 217, 218)",TRUE,495260,87.465,65.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2815395629,0,178,56,212,NA,213,140,141,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","1.9",NA,"2.63","83.3","95.6",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-17 08:05:00",39849,"Stamford Bridge","Chris Kavanagh","1 : 0",15,32,NA,NA,NA,"Man Utd","Chelsea",13,"Patrick Dorgu","DML",TRUE,-1.64111055025156,0,150.461217740442,"P. Dorgu",10,1,"Man Utd",10
