"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_Length","type_value_PassEndX","type_value_Angle","type_value_StandingSave","type_value_PassEndY","type_value_Longball","type_value_Head","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_KeeperThrow","type_value_Chipped","type_value_HeadPass","type_value_ThrowIn","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_FreekickTaken","type_value_ShotAssist","type_value_RegularPlay","type_value_IntentionalAssist","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_KeyPass","type_value_LowRight","type_value_BigChance","type_value_GoalMouthY","type_value_RelatedEventId","type_value_BoxCentre","type_value_Assisted","type_value_GoalMouthZ","type_value_RightFoot","type_value_Foul","type_value_FastBreak","type_value_IndividualPlay","type_value_LeftFoot","type_value_GoalKick","type_value_Cross","type_value_OtherBodyPart","type_value_MissLeft","type_value_FirstTouch","type_value_Volley","type_value_BlockedX","type_value_BoxLeft","type_value_BlockedY","type_value_Hands","type_value_DivingSave","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_Throughball","type_value_LayOff","type_value_SetPiece","type_value_LowCentre","type_value_Blocked","type_value_OutfielderBlock","type_value_BoxRight","type_value_DeepBoxLeft","type_value_LowLeft","type_value_CornerTaken","type_value_FromCorner","type_value_SixYardBlock","type_value_OutOfBoxCentre","type_value_GoalDisallowed","type_value_Yellow","type_value_OverRun","type_value_SmallBoxCentre","type_value_SavedOffline","type_value_LastMan","type_value_OwnGoal","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_LeadingToAttempt","type_value_MissRight","type_value_DirectFreekick","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_ParriedDanger","type_value_HighClaim","type_value_SmallBoxLeft","type_value_BlockedCross","type_value_KeeperSaveObox","type_value_MissHigh","type_value_Penalty","type_value_KeeperMissed","value_Zone","value_Length","value_PassEndX","value_Angle","value_StandingSave","value_PassEndY","value_Longball","value_Head","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_KeeperThrow","value_Chipped","value_HeadPass","value_ThrowIn","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_FreekickTaken","value_ShotAssist","value_RegularPlay","value_IntentionalAssist","value_BigChanceCreated","value_IntentionalGoalAssist","value_KeyPass","value_LowRight","value_BigChance","value_GoalMouthY","value_RelatedEventId","value_BoxCentre","value_Assisted","value_GoalMouthZ","value_RightFoot","value_Foul","value_FastBreak","value_IndividualPlay","value_LeftFoot","value_GoalKick","value_Cross","value_OtherBodyPart","value_MissLeft","value_FirstTouch","value_Volley","value_BlockedX","value_BoxLeft","value_BlockedY","value_Hands","value_DivingSave","value_Collected","value_KeeperSaveInTheBox","value_Throughball","value_LayOff","value_SetPiece","value_LowCentre","value_Blocked","value_OutfielderBlock","value_BoxRight","value_DeepBoxLeft","value_LowLeft","value_CornerTaken","value_FromCorner","value_SixYardBlock","value_OutOfBoxCentre","value_GoalDisallowed","value_Yellow","value_OverRun","value_SmallBoxCentre","value_SavedOffline","value_LastMan","value_OwnGoal","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_LeadingToAttempt","value_MissRight","value_DirectFreekick","value_TeamFormation","value_InvolvedPlayers","value_TeamPlayerFormation","value_CaptainPlayerId","value_ParriedDanger","value_HighClaim","value_SmallBoxLeft","value_BlockedCross","value_KeeperSaveObox","value_MissHigh","value_Penalty","value_KeeperMissed","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,26,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,355354,36.225,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2810431119,0,56,212,140,213,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","18.4","34.5","2.66",NA,"62.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,0.01689528,0.01269174,-0.00420354,"Liverpool","Chelsea",17,"Curtis Jones","DMC",TRUE,-16.7982728861261,0,152.423130993525,"C. Jones",1,1,"Liverpool",1
2,5,0,2,26,36.225,42.5,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,95408,72.03,16.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2810431159,0,56,212,140,213,178,141,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","44.3","68.6","5.65",NA,"24.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,NA,NA,NA,"Liverpool","Chelsea",4,"Virgil van Dijk","DC",TRUE,31.9510797385815,0,-36.0315596770167,"V. v. Dijk",2,1,"Liverpool",2
3,4,0,6,15,24.15,52.7,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 216)",TRUE,421351,44.94,38.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2810431191,0,56,212,140,213,178,141,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","25.1","42.8","5.69",NA,"56.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,NA,NA,NA,"Chelsea","Liverpool",6,"Levi Colwill","DC",TRUE,0,0,-33.9715173244755,"L. Colwill",3,1,"Liverpool",3
4,4.5,0,7.5,15,44.94,38.692,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,426050,41.265,34.272,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,0.01484598,0.01262646,-0.00221952,"Chelsea","Liverpool",15,"Nicolas Jackson","FW",TRUE,0,-3.49258525592551,-129.741760249383,"N. Jackson",4,1,"Liverpool",4
5,6,0,9,15,41.265,34.272,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 38, 216, 218)",TRUE,426050,46.095,19.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2810431251,0,56,212,140,213,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","15.3","43.9","5.03",NA,"29.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,NA,NA,NA,"Chelsea","Liverpool",15,"Nicolas Jackson","FW",TRUE,3.14036632389853,0,-71.5579310355075,"N. Jackson",5,1,"Liverpool",5
6,7,0,12,26,63.21,49.844,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,301455,63.21,49.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2810431273,0,56,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,NA,NA,NA,"Liverpool","Chelsea",21,"Kostas Tsimikas","DL",TRUE,0,0,0,"K. Tsimikas",6,1,"Liverpool",6
7,8,0,18,26,75.39,50.728,"FirstHalf","TakeOn","Successful",NA,NA,NA,"c(91, 54)",TRUE,355354,75.39,50.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2810431387,0,56,NA,NA,NA,178,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,NA,NA,NA,"Liverpool","Chelsea",17,"Curtis Jones","DMC",TRUE,0,0,0,"C. Jones",7,1,"Liverpool",7
8,8,0,18,15,29.61,17.272,"FirstHalf","Challenge","Unsuccessful",NA,NA,NA,"55",FALSE,425319,29.61,17.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2810431357,0,56,NA,NA,NA,NA,NA,NA,NA,233,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,NA,NA,NA,"Chelsea","Liverpool",45,"Romeo Lavia","DMC",TRUE,0,0,0,"R. Lavia",8,1,"Liverpool",8
9,9,0,19,26,77.385,46.104,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 38, 217, 218)",TRUE,355354,75.495,39.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316666666666667,2810431409,0,56,212,140,213,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","7.1","71.9","4.44",NA,"57.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,0.0241224,0.02385149,-0.000270909999999999,"Liverpool","Chelsea",17,"Curtis Jones","DMC",TRUE,0.185210235885982,0,-105.386333413572,"C. Jones",9,1,"Liverpool",9
10,10,0,21,26,74.865,36.992,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 38, 217, 218)",TRUE,86829,80.115,22.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2810431423,0,56,212,140,213,178,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","15.0","76.3","5.07",NA,"33.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 02:15:07",39829,"Stamford Bridge","Simon Hooper","3 : 1",15,26,0.02385149,0.02855202,0.00470053,"Liverpool","Chelsea",3,"Wataru Endo","DMC",TRUE,3.06891697892718,0,-69.4547133725282,"W. Endo",10,1,"Liverpool",10
