"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_PassEndX","type_value_Length","type_value_PassEndY","type_value_Zone","type_value_StandingSave","type_value_Longball","type_value_OtherBodyPart","type_value_HeadPass","type_value_Chipped","type_value_KeeperThrow","type_value_LeftFoot","type_value_Cross","type_value_ThrowIn","type_value_Head","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Foul","type_value_Defensive","type_value_FreekickTaken","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_SetPiece","type_value_GoalMouthY","type_value_MissRight","type_value_Assisted","type_value_RelatedEventId","type_value_BoxCentre","type_value_GoalMouthZ","type_value_FirstTouch","type_value_GoalKick","type_value_MissHigh","type_value_RightFoot","type_value_LayOff","type_value_FastBreak","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_Throughball","type_value_BoxLeft","type_value_LowCentre","type_value_RegularPlay","type_value_BlockedX","type_value_BlockedY","type_value_Hands","type_value_ParriedDanger","type_value_KeeperSaveInTheBox","type_value_MissLeft","type_value_CornerTaken","type_value_Yellow","type_value_BlockedCross","type_value_BigChanceCreated","type_value_SmallBoxCentre","type_value_FromCorner","type_value_BigChance","type_value_Collected","type_value_DivingSave","type_value_OverRun","type_value_IntentionalGoalAssist","type_value_LowRight","type_value_LowLeft","type_value_BoxRight","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_Blocked","type_value_OutfielderBlock","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_TeamPlayerFormation","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_DirectFreekick","type_value_HighCentre","type_value_HighClaim","type_value_KeeperSaveObox","type_value_HighRight","type_value_Volley","type_value_ParriedSafe","type_value_SixYardBlock","type_value_SmallBoxRight","value_Angle","value_PassEndX","value_Length","value_PassEndY","value_Zone","value_StandingSave","value_Longball","value_OtherBodyPart","value_HeadPass","value_Chipped","value_KeeperThrow","value_LeftFoot","value_Cross","value_ThrowIn","value_Head","value_OppositeRelatedEvent","value_Offensive","value_Foul","value_Defensive","value_FreekickTaken","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_SetPiece","value_GoalMouthY","value_MissRight","value_Assisted","value_RelatedEventId","value_BoxCentre","value_GoalMouthZ","value_FirstTouch","value_GoalKick","value_MissHigh","value_RightFoot","value_LayOff","value_FastBreak","value_IndividualPlay","value_OutOfBoxCentre","value_Throughball","value_BoxLeft","value_LowCentre","value_RegularPlay","value_BlockedX","value_BlockedY","value_Hands","value_ParriedDanger","value_KeeperSaveInTheBox","value_MissLeft","value_CornerTaken","value_Yellow","value_BlockedCross","value_BigChanceCreated","value_SmallBoxCentre","value_FromCorner","value_BigChance","value_Collected","value_DivingSave","value_OverRun","value_IntentionalGoalAssist","value_LowRight","value_LowLeft","value_BoxRight","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_Blocked","value_OutfielderBlock","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_TeamPlayerFormation","value_TeamFormation","value_InvolvedPlayers","value_CaptainPlayerId","value_DirectFreekick","value_HighCentre","value_HighClaim","value_KeeperSaveObox","value_HighRight","value_Volley","value_ParriedSafe","value_SixYardBlock","value_SmallBoxRight","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,161,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,94868,24.255,34.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2817441239,0,213,140,212,141,56,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.13","23.1","28.2","50.3","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.01689528,0.01016549,-0.00672979,"Wolves","Crystal Palace",21,"Pablo Sarabia","AMC",TRUE,-28.245257699756,0,179.586187438936,"P. Sarabia",1,1,"Wolves",1
2,4.5,0,2,161,24.255,34.204,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,134543,26.775,36.04,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.01016549,0.01132376,0.00115827,"Wolves","Crystal Palace",25,"Dan Bentley","GK",TRUE,0,2.49366202912444,36.0760115563686,"D. Bentley",2,1,"Wolves",2
3,5,0,4,161,26.775,36.04,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 205, 36, 37, 217, 218)",TRUE,134543,76.545,51.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2817441259,0,213,140,212,141,56,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.29","72.9","52.0","75.2","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.01132376,0.02401521,0.01269145,"Wolves","Crystal Palace",25,"Dan Bentley","GK",TRUE,45.0351912746106,0,16.8733507431831,"D. Bentley",3,1,"Wolves",3
4,5.5,0,6,161,76.545,51.136,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,333048,71.295,53.448,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.02401521,0.02401521,0,"Wolves","Crystal Palace",9,"Jorgen Strand Larsen","FW",TRUE,0,-5.69698313320863,156.232221410183,"J. S. Larsen",4,1,"Wolves",4
5,6,0,8,161,71.295,53.448,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,333048,71.295,53.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2817441261,0,NA,NA,NA,NA,56,178,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,NA,NA,NA,"Wolves","Crystal Palace",9,"Jorgen Strand Larsen","FW",TRUE,0,0,0,"J. S. Larsen",5,1,"Wolves",5
6,5,0,9,162,23.94,19.38,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,43105,4.62,31.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2817441277,0,213,140,212,141,56,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.58","4.4","22.8","46.4","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.01001304,0.00941056,-0.000602480000000001,"Crystal Palace","Wolves",2,"Joel Ward","DC",TRUE,-18.0419635626571,0,147.788223083867,"J. Ward",6,1,"Wolves",6
7,6,0,11,162,4.725,31.144,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 216, 218)",TRUE,304008,61.53,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2817441295,0,213,140,212,141,56,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.84","58.6","62.8","6.5","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,NA,NA,NA,"Crystal Palace","Wolves",1,"Dean Henderson","GK",TRUE,47.7360354031904,0,-25.194711445098,"D. Henderson",7,1,"Wolves",7
8,7,0,17,161,49.245,59.976,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,431283,49.245,59.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2817441313,0,NA,NA,NA,NA,56,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,NA,NA,NA,"Wolves","Crystal Palace",24,"Toti Gomes","DC",TRUE,0,0,0,"T. Gomes",8,1,"Wolves",8
9,9,0,18,161,55.545,57.732,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,247995,39.375,42.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2817441347,0,213,140,212,141,56,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.89","37.5","22.2","62.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.01611813,0.01269174,-0.00342639,"Wolves","Crystal Palace",29,"Goncalo Guedes","AMC",TRUE,-11.32755880835,0,-136.838889447262,"G. Guedes",9,1,"Wolves",9
10,9.5,0,20.5,161,39.375,42.568,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,320242,39.9,38.556,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.341666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-05 13:31:09",24766,"Selhurst Park","David Webb","4 : 2",162,161,0.01269174,0.01262646,-6.52799999999992e-05,"Wolves","Crystal Palace",27,"Jean-Ricner Bellegarde","MC",TRUE,0,0.922725340459763,-82.544782636574,"J. Bellegarde",10,1,"Wolves",10
