"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_PassEndX","type_value_StandingSave","type_value_PassEndY","type_value_Length","type_value_Angle","type_value_Longball","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Offensive","type_value_HeadPass","type_value_ThrowIn","type_value_Cross","type_value_RightFoot","type_value_Chipped","type_value_GoalKick","type_value_MissHigh","type_value_KeeperThrow","type_value_BlockedCross","type_value_MissLeft","type_value_MissRight","type_value_LeftFoot","type_value_CornerTaken","type_value_Head","type_value_FromCorner","type_value_BlockedX","type_value_BlockedY","type_value_GoalMouthZ","type_value_GoalMouthY","type_value_BoxLeft","type_value_FirstTouch","type_value_BigChanceCreated","type_value_KeyPass","type_value_SmallBoxCentre","type_value_Assisted","type_value_LowLeft","type_value_BigChance","type_value_RelatedEventId","type_value_ParriedDanger","type_value_Hands","type_value_KeeperSaveInSixYard","type_value_KeeperSaveInTheBox","type_value_LayOff","type_value_IndividualPlay","type_value_BoxCentre","type_value_RegularPlay","type_value_Foul","type_value_FreekickTaken","type_value_HighClaim","type_value_LastMan","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_ShotAssist","type_value_IntentionalAssist","type_value_SmallBoxLeft","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_OtherBodyPart","type_value_LeadingToAttempt","type_value_Blocked","type_value_SavedOffline","type_value_LowCentre","type_value_OutfielderBlock","type_value_SetPiece","type_value_LowRight","type_value_GoalDisallowed","type_value_Throughball","type_value_IntentionalGoalAssist","type_value_OneOnOne","type_value_Volley","type_value_BoxRight","type_value_HighCentre","type_value_ParriedSafe","type_value_HighRight","type_value_Feet","type_value_OutOfBoxCentre","type_value_Yellow","type_value_DivingSave","type_value_OverRun","type_value_FastBreak","value_Zone","value_PassEndX","value_StandingSave","value_PassEndY","value_Length","value_Angle","value_Longball","value_OppositeRelatedEvent","value_Defensive","value_Offensive","value_HeadPass","value_ThrowIn","value_Cross","value_RightFoot","value_Chipped","value_GoalKick","value_MissHigh","value_KeeperThrow","value_BlockedCross","value_MissLeft","value_MissRight","value_LeftFoot","value_CornerTaken","value_Head","value_FromCorner","value_BlockedX","value_BlockedY","value_GoalMouthZ","value_GoalMouthY","value_BoxLeft","value_FirstTouch","value_BigChanceCreated","value_KeyPass","value_SmallBoxCentre","value_Assisted","value_LowLeft","value_BigChance","value_RelatedEventId","value_ParriedDanger","value_Hands","value_KeeperSaveInSixYard","value_KeeperSaveInTheBox","value_LayOff","value_IndividualPlay","value_BoxCentre","value_RegularPlay","value_Foul","value_FreekickTaken","value_HighClaim","value_LastMan","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_ShotAssist","value_IntentionalAssist","value_SmallBoxLeft","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_OtherBodyPart","value_LeadingToAttempt","value_Blocked","value_SavedOffline","value_LowCentre","value_OutfielderBlock","value_SetPiece","value_LowRight","value_GoalDisallowed","value_Throughball","value_IntentionalGoalAssist","value_OneOnOne","value_Volley","value_BoxRight","value_HighCentre","value_ParriedSafe","value_HighRight","value_Feet","value_OutOfBoxCentre","value_Yellow","value_DivingSave","value_OverRun","value_FastBreak","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,18,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,447231,24.255,31.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2816348805,0,56,140,178,141,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","23.1",NA,"46.9","28.3","3.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,0.01689528,0.01016549,-0.00672979,"Southampton","Everton",18,"Mateus Fernandes","AMC",TRUE,-28.2725119641577,0,-175.7317755024,"M. Fernandes",1,1,"Southampton",1
2,5,0,4,18,24.255,31.892,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,316858,71.82,59.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2816348835,0,56,140,178,141,212,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","68.4",NA,"87.2","54.9","0.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,NA,NA,NA,"Southampton","Everton",30,"Aaron Ramsdale","GK",TRUE,39.0496163791195,0,29.947875633169,"A. Ramsdale",2,1,"Southampton",2
3,4,0,7,31,30.87,7.752,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,424495,30.87,7.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2816348837,0,56,NA,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,NA,NA,NA,"Everton","Southampton",15,"Jake O'Brien","DC",TRUE,0,0,0,"J. O'Brien",3,1,"Southampton",3
4,6,0,7,18,74.13,60.248,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,342877,74.13,60.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2816348839,0,56,NA,NA,NA,NA,NA,NA,233,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,NA,NA,NA,"Southampton","Everton",7,"Joe Aribo","MC",TRUE,0,0,0,"J. Aribo",4,1,"Southampton",4
5,5,0,8,31,27.72,6.188,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 38, 216, 218)",TRUE,424495,35.595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2816348841,0,56,140,NA,141,212,213,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","33.9",NA,"0.0","10.8","5.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,NA,NA,NA,"Everton","Southampton",15,"Jake O'Brien","DC",TRUE,4.84670978039247,0,-38.1594757739704,"J. O'Brien",5,1,"Southampton",5
6,8,0,18,18,69.405,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 35, 38, 216)",TRUE,389158,53.445,65.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2816348919,0,56,140,NA,141,212,213,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","50.9",NA,"95.7","16.5","3.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,0.02122129,0.01473596,-0.00648533,"Southampton","Everton",34,"Welington","DML",TRUE,-10.9726239903506,0,-169.618088783425,"Welington",6,1,"Southampton",6
7,9,0,22,18,54.705,65.348,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,92550,34.44,49.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366666666666667,2816348933,0,56,140,178,141,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","32.8",NA,"72.8","25.7","3.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,0.01473596,0.01110462,-0.00363134,"Southampton","Everton",5,"Jack Stephens","DC",TRUE,-12.9787263489426,0,-141.980259800722,"J. Stephens",7,1,"Southampton",7
8,9.5,0,23.5,18,34.44,49.504,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,361334,28.14,38.556,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.391666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,0.01110462,0.01132376,0.00021914,"Southampton","Everton",15,"Nathan Wood","DC",TRUE,0,-4.75166061923969,-119.918170175942,"N. Wood",8,1,"Southampton",8
9,10,0,25,18,28.14,38.556,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,361334,29.4,23.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,2816348941,0,56,140,178,141,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","28.0",NA,"34.9","14.9","4.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,0.01132376,0.01110462,-0.00021914,"Southampton","Everton",15,"Nathan Wood","DC",TRUE,0.700799748310089,0,-85.1416905747592,"N. Wood",9,1,"Southampton",9
10,11,0,29,18,29.61,23.936,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 36, 37, 215, 218)",TRUE,384061,33.285,56.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333333333,2816348967,0,56,140,178,141,212,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","31.7",NA,"82.4","32.3","1.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-18 21:52:12",39201,"Goodison Park","Michael Oliver","2 : 0",31,18,0.01110462,0.0105949,-0.00050972,"Southampton","Everton",6,"Taylor Harwood-Bellis","DC",TRUE,1.03576990765553,0,83.4680650720111,"T. Harwood-Bellis",10,1,"Southampton",10
