"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_Zone","type_value_Angle","type_value_PassEndY","type_value_Length","type_value_StandingSave","type_value_Longball","type_value_Chipped","type_value_HeadPass","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_OtherBodyPart","type_value_ThrowIn","type_value_Foul","type_value_FreekickTaken","type_value_Head","type_value_KeeperThrow","type_value_LayOff","type_value_RightFoot","type_value_LowCentre","type_value_OutOfBoxCentre","type_value_FastBreak","type_value_BlockedY","type_value_IndividualPlay","type_value_GoalMouthZ","type_value_BlockedX","type_value_GoalMouthY","type_value_Hands","type_value_Collected","type_value_KeeperSaveObox","type_value_Cross","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_LeftFoot","type_value_IntentionalAssist","type_value_ShotAssist","type_value_BigChanceCreated","type_value_KeyPass","type_value_Assisted","type_value_FirstTouch","type_value_BigChance","type_value_SmallBoxRight","type_value_FromCorner","type_value_RelatedEventId","type_value_LowRight","type_value_ParriedSafe","type_value_KeeperSaveInSixYard","type_value_KeeperSaveInTheBox","type_value_BlockedCross","type_value_MissHigh","type_value_BoxCentre","type_value_Volley","type_value_GoalKick","type_value_ThrowinSetPiece","type_value_RegularPlay","type_value_Blocked","type_value_OutfielderBlock","type_value_HighRight","type_value_IntentionalGoalAssist","type_value_Yellow","type_value_OverRun","type_value_LowLeft","type_value_HighCentre","type_value_BoxLeft","type_value_SixYardBlock","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_PlayerPosition","type_value_JerseyNumber","type_value_TeamFormation","type_value_DivingSave","type_value_FormationSlot","type_value_SmallBoxCentre","type_value_SetPiece","type_value_AerialFoul","type_value_HighClaim","value_PassEndX","value_Zone","value_Angle","value_PassEndY","value_Length","value_StandingSave","value_Longball","value_Chipped","value_HeadPass","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_OtherBodyPart","value_ThrowIn","value_Foul","value_FreekickTaken","value_Head","value_KeeperThrow","value_LayOff","value_RightFoot","value_LowCentre","value_OutOfBoxCentre","value_FastBreak","value_BlockedY","value_IndividualPlay","value_GoalMouthZ","value_BlockedX","value_GoalMouthY","value_Hands","value_Collected","value_KeeperSaveObox","value_Cross","value_MissLeft","value_MissRight","value_CornerTaken","value_LeftFoot","value_IntentionalAssist","value_ShotAssist","value_BigChanceCreated","value_KeyPass","value_Assisted","value_FirstTouch","value_BigChance","value_SmallBoxRight","value_FromCorner","value_RelatedEventId","value_LowRight","value_ParriedSafe","value_KeeperSaveInSixYard","value_KeeperSaveInTheBox","value_BlockedCross","value_MissHigh","value_BoxCentre","value_Volley","value_GoalKick","value_ThrowinSetPiece","value_RegularPlay","value_Blocked","value_OutfielderBlock","value_HighRight","value_IntentionalGoalAssist","value_Yellow","value_OverRun","value_LowLeft","value_HighCentre","value_BoxLeft","value_SixYardBlock","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_PlayerPosition","value_JerseyNumber","value_TeamFormation","value_DivingSave","value_FormationSlot","value_SmallBoxCentre","value_SetPiece","value_AerialFoul","value_HighClaim","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,165,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,256129,29.715,35.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2809329883,0,140,56,213,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.3","Back","3.06","52.7","22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01689528,0.01132376,-0.00557152,"Ipswich","Everton",10,"Conor Chaplin","AMC",TRUE,-22.8073842395286,0,175.39309826898,"C. Chaplin",1,1,"Ipswich",1
2,5,0,3,165,29.715,35.836,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 36, 37, 216, 218)",TRUE,356599,65.1,64.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2809329969,0,140,56,213,141,212,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.0","Left","0.69","95.4","45.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01132376,0.0174506,0.00612684,"Ipswich","Everton",6,"Luke Woolfenden","DC",TRUE,24.8584954113294,0,39.3714014768428,"L. Woolfenden",2,1,"Ipswich",2
3,6,0,7,165,65.1,64.872,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,381161,57.645,57.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2809330031,0,140,56,213,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.9","Left","3.90","85.1","10.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.0174506,0.01611813,-0.00133247,"Ipswich","Everton",24,"Jacob Greaves","DL",TRUE,-2.5810786336049,0,-136.786570388474,"J. Greaves",3,1,"Ipswich",3
4,7,0,8,165,57.645,57.868,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,323713,34.44,59.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2809330119,0,140,56,213,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.8","Back","3.06","87.8","23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01611813,0.00977659,-0.00634154,"Ipswich","Everton",14,"Jack Taylor","DMC",TRUE,-22.0660325381959,0,175.476131823822,"J. Taylor",4,1,"Ipswich",4
5,8,0,11,165,34.44,59.704,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 37, 216, 218)",TRUE,231118,62.79,65.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2809330183,0,140,56,213,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.8","Left","0.20","96.3","28.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01126267,0.0174506,0.00618793,"Ipswich","Everton",15,"Cameron Burgess","DC",TRUE,22.4374170718581,0,11.5235333195534,"C. Burgess",5,1,"Ipswich",5
6,9,0,13,165,62.79,65.484,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,381161,34.86,60.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2809330241,0,140,56,213,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.2","Back","3.32","89.1","28.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.0174506,0.01126267,-0.00618793,"Ipswich","Everton",24,"Jacob Greaves","DL",TRUE,-22.3516919946978,0,-170.057334114284,"J. Greaves",6,1,"Ipswich",6
7,9.5,0,15,165,34.86,60.588,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,231118,38.85,58.616,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01126267,0.01126267,0,"Ipswich","Everton",15,"Cameron Burgess","DC",TRUE,0,4.42862039420174,-26.3002212847668,"C. Burgess",7,1,"Ipswich",7
8,10,0,17,165,38.85,58.616,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 124, 36, 38, 216, 218)",TRUE,231118,65.1,44.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2809330331,0,140,56,213,141,212,178,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.0","Center","5.80","65.7","29.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01214719,0.01935132,0.00720413,"Ipswich","Everton",15,"Cameron Burgess","DC",TRUE,29.2780593340305,0,-27.9704303185473,"C. Burgess",8,1,"Ipswich",8
9,11,0,18,165,65.1,44.676,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,401254,65.1,44.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2809330335,0,NA,56,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,NA,NA,NA,"Ipswich","Everton",19,"Liam Delap","FW",TRUE,0,0,0,"L. Delap",9,1,"Ipswich",9
10,4,0,19,31,40.53,19.04,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 139, 36, 37, 216, 218)",TRUE,381045,47.25,24.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316666666666667,2809330405,0,140,56,213,141,212,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.0","Back","0.72","36.7","9.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-03 21:57:43",39305,"Goodison Park","Lewis Smith","2 : 2",31,165,0.01269174,0.01429128,0.00159954,"Everton","Ipswich",32,"Jarrad Branthwaite","DC",TRUE,7.72906421461673,0,41.3593074013607,"J. Branthwaite",10,2,"Everton",10
