"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_PassEndY","type_value_Angle","type_value_Zone","type_value_Length","type_value_StandingSave","type_value_Longball","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Head","type_value_Chipped","type_value_ThrowIn","type_value_LeftFoot","type_value_Cross","type_value_OtherBodyPart","type_value_HeadPass","type_value_BlockedY","type_value_ThrowinSetPiece","type_value_Blocked","type_value_GoalMouthY","type_value_GoalMouthZ","type_value_BlockedX","type_value_BoxRight","type_value_LowCentre","type_value_OutfielderBlock","type_value_Foul","type_value_FreekickTaken","type_value_RegularPlay","type_value_BoxCentre","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_OutOfBoxCentre","type_value_RelatedEventId","type_value_Assisted","type_value_ParriedSafe","type_value_Hands","type_value_KeeperSaveObox","type_value_RightFoot","type_value_LayOff","type_value_IndividualPlay","type_value_LowLeft","type_value_Collected","type_value_KeeperThrow","type_value_GoalKick","type_value_BoxLeft","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_FirstTouch","type_value_BigChance","type_value_MissHigh","type_value_FastBreak","type_value_DivingSave","type_value_KeeperSaveInTheBox","type_value_Throughball","type_value_BlockedCross","type_value_MissLeft","type_value_CornerTaken","type_value_LastMan","type_value_LeadingToAttempt","type_value_MissRight","type_value_FromCorner","type_value_LowRight","type_value_Feet","type_value_SixYardBlock","type_value_SmallBoxCentre","type_value_HighCentre","type_value_ParriedDanger","type_value_KeeperSaveInSixYard","type_value_Volley","type_value_Yellow","type_value_HighLeft","type_value_HighRight","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_SmallBoxLeft","type_value_LeadingToGoal","type_value_HighClaim","type_value_OneOnOne","value_PassEndX","value_PassEndY","value_Angle","value_Zone","value_Length","value_StandingSave","value_Longball","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_Head","value_Chipped","value_ThrowIn","value_LeftFoot","value_Cross","value_OtherBodyPart","value_HeadPass","value_BlockedY","value_ThrowinSetPiece","value_Blocked","value_GoalMouthY","value_GoalMouthZ","value_BlockedX","value_BoxRight","value_LowCentre","value_OutfielderBlock","value_Foul","value_FreekickTaken","value_RegularPlay","value_BoxCentre","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_OutOfBoxCentre","value_RelatedEventId","value_Assisted","value_ParriedSafe","value_Hands","value_KeeperSaveObox","value_RightFoot","value_LayOff","value_IndividualPlay","value_LowLeft","value_Collected","value_KeeperThrow","value_GoalKick","value_BoxLeft","value_BigChanceCreated","value_IntentionalGoalAssist","value_FirstTouch","value_BigChance","value_MissHigh","value_FastBreak","value_DivingSave","value_KeeperSaveInTheBox","value_Throughball","value_BlockedCross","value_MissLeft","value_CornerTaken","value_LastMan","value_LeadingToAttempt","value_MissRight","value_FromCorner","value_LowRight","value_Feet","value_SixYardBlock","value_SmallBoxCentre","value_HighCentre","value_ParriedDanger","value_KeeperSaveInSixYard","value_Volley","value_Yellow","value_HighLeft","value_HighRight","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_InvolvedPlayers","value_TeamPlayerFormation","value_CaptainPlayerId","value_TeamFormation","value_SmallBoxLeft","value_LeadingToGoal","value_HighClaim","value_OneOnOne","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,31,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,367781,28.245,32.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2812535635,0,140,141,213,56,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.9","48.1","3.19","Back","24.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,0.01689528,0.01132376,-0.00557152,"Everton","Fulham",37,"James Garner","DMC",TRUE,-24.2658732054811,0,-176.950886338967,"J. Garner",1,1,"Everton",1
2,5,0,4,31,29.19,34,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,110189,92.19,25.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2812535703,0,140,141,213,56,212,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.8","37.0","6.14","Center","63.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Everton","Fulham",1,"Jordan Pickford","GK",TRUE,60.2458842204255,0,-7.98744909865083,"J. Pickford",2,1,"Everton",2
3,5,0,8,170,12.6,38.42,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,231135,12.6,38.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2812535719,0,NA,NA,NA,56,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Fulham","Everton",5,"Joachim Andersen","DC",TRUE,0,0,0,"J. Andersen",3,1,"Everton",3
4,6,0,8,31,92.4,29.58,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,380546,92.4,29.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2812535715,0,NA,NA,NA,56,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Everton","Fulham",14,"Beto","FW",TRUE,0,0,0,"Beto",4,1,"Everton",4
5,6,0,8,170,12.39,36.448,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 215)",TRUE,231135,14.49,35.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2812535729,0,140,141,213,56,212,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.8","51.5","5.69","Back","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Fulham","Everton",5,"Joachim Andersen","DC",TRUE,0,0,-34.2157021324373,"J. Andersen",5,1,"Everton",5
6,139,0,8,31,90.3,31.416,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,380546,90.3,31.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2812555603,0,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Everton","Fulham",14,"Beto","FW",TRUE,0,0,0,"Beto",6,1,"Everton",6
7,7,0,10,170,14.805,37.264,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 216)",TRUE,321020,42.525,42.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2812535767,0,140,141,213,56,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.5","62.7","0.19","Back","28.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Fulham","Everton",16,"Sander Berge","DMC",TRUE,0,0,10.9676868683766,"S. Berge",7,1,"Everton",7
8,8,0,12,170,42.525,42.636,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,108186,42.525,42.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2812535773,0,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,NA,NA,NA,"Fulham","Everton",7,"Raul Jimenez","FW",TRUE,0,0,0,"R. Jimenez",8,1,"Everton",8
9,8,0,14,31,56.385,17.612,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 35, 37, 215, 218)",TRUE,8166,25.2,35.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2812535831,0,140,141,213,56,212,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.0","52.7","2.61","Back","36.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,0.01685596,0.01016549,-0.00669047,"Everton","Fulham",18,"Ashley Young","DR",TRUE,-28.5182451961712,0,149.69868883242,"A. Young",9,1,"Everton",9
10,9,0,19,31,26.355,38.08,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,110189,29.82,48.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316666666666667,2812535885,0,140,141,213,56,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.4","71.7","1.26","Back","11.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 00:56:31",27653,"Craven Cottage","Darren England","1 : 3",170,31,0.01132376,0.01110462,-0.00021914,"Everton","Fulham",1,"Jordan Pickford","GK",TRUE,2.136324560811,0,72.0186554841849,"J. Pickford",10,1,"Everton",10
