"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Length","type_value_Zone","type_value_StandingSave","type_value_PassEndY","type_value_Angle","type_value_PassEndX","type_value_Longball","type_value_HeadPass","type_value_Chipped","type_value_OtherBodyPart","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_ThrowIn","type_value_IntentionalAssist","type_value_LeftFoot","type_value_Cross","type_value_ShotAssist","type_value_KeyPass","type_value_BoxCentre","type_value_LowCentre","type_value_RelatedEventId","type_value_GoalMouthZ","type_value_RegularPlay","type_value_GoalMouthY","type_value_FirstTouch","type_value_Assisted","type_value_BlockedY","type_value_BlockedX","type_value_Head","type_value_DivingSave","type_value_Collected","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_GoalKick","type_value_LayOff","type_value_RightFoot","type_value_HighClaim","type_value_KeeperThrow","type_value_BlockedCross","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_Foul","type_value_FreekickTaken","type_value_Yellow","type_value_FromCorner","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_HighLeft","type_value_SmallBoxRight","type_value_BigChance","type_value_LowLeft","type_value_OutOfBoxCentre","type_value_IndividualPlay","type_value_Blocked","type_value_OutfielderBlock","type_value_ThrowinSetPiece","type_value_Throughball","type_value_BoxRight","type_value_HighRight","type_value_MissHigh","type_value_OverRun","type_value_LowRight","type_value_ParriedSafe","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_LeadingToAttempt","type_value_Volley","type_value_SixYardBlock","type_value_SmallBoxLeft","type_value_DeepBoxRight","type_value_FastBreak","type_value_Feet","type_value_HighCentre","value_Length","value_Zone","value_StandingSave","value_PassEndY","value_Angle","value_PassEndX","value_Longball","value_HeadPass","value_Chipped","value_OtherBodyPart","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_ThrowIn","value_IntentionalAssist","value_LeftFoot","value_Cross","value_ShotAssist","value_KeyPass","value_BoxCentre","value_LowCentre","value_RelatedEventId","value_GoalMouthZ","value_RegularPlay","value_GoalMouthY","value_FirstTouch","value_Assisted","value_BlockedY","value_BlockedX","value_Head","value_DivingSave","value_Collected","value_Hands","value_KeeperSaveInTheBox","value_GoalKick","value_LayOff","value_RightFoot","value_HighClaim","value_KeeperThrow","value_BlockedCross","value_MissLeft","value_MissRight","value_CornerTaken","value_Foul","value_FreekickTaken","value_Yellow","value_FromCorner","value_BigChanceCreated","value_IntentionalGoalAssist","value_HighLeft","value_SmallBoxRight","value_BigChance","value_LowLeft","value_OutOfBoxCentre","value_IndividualPlay","value_Blocked","value_OutfielderBlock","value_ThrowinSetPiece","value_Throughball","value_BoxRight","value_HighRight","value_MissHigh","value_OverRun","value_LowRight","value_ParriedSafe","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_LeadingToAttempt","value_Volley","value_SixYardBlock","value_SmallBoxLeft","value_DeepBoxRight","value_FastBreak","value_Feet","value_HighCentre","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,165,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,256129,33.915,34.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2812536193,0,212,56,178,141,213,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.6","Back",NA,"50.6","3.12","32.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,0.01689528,0.01132376,-0.00557152,"Ipswich","Brentford",10,"Conor Chaplin","AMC",TRUE,-18.5861708702895,0,178.742376985619,"C. Chaplin",1,1,"Ipswich",1
2,4.5,0,2,165,33.915,34.408,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,362826,38.85,35.224,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,0.01132376,0.01262646,0.0013027,"Ipswich","Brentford",26,"Dara O'Shea","DC",TRUE,0,4.92484775776403,9.38888060619742,"D. O'Shea",2,1,"Ipswich",2
3,5,0,4,165,38.85,35.224,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,362826,73.5,61.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2812536249,0,212,56,178,141,213,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.3","Left",NA,"89.9","0.64","70.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,NA,NA,NA,"Ipswich","Brentford",26,"Dara O'Shea","DC",TRUE,24.5873477914187,0,36.7856719253462,"D. O'Shea",3,1,"Ipswich",3
4,4,0,8,189,33.6,9.792,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 38, 216, 218)",TRUE,101856,40.74,6.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2812536277,0,212,56,NA,141,213,140,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.8","Back",NA,"9.7","5.86","38.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,NA,NA,NA,"Brentford","Ipswich",6,"Christian Norgaard","DMC",TRUE,5.5328869091402,0,-24.114198539307,"C. Norgaard",4,1,"Ipswich",4
5,6,0,10,165,61.95,62.968,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 139, 205, 36, 37, 217, 218)",TRUE,231118,75.915,66.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2812536317,0,212,56,178,141,213,140,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.4","Left",NA,"97.7","0.24","72.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,0.0174506,0.02122129,0.00377069,"Ipswich","Brentford",15,"Cameron Burgess","DC",TRUE,8.32239831483124,0,13.946429162198,"C. Burgess",5,1,"Ipswich",5
6,7,0,12,165,75.915,66.436,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 124, 36, 38, 217, 218)",TRUE,417747,78.33,64.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2812536331,0,212,56,178,141,213,140,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.2","Left",NA,"94.7","5.58","74.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,NA,NA,NA,"Ipswich","Brentford",9,"Julio Enciso","AML",TRUE,3.1287243496098,0,-40.1884654983221,"J. Enciso",6,1,"Ipswich",6
7,6,0,14,189,30.345,4.964,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 127, 36, 38, 216, 218)",TRUE,101856,47.775,2.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2812536367,0,212,56,178,141,213,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.5","Back",NA,"4.3","6.17","45.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,0.00977659,0.01248344,0.00270685,"Brentford","Ipswich",6,"Christian Norgaard","DMC",TRUE,14.9843033829461,0,-6.67550397684386,"C. Norgaard",7,1,"Ipswich",7
8,7,0,16,189,47.775,2.924,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 139, 128, 36, 37, 217, 218)",TRUE,353377,83.79,18.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2812536397,0,212,56,NA,141,213,140,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.2","Center",NA,"27.0","0.40","79.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,NA,NA,NA,"Brentford","Ipswich",19,"Bryan Mbeumo","AMR",TRUE,38.7656261622547,0,23.1999345249899,"B. Mbeumo",8,1,"Ipswich",8
9,9,0,20,165,31.29,44.54,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,362826,14.07,29.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,2812536471,0,212,56,178,141,213,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.0","Back",NA,"43.1","3.87","13.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,0.01110462,0.01082722,-0.000277400000000001,"Ipswich","Brentford",26,"Dara O'Shea","DC",TRUE,-16.5912145073801,0,-138.505541881943,"D. O'Shea",9,1,"Ipswich",9
10,10,0,25,165,16.38,27.404,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 205, 36, 37, 217, 218)",TRUE,280770,74.76,30.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,2812536525,0,212,56,178,141,213,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.5","Center",NA,"44.8","0.05","71.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 22:17:21",29511,"Portman Road","Samuel Barrott","0 : 1",165,189,0.01082722,0.02385149,0.01302427,"Ipswich","Brentford",31,"Alex Palmer","GK",TRUE,58.4190990930783,0,3.00042462175289,"A. Palmer",10,1,"Ipswich",10
