"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_Zone","type_value_PassEndY","type_value_PassEndX","type_value_Angle","type_value_Length","type_value_Longball","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_HeadPass","type_value_Chipped","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_FreekickTaken","type_value_ThrowIn","type_value_KeeperThrow","type_value_GoalKick","type_value_MissHigh","type_value_LayOff","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_BlockedY","type_value_RightFoot","type_value_LowCentre","type_value_GoalMouthZ","type_value_GoalMouthY","type_value_BlockedX","type_value_Assisted","type_value_BoxLeft","type_value_RegularPlay","type_value_Blocked","type_value_RelatedEventId","type_value_OutfielderBlock","type_value_MissLeft","type_value_LeftFoot","type_value_FirstTouch","type_value_Foul","type_value_OutOfBoxCentre","type_value_IndividualPlay","type_value_Head","type_value_Cross","type_value_ThrowinSetPiece","type_value_BoxCentre","type_value_BlockedCross","type_value_DeepBoxRight","type_value_MissRight","type_value_FastBreak","type_value_SetPiece","type_value_SmallBoxLeft","type_value_OtherBodyPart","type_value_HighLeft","type_value_Volley","type_value_LeadingToGoal","type_value_IntentionalGoalAssist","type_value_CornerTaken","type_value_Yellow","type_value_OverRun","type_value_BoxRight","type_value_Collected","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_LeadingToAttempt","type_value_HighClaim","type_value_LowRight","type_value_DivingSave","type_value_KeeperSaveObox","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_BigChanceCreated","type_value_OneOnOne","type_value_BigChance","type_value_LowLeft","type_value_ParriedSafe","type_value_GoalDisallowed","value_StandingSave","value_Zone","value_PassEndY","value_PassEndX","value_Angle","value_Length","value_Longball","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_HeadPass","value_Chipped","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_FreekickTaken","value_ThrowIn","value_KeeperThrow","value_GoalKick","value_MissHigh","value_LayOff","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_BlockedY","value_RightFoot","value_LowCentre","value_GoalMouthZ","value_GoalMouthY","value_BlockedX","value_Assisted","value_BoxLeft","value_RegularPlay","value_Blocked","value_RelatedEventId","value_OutfielderBlock","value_MissLeft","value_LeftFoot","value_FirstTouch","value_Foul","value_OutOfBoxCentre","value_IndividualPlay","value_Head","value_Cross","value_ThrowinSetPiece","value_BoxCentre","value_BlockedCross","value_DeepBoxRight","value_MissRight","value_FastBreak","value_SetPiece","value_SmallBoxLeft","value_OtherBodyPart","value_HighLeft","value_Volley","value_LeadingToGoal","value_IntentionalGoalAssist","value_CornerTaken","value_Yellow","value_OverRun","value_BoxRight","value_Collected","value_Hands","value_KeeperSaveInTheBox","value_LeadingToAttempt","value_HighClaim","value_LowRight","value_DivingSave","value_KeeperSaveObox","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_InvolvedPlayers","value_CaptainPlayerId","value_TeamFormation","value_TeamPlayerFormation","value_BigChanceCreated","value_OneOnOne","value_BigChance","value_LowLeft","value_ParriedSafe","value_GoalDisallowed","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,165,52.71,34.068,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 216, 218)",TRUE,417747,38.22,34.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2816485975,0,178,56,141,140,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","50.1","36.4","3.14","14.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,0.01689528,0.01262646,-0.00426882,"Ipswich","Leicester",9,"Julio Enciso","AMC",TRUE,-14.4899904061987,0,180,"J. Enciso",1,1,"Ipswich",1
2,5,0,2,165,40.53,34.816,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,362826,76.755,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2816486067,0,178,56,141,140,213,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","85.0","73.1","0.57","42.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,NA,NA,NA,"Ipswich","Leicester",26,"Dara O'Shea","DC",TRUE,27.5398146089426,0,32.3942671017316,"D. O'Shea",2,1,"Ipswich",2
3,4,0,6,14,27.09,10.2,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,327683,27.09,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2816486061,0,NA,56,NA,NA,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,NA,NA,NA,"Leicester","Ipswich",6,"Wilfred Ndidi","DMC",TRUE,0,0,0,"W. Ndidi",3,1,"Ipswich",3
4,6,0,6,165,77.91,57.8,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,317547,77.91,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2816486069,0,NA,56,NA,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,NA,NA,NA,"Ipswich","Leicester",27,"George Hirst","FW",TRUE,0,0,0,"G. Hirst",4,1,"Ipswich",4
5,5,0,6,14,25.41,10.336,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 38, 216, 218)",TRUE,327683,56.28,9.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2816486103,0,NA,56,141,140,213,212,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","14.3","53.6","6.26","30.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,NA,NA,NA,"Leicester","Ipswich",6,"Wilfred Ndidi","DMC",TRUE,28.6003432040531,0,-1.13574422533428,"W. Ndidi",5,1,"Ipswich",5
6,7,0,10,165,47.67,58.616,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,381161,40.53,46.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2816486159,0,178,56,141,140,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","68.1","38.6","4.19","14.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,0.0138454,0.01269174,-0.00115366,"Ipswich","Leicester",24,"Jacob Greaves","DC",TRUE,-3.24303261363215,0,-120.118470296859,"J. Greaves",6,1,"Ipswich",6
7,8,0,13,165,38.64,45.084,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,362826,50.295,46.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2816486181,0,178,56,141,140,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","68.1","47.9","0.10","11.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,0.01269174,0.01429128,0.00159954,"Ipswich","Leicester",26,"Dara O'Shea","DC",TRUE,11.2068155175694,0,5.9951869813152,"D. O'Shea",7,1,"Ipswich",7
8,9,0,14,165,50.295,46.308,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,404108,40.215,59.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2816486235,0,178,56,141,140,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","87.7","38.3","2.22","16.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,0.01429128,0.01126267,-0.00302861,"Ipswich","Leicester",12,"Jens Cajuste","DMC",TRUE,-13.600324112957,0,127.100308385735,"J. Cajuste",8,1,"Ipswich",8
9,10,0,17,165,42.63,61.132,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 124, 127, 205, 36, 38, 217, 218)",TRUE,381161,76.545,57.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2816486285,0,178,56,141,140,213,212,1,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","84.2","72.9","6.17","34.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,0.01126267,0.02401521,0.01275254,"Ipswich","Leicester",24,"Jacob Greaves","DC",TRUE,31.2663593408476,0,-6.51980175165698,"J. Greaves",9,1,"Ipswich",9
10,10.5,0,18,165,76.545,57.256,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,366211,78.33,59.84,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 00:52:15",31986,"King Power Stadium","Andrew Kitchen","2 : 0",14,165,0.02401521,0.02756312,0.00354791,"Ipswich","Leicester",3,"Leif Davis","DL",TRUE,0,-0.385276958835775,55.3636918224473,"L. Davis",10,1,"Ipswich",10
