"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_Angle","type_value_Zone","type_value_PassEndY","type_value_Length","type_value_StandingSave","type_value_Longball","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Head","type_value_HeadPass","type_value_Chipped","type_value_ThrowIn","type_value_Throughball","type_value_RightFoot","type_value_Cross","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_KeeperThrow","type_value_LastMan","type_value_LayOff","type_value_RegularPlay","type_value_IntentionalAssist","type_value_ShotAssist","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_KeyPass","type_value_GoalMouthY","type_value_LowRight","type_value_BigChance","type_value_BoxCentre","type_value_GoalMouthZ","type_value_Assisted","type_value_RelatedEventId","type_value_GoalKick","type_value_HighClaim","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_FreekickTaken","type_value_LeftFoot","type_value_OtherBodyPart","type_value_FromCorner","type_value_BoxLeft","type_value_MissHigh","type_value_Foul","type_value_FirstTouch","type_value_GoalDisallowed","type_value_SmallBoxCentre","type_value_BlockedX","type_value_BlockedY","type_value_LowCentre","type_value_Feet","type_value_ParriedSafe","type_value_KeeperSaveInTheBox","type_value_AerialFoul","type_value_Blocked","type_value_SetPiece","type_value_OutfielderBlock","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_SixYardBlock","type_value_BoxRight","type_value_OverRun","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_HighCentre","type_value_Hands","type_value_Collected","type_value_KeeperSaveObox","type_value_Volley","type_value_Yellow","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_DivingSave","type_value_OneOnOne","type_value_LowLeft","type_value_ThrowinSetPiece","type_value_ParriedDanger","type_value_Red","type_value_HighLeft","type_value_FastBreak","value_PassEndX","value_Angle","value_Zone","value_PassEndY","value_Length","value_StandingSave","value_Longball","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_Head","value_HeadPass","value_Chipped","value_ThrowIn","value_Throughball","value_RightFoot","value_Cross","value_MissLeft","value_MissRight","value_CornerTaken","value_KeeperThrow","value_LastMan","value_LayOff","value_RegularPlay","value_IntentionalAssist","value_ShotAssist","value_BigChanceCreated","value_IntentionalGoalAssist","value_KeyPass","value_GoalMouthY","value_LowRight","value_BigChance","value_BoxCentre","value_GoalMouthZ","value_Assisted","value_RelatedEventId","value_GoalKick","value_HighClaim","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_FreekickTaken","value_LeftFoot","value_OtherBodyPart","value_FromCorner","value_BoxLeft","value_MissHigh","value_Foul","value_FirstTouch","value_GoalDisallowed","value_SmallBoxCentre","value_BlockedX","value_BlockedY","value_LowCentre","value_Feet","value_ParriedSafe","value_KeeperSaveInTheBox","value_AerialFoul","value_Blocked","value_SetPiece","value_OutfielderBlock","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_SixYardBlock","value_BoxRight","value_OverRun","value_IndividualPlay","value_OutOfBoxCentre","value_HighCentre","value_Hands","value_Collected","value_KeeperSaveObox","value_Volley","value_Yellow","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_DivingSave","value_OneOnOne","value_LowLeft","value_ThrowinSetPiece","value_ParriedDanger","value_Red","value_HighLeft","value_FastBreak","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,162,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,332403,29.085,34.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876729,0,140,213,56,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.7","3.14","Back","50.1","23.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,0.01689528,0.01132376,-0.00557152,"Crystal Palace","Liverpool",10,"Eberechi Eze","AMC",TRUE,-23.4150304551082,0,179.833606574684,"E. Eze",1,1,"Crystal Palace",1
2,5,0,4,162,28.77,33.592,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,304008,76.23,13.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2818876763,0,140,213,56,141,212,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.6","5.89","Right","20.3","51.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Crystal Palace","Liverpool",1,"Dean Henderson","GK",TRUE,41.0801129689424,0,-22.633236191558,"D. Henderson",2,1,"Crystal Palace",2
3,4,0,8,26,27.93,53.448,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,95408,27.93,53.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2818876773,0,NA,NA,56,NA,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Liverpool","Crystal Palace",4,"Virgil van Dijk","DC",TRUE,0,0,0,"V. v. Dijk",3,1,"Crystal Palace",3
4,6,0,8,162,77.07,14.552,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,328096,77.07,14.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2818876787,0,NA,NA,56,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Crystal Palace","Liverpool",14,"Jean-Philippe Mateta","FW",TRUE,0,0,0,"J. Mateta",4,1,"Crystal Palace",4
5,5,0,8,26,26.985,52.156,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 216)",TRUE,95408,45.885,49.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2818876791,0,140,213,56,141,212,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.7","6.14","Back","72.7","19.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Liverpool","Crystal Palace",4,"Virgil van Dijk","DC",TRUE,0,0,-8.18951137694634,"V. v. Dijk",5,1,"Crystal Palace",5
6,7,0,10,162,63.105,10.54,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 37, 216, 218)",TRUE,395401,68.04,12.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2818876857,0,140,213,56,141,212,178,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.8","0.34","Right","18.1","5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Crystal Palace","Liverpool",26,"Chris Richards","DC",TRUE,5.16088444537183,0,19.7104360635301,"C. Richards",6,1,"Crystal Palace",6
7,6,0,12,26,39.06,55.012,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,355354,39.06,55.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2818876867,0,NA,NA,56,NA,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Liverpool","Crystal Palace",17,"Curtis Jones","DMC",TRUE,0,0,0,"C. Jones",7,1,"Crystal Palace",7
8,8,0,12,162,65.94,12.988,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,328096,65.94,12.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2818876887,0,NA,NA,56,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Crystal Palace","Liverpool",14,"Jean-Philippe Mateta","FW",TRUE,0,0,0,"J. Mateta",8,1,"Crystal Palace",8
9,7,0,12,26,42.42,53.992,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,355354,42.42,53.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2818876879,0,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Liverpool","Crystal Palace",17,"Curtis Jones","DMC",TRUE,0,0,0,"C. Jones",9,1,"Crystal Palace",9
10,9,0,14,26,25.41,63.648,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 38, 216, 218)",TRUE,115726,51.555,59.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2818876927,0,140,213,56,141,212,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.1","6.11","Back","86.9","26.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-25 23:22:58",60382,"Anfield","Darren England","1 : 1",26,162,NA,NA,NA,"Liverpool","Crystal Palace",26,"Andy Robertson","DL",TRUE,25.8905913173775,0,-9.8850424342821,"A. Robertson",10,1,"Crystal Palace",10
