"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_Angle","type_value_PassEndY","type_value_Length","type_value_PassEndX","type_value_StandingSave","type_value_Longball","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_HeadPass","type_value_ShotAssist","type_value_KeyPass","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_RegularPlay","type_value_GoalMouthY","type_value_Volley","type_value_MissRight","type_value_BlockedY","type_value_RightFoot","type_value_RelatedEventId","type_value_Assisted","type_value_BlockedX","type_value_GoalMouthZ","type_value_Chipped","type_value_LeftFoot","type_value_Cross","type_value_ThrowIn","type_value_HighClaim","type_value_KeeperThrow","type_value_Head","type_value_LayOff","type_value_IntentionalAssist","type_value_LeadingToAttempt","type_value_HighRight","type_value_BoxRight","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_Foul","type_value_FreekickTaken","type_value_GoalKick","type_value_OtherBodyPart","type_value_Throughball","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighLeft","type_value_BigChanceCreated","type_value_FirstTouch","type_value_BigChance","type_value_LowCentre","type_value_SmallBoxRight","type_value_KeeperSaveInSixYard","type_value_MissHigh","type_value_SmallBoxCentre","type_value_BoxCentre","type_value_Blocked","type_value_OutfielderBlock","type_value_Yellow","type_value_LeadingToGoal","type_value_IntentionalGoalAssist","type_value_LowRight","type_value_SetPiece","type_value_ParriedDanger","type_value_DivingSave","type_value_KeeperSaveObox","type_value_LowLeft","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_TeamPlayerFormation","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_LastMan","type_value_MissLeft","type_value_CornerTaken","type_value_FromCorner","type_value_Red","type_value_DirectFreekick","type_value_OverRun","type_value_BlockedCross","type_value_BoxLeft","value_Zone","value_Angle","value_PassEndY","value_Length","value_PassEndX","value_StandingSave","value_Longball","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_HeadPass","value_ShotAssist","value_KeyPass","value_IndividualPlay","value_OutOfBoxCentre","value_RegularPlay","value_GoalMouthY","value_Volley","value_MissRight","value_BlockedY","value_RightFoot","value_RelatedEventId","value_Assisted","value_BlockedX","value_GoalMouthZ","value_Chipped","value_LeftFoot","value_Cross","value_ThrowIn","value_HighClaim","value_KeeperThrow","value_Head","value_LayOff","value_IntentionalAssist","value_LeadingToAttempt","value_HighRight","value_BoxRight","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_Foul","value_FreekickTaken","value_GoalKick","value_OtherBodyPart","value_Throughball","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighLeft","value_BigChanceCreated","value_FirstTouch","value_BigChance","value_LowCentre","value_SmallBoxRight","value_KeeperSaveInSixYard","value_MissHigh","value_SmallBoxCentre","value_BoxCentre","value_Blocked","value_OutfielderBlock","value_Yellow","value_LeadingToGoal","value_IntentionalGoalAssist","value_LowRight","value_SetPiece","value_ParriedDanger","value_DivingSave","value_KeeperSaveObox","value_LowLeft","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_TeamPlayerFormation","value_TeamFormation","value_InvolvedPlayers","value_CaptainPlayerId","value_LastMan","value_MissLeft","value_CornerTaken","value_FromCorner","value_Red","value_DirectFreekick","value_OverRun","value_BlockedCross","value_BoxLeft","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,167,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,73084,21.105,32.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2817441007,0,56,213,141,212,140,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","3.17","48.5","31.4","20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,0.01689528,0.01016549,-0.00672979,"Man City","Bournemouth",17,"Kevin De Bruyne","AMC",TRUE,-31.4012003787788,0,-178.139157656325,"K. D. Bruyne",1,1,"Man City",1
2,5,0,5,167,23.52,34.748,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 205, 36, 37, 217, 218)",TRUE,121774,70.98,60.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,2817441025,0,56,213,141,212,140,178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","0.50","89.6","54.2","67.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,0.01016549,0.02122129,0.0110558,"Man City","Bournemouth",31,"Ederson","GK",TRUE,38.0959053325717,0,28.8821135629493,"Ederson",2,1,"Man City",2
3,6,0,8,167,73.08,60.452,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 199)",FALSE,315227,73.08,60.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2817441029,0,56,NA,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,NA,NA,NA,"Man City","Bournemouth",9,"Erling Haaland","FW",TRUE,0,0,0,"E. Haaland",3,1,"Man City",3
4,4,0,8,183,31.92,7.548,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"c(198, 200)",FALSE,371039,31.92,7.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2817441027,0,56,NA,NA,NA,NA,NA,NA,233,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,NA,NA,NA,"Bournemouth","Man City",22,"Julian Araujo","DR",TRUE,0,0,0,"J. Araujo",4,1,"Man City",4
5,7,0,8,167,70.98,60.928,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 139, 35, 38, 216, 218)",TRUE,315227,66.15,44.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2817441041,0,56,213,141,212,140,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","4.42","66.0","16.8","63.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,0.02122129,0.01935132,-0.00186997,"Man City","Bournemouth",9,"Erling Haaland","FW",TRUE,3.042802175997,0,-106.75032807257,"E. Haaland",5,1,"Man City",5
6,7.5,0,9,167,66.15,44.88,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,136741,63.525,41.82,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,0.01935132,0.0199707,0.000619379999999999,"Man City","Bournemouth",20,"Bernardo Silva","AMR",TRUE,0,-1.86105608911468,-130.624416427249,"B. Silva",6,1,"Man City",6
7,8,0,10,167,63.525,41.82,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 123, 139, 205, 40, 46, 36, 38, 217, 218)",TRUE,136741,77.175,32.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2817441051,0,56,213,141,212,140,NA,NA,NA,NA,NA,3,210,11113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","5.71","48.5","16.3","73.5",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,0.0199707,0.02385149,0.00388079,"Man City","Bournemouth",20,"Bernardo Silva","AMR",TRUE,14.3620927492891,0,-32.9278626531641,"B. Silva",7,1,"Man City",7
8,8.5,0,11.5,167,77.175,32.98,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,73084,80.955,32.436,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.191666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,0.03511326,0.03511326,0,"Man City","Bournemouth",17,"Kevin De Bruyne","AMC",TRUE,0,3.74787786635629,-8.18951137694629,"K. D. Bruyne",8,1,"Man City",8
9,9,0,13,167,80.955,32.436,"FirstHalf","MissedShots","Successful",NA,NA,NA,"c(91, 7, 10, 2, 3, 12)",TRUE,73084,80.955,32.436,97.2,34.3,1.4,24.004,TRUE,8,136741,NA,NA,NA,0.216666666666667,2817441057,0,56,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,215,18,22,102,108,75,147,20,55,29,146,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.3",NA,NA,"34.3",NA,"8",NA,"97.2","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,NA,NA,NA,"Man City","Bournemouth",17,"Kevin De Bruyne","AMC",TRUE,0,0,0,"K. D. Bruyne",9,1,"Man City",9
10,5,0,16,183,2.625,42.568,"FirstHalf","KeeperPickup","Successful",NA,NA,NA,"93",FALSE,113880,2.625,42.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2817441065,0,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-22 15:00:48",52487,"Etihad Stadium","Thomas Bramall","3 : 1",167,183,NA,NA,NA,"Bournemouth","Man City",13,"Kepa Arrizabalaga","GK",TRUE,0,0,0,"K. Arrizabalaga",10,2,"Bournemouth",10
