"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_Length","type_value_PassEndX","type_value_StandingSave","type_value_Zone","type_value_Angle","type_value_Longball","type_value_Chipped","type_value_HeadPass","type_value_GoalKick","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_ThrowIn","type_value_LayOff","type_value_ShotAssist","type_value_KeyPass","type_value_RightFoot","type_value_FirstTouch","type_value_RelatedEventId","type_value_GoalMouthY","type_value_RegularPlay","type_value_IndividualPlay","type_value_Assisted","type_value_GoalMouthZ","type_value_OutOfBoxCentre","type_value_MissHigh","type_value_Cross","type_value_Head","type_value_Foul","type_value_FreekickTaken","type_value_IntentionalAssist","type_value_BigChanceCreated","type_value_SetPiece","type_value_BigChance","type_value_BoxCentre","type_value_BlockedX","type_value_LeftFoot","type_value_BoxRight","type_value_LowCentre","type_value_BlockedY","type_value_ParriedSafe","type_value_Hands","type_value_DivingSave","type_value_KeeperSaveInTheBox","type_value_OverRun","type_value_BlockedCross","type_value_OtherBodyPart","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_MissRight","type_value_DeepBoxLeft","type_value_LowRight","type_value_SmallBoxCentre","type_value_KeeperThrow","type_value_MissLeft","type_value_CornerTaken","type_value_HighLeft","type_value_Throughball","type_value_Volley","type_value_FromCorner","type_value_Blocked","type_value_SmallBoxRight","type_value_SixYardBlock","type_value_OutfielderBlock","type_value_PlayerPosition","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_JerseyNumber","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_Collected","type_value_FormationSlot","type_value_Feet","type_value_LeadingToAttempt","type_value_IntentionalGoalAssist","type_value_Yellow","type_value_SmallBoxLeft","type_value_LowLeft","type_value_HighClaim","type_value_OneOnOne","type_value_FastBreak","type_value_ParriedDanger","type_value_KeeperSaveInSixYard","type_value_LastMan","type_value_ThirtyFivePlusCentre","value_PassEndY","value_Length","value_PassEndX","value_StandingSave","value_Zone","value_Angle","value_Longball","value_Chipped","value_HeadPass","value_GoalKick","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_ThrowIn","value_LayOff","value_ShotAssist","value_KeyPass","value_RightFoot","value_FirstTouch","value_RelatedEventId","value_GoalMouthY","value_RegularPlay","value_IndividualPlay","value_Assisted","value_GoalMouthZ","value_OutOfBoxCentre","value_MissHigh","value_Cross","value_Head","value_Foul","value_FreekickTaken","value_IntentionalAssist","value_BigChanceCreated","value_SetPiece","value_BigChance","value_BoxCentre","value_BlockedX","value_LeftFoot","value_BoxRight","value_LowCentre","value_BlockedY","value_ParriedSafe","value_Hands","value_DivingSave","value_KeeperSaveInTheBox","value_OverRun","value_BlockedCross","value_OtherBodyPart","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_MissRight","value_DeepBoxLeft","value_LowRight","value_SmallBoxCentre","value_KeeperThrow","value_MissLeft","value_CornerTaken","value_HighLeft","value_Throughball","value_Volley","value_FromCorner","value_Blocked","value_SmallBoxRight","value_SixYardBlock","value_OutfielderBlock","value_PlayerPosition","value_TeamPlayerFormation","value_CaptainPlayerId","value_JerseyNumber","value_InvolvedPlayers","value_TeamFormation","value_Collected","value_FormationSlot","value_Feet","value_LeadingToAttempt","value_IntentionalGoalAssist","value_Yellow","value_SmallBoxLeft","value_LowLeft","value_HighClaim","value_OneOnOne","value_FastBreak","value_ParriedDanger","value_KeeperSaveInSixYard","value_LastMan","value_ThirtyFivePlusCentre","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,29,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,400166,28.455,33.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2813515079,0,141,212,140,178,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.9","24.0","27.1",NA,"Back","3.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.01689528,0.01132376,-0.00557152,"West Ham","Man Utd",14,"Mohammed Kudus","FW",TRUE,-24.0450302044489,0,-179.837966204191,"M. Kudus",1,1,"West Ham",1
2,5,0,4,29,29.715,32.164,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 124, 128, 36, 38, 217, 218)",TRUE,92516,70.35,19.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2813515113,0,141,212,140,178,56,213,1,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.9","42.5","67.0",NA,"Center","5.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,NA,NA,NA,"West Ham","Man Utd",23,"Alphonse Areola","GK",TRUE,37.8042163200048,0,-17.1142217510963,"A. Areola",2,1,"West Ham",2
3,4,0,8,32,38.955,42.16,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 216, 218)",TRUE,408962,48.3,44.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2813515155,0,141,212,140,NA,56,213,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.9","9.6","46.0",NA,"Back","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,NA,NA,NA,"Man Utd","West Ham",25,"Manuel Ugarte","MC",TRUE,8.94902875637507,0,11.9158471393443,"M. Ugarte",3,1,"West Ham",3
4,6,0,10,29,63.315,18.156,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,361710,66.885,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2813515271,0,141,212,140,178,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.5","12.2","63.7",NA,"Right","5.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.01935132,0.0174506,-0.00190072,"West Ham","Man Utd",25,"Jean-Clair Todibo","DC",TRUE,-2.42892584494034,0,-73.026104332756,"J. Todibo",4,1,"West Ham",4
5,6.5,0,12.5,29,66.885,6.46,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,111372,46.725,3.332,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.208333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.0174506,0.01248344,-0.00496716,"West Ham","Man Utd",5,"Vladimir Coufal","MR",TRUE,0,-18.8286713316148,-171.180386030051,"V. Coufal",5,1,"West Ham",5
6,7,0,15,29,46.725,3.332,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,111372,26.04,21.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2813515349,0,141,212,140,178,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.5","27.5","24.8",NA,"Back","2.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.01248344,0.01001304,-0.0024704,"West Ham","Man Utd",5,"Vladimir Coufal","MR",TRUE,-14.1037292507079,0,138.831924841709,"V. Coufal",6,1,"West Ham",6
7,9,0,17,29,26.88,21.284,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,92516,105,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2813515473,0,141,212,140,178,56,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.0","81.3","100.0",NA,"Right","6.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,NA,NA,NA,"West Ham","Man Utd",23,"Alphonse Areola","GK",TRUE,46.5081588920425,0,-14.3078932432394,"A. Areola",7,1,"West Ham",7
8,6,0,45,32,5.355,41.684,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,118244,4.515,33.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2813515939,0,141,212,140,NA,56,213,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.9","7.8","4.3",NA,"Back","4.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.00941056,0.00941056,0,"Man Utd","West Ham",23,"Luke Shaw","DC",TRUE,-0.544191107726476,0,-96.1843912338942,"L. Shaw",8,2,"Man Utd",8
9,6.5,0,47.5,32,4.515,33.932,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,361707,8.19,32.98,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.791666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.00941056,0.00941056,0,"Man Utd","West Ham",1,"Altay Bayindir","GK",TRUE,0,3.66964974568555,-14.523092131093,"A. Bayindir",9,2,"Man Utd",9
10,7,0,50,32,8.19,32.98,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,361707,9.45,8.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,2813516029,0,141,212,140,178,56,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.8","25.0","9.0",NA,"Back","4.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 22:05:48",73804,"Old Trafford","Jarred Gillett","0 : 2",32,29,0.00941056,0.00779616,-0.0016144,"Man Utd","West Ham",1,"Altay Bayindir","GK",TRUE,-2.2025800386879,0,-87.1096556694214,"A. Bayindir",10,2,"Man Utd",10
