"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_Angle","type_value_StandingSave","type_value_PassEndX","type_value_Length","type_value_PassEndY","type_value_Longball","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_HeadPass","type_value_ThrowIn","type_value_LayOff","type_value_Chipped","type_value_Foul","type_value_FreekickTaken","type_value_RightFoot","type_value_Cross","type_value_BlockedCross","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_GoalMouthY","type_value_LowCentre","type_value_BlockedX","type_value_FirstTouch","type_value_BoxCentre","type_value_Assisted","type_value_RegularPlay","type_value_RelatedEventId","type_value_GoalMouthZ","type_value_BlockedY","type_value_Feet","type_value_ParriedSafe","type_value_KeeperSaveInTheBox","type_value_LeftFoot","type_value_BigChanceCreated","type_value_BigChance","type_value_Head","type_value_Collected","type_value_Hands","type_value_OtherBodyPart","type_value_OutOfBoxCentre","type_value_IndividualPlay","type_value_LowLeft","type_value_DivingSave","type_value_KeeperSaveObox","type_value_Blocked","type_value_LowRight","type_value_OutfielderBlock","type_value_GoalKick","type_value_MissHigh","type_value_HighClaim","type_value_KeeperThrow","type_value_Throughball","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_PlayerCaughtOffside","type_value_MissRight","type_value_SetPiece","type_value_MissLeft","type_value_IndirectFreekickTaken","type_value_CornerTaken","type_value_HighCentre","type_value_BoxLeft","type_value_LeadingToAttempt","type_value_Red","type_value_Yellow","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_GoalDisallowed","type_value_BoxRight","type_value_FastBreak","type_value_HighRight","type_value_IntentionalGoalAssist","type_value_SmallBoxRight","type_value_HighLeft","type_value_Volley","type_value_DirectFreekick","type_value_Penalty","type_value_KeeperMissed","type_value_ParriedDanger","type_value_FromCorner","value_Zone","value_Angle","value_StandingSave","value_PassEndX","value_Length","value_PassEndY","value_Longball","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_HeadPass","value_ThrowIn","value_LayOff","value_Chipped","value_Foul","value_FreekickTaken","value_RightFoot","value_Cross","value_BlockedCross","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_GoalMouthY","value_LowCentre","value_BlockedX","value_FirstTouch","value_BoxCentre","value_Assisted","value_RegularPlay","value_RelatedEventId","value_GoalMouthZ","value_BlockedY","value_Feet","value_ParriedSafe","value_KeeperSaveInTheBox","value_LeftFoot","value_BigChanceCreated","value_BigChance","value_Head","value_Collected","value_Hands","value_OtherBodyPart","value_OutOfBoxCentre","value_IndividualPlay","value_LowLeft","value_DivingSave","value_KeeperSaveObox","value_Blocked","value_LowRight","value_OutfielderBlock","value_GoalKick","value_MissHigh","value_HighClaim","value_KeeperThrow","value_Throughball","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_PlayerCaughtOffside","value_MissRight","value_SetPiece","value_MissLeft","value_IndirectFreekickTaken","value_CornerTaken","value_HighCentre","value_BoxLeft","value_LeadingToAttempt","value_Red","value_Yellow","value_InvolvedPlayers","value_TeamPlayerFormation","value_CaptainPlayerId","value_TeamFormation","value_GoalDisallowed","value_BoxRight","value_FastBreak","value_HighRight","value_IntentionalGoalAssist","value_SmallBoxRight","value_HighLeft","value_Volley","value_DirectFreekick","value_Penalty","value_KeeperMissed","value_ParriedDanger","value_FromCorner","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,32,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,123761,21.945,33.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876557,0,56,213,178,140,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","3.15",NA,"20.9","30.6","49.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,0.01689528,0.01016549,-0.00672979,"Man Utd","Aston Villa",8,"Bruno Fernandes","MC",TRUE,-30.5552505324016,0,-179.6174712697,"B. Fernandes",1,1,"Man Utd",1
2,4.5,0,4.5,32,21.945,33.796,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,361707,34.125,31.28,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,0.01016549,0.01132376,0.00115827,"Man Utd","Aston Villa",1,"Altay Bayindir","GK",TRUE,0,12.1280764381238,-11.6713240451604,"A. Bayindir",2,1,"Man Utd",2
3,5,0,9,32,34.125,31.28,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 36, 37, 216, 218)",TRUE,361707,68.46,44.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2818876595,0,56,213,178,140,212,141,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","0.37",NA,"65.2","36.8","65.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,0.01132376,0.01935132,0.00802756,"Man Utd","Aston Villa",1,"Altay Bayindir","GK",TRUE,32.9161969429338,0,21.0174922008403,"A. Bayindir",3,1,"Man Utd",3
4,5.5,0,10,32,68.46,44.472,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,439584,67.725,52.156,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,0.01935132,0.01870347,-0.000647850000000002,"Man Utd","Aston Villa",9,"Rasmus Hojlund","FW",TRUE,0,-3.45064318602337,95.4639070645411,"R. Hojlund",4,1,"Man Utd",4
5,6,0,11,32,67.725,52.156,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 199)",FALSE,439584,67.725,52.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2818876607,0,56,NA,NA,NA,NA,NA,NA,286,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,NA,NA,NA,"Man Utd","Aston Villa",9,"Rasmus Hojlund","FW",TRUE,0,0,0,"R. Hojlund",5,1,"Man Utd",5
6,4,0,11,24,37.275,15.844,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"c(198, 200)",FALSE,331790,37.275,15.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2818876613,0,56,NA,NA,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,NA,NA,NA,"Aston Villa","Man Utd",44,"Boubacar Kamara","DMC",TRUE,0,0,0,"B. Kamara",6,1,"Man Utd",6
7,7,0,11,32,68.46,45.016,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 37, 217, 218)",TRUE,439584,75.705,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2818876635,0,56,213,NA,140,212,141,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","1.27",NA,"72.1","24.8","100.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,NA,NA,NA,"Man Utd","Aston Villa",9,"Rasmus Hojlund","FW",TRUE,-6.71537460971476,0,72.5041435338673,"R. Hojlund",7,1,"Man Utd",7
8,6,0,29,24,26.775,0,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 212, 36, 37, 216)",TRUE,322043,53.34,16.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483333333333333,2818876841,0,56,213,NA,140,212,141,1,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","0.57",NA,"50.8","31.6","24.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,NA,NA,NA,"Aston Villa","Man Utd",2,"Matty Cash","DR",TRUE,30.692863508678,0,31.5641606619193,"M. Cash",8,1,"Man Utd",8
9,9,0,31,32,53.97,49.844,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 199)",FALSE,99487,53.97,49.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516666666666667,2818876829,0,56,NA,NA,NA,NA,NA,NA,286,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,NA,NA,NA,"Man Utd","Aston Villa",5,"Harry Maguire","DC",TRUE,0,0,0,"H. Maguire",9,1,"Man Utd",9
10,7,0,31,24,51.03,18.156,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"c(198, 200)",FALSE,148503,51.03,18.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516666666666667,2818876859,0,56,NA,NA,NA,NA,NA,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 13:55:16",73839,"Old Trafford","Thomas Bramall","2 : 0",32,24,NA,NA,NA,"Aston Villa","Man Utd",11,"Ollie Watkins","FW",TRUE,0,0,0,"O. Watkins",10,1,"Man Utd",10
