"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Length","type_value_PassEndY","type_value_StandingSave","type_value_Angle","type_value_PassEndX","type_value_Zone","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_ThrowIn","type_value_Chipped","type_value_Longball","type_value_RightFoot","type_value_Cross","type_value_OtherBodyPart","type_value_LayOff","type_value_LeftFoot","type_value_Foul","type_value_FreekickTaken","type_value_Head","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_GoalMouthZ","type_value_OutOfBoxCentre","type_value_FirstTouch","type_value_RegularPlay","type_value_IndividualPlay","type_value_MissHigh","type_value_GoalMouthY","type_value_GoalKick","type_value_HeadPass","type_value_KeeperThrow","type_value_LeadingToAttempt","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_Blocked","type_value_RelatedEventId","type_value_BoxLeft","type_value_BlockedX","type_value_Assisted","type_value_LowCentre","type_value_BlockedY","type_value_OutfielderBlock","type_value_BlockedCross","type_value_DirectFreekick","type_value_LowLeft","type_value_Hands","type_value_DivingSave","type_value_Collected","type_value_KeeperSaveObox","type_value_Throughball","type_value_LowRight","type_value_ParriedDanger","type_value_Yellow","type_value_HighClaim","type_value_BoxRight","type_value_Volley","type_value_ParriedSafe","type_value_Feet","type_value_KeeperSaveInTheBox","type_value_BoxCentre","type_value_FromCorner","type_value_BigChanceCreated","type_value_HighCentre","type_value_SmallBoxCentre","type_value_BigChance","type_value_KeeperSaveInSixYard","type_value_SixYardBlock","type_value_SmallBoxRight","type_value_HighLeft","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_TeamFormation","type_value_FastBreak","type_value_DeepBoxRight","type_value_ThrowinSetPiece","type_value_IntentionalGoalAssist","type_value_AerialFoul","value_Length","value_PassEndY","value_StandingSave","value_Angle","value_PassEndX","value_Zone","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_ThrowIn","value_Chipped","value_Longball","value_RightFoot","value_Cross","value_OtherBodyPart","value_LayOff","value_LeftFoot","value_Foul","value_FreekickTaken","value_Head","value_MissLeft","value_MissRight","value_CornerTaken","value_GoalMouthZ","value_OutOfBoxCentre","value_FirstTouch","value_RegularPlay","value_IndividualPlay","value_MissHigh","value_GoalMouthY","value_GoalKick","value_HeadPass","value_KeeperThrow","value_LeadingToAttempt","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_Blocked","value_RelatedEventId","value_BoxLeft","value_BlockedX","value_Assisted","value_LowCentre","value_BlockedY","value_OutfielderBlock","value_BlockedCross","value_DirectFreekick","value_LowLeft","value_Hands","value_DivingSave","value_Collected","value_KeeperSaveObox","value_Throughball","value_LowRight","value_ParriedDanger","value_Yellow","value_HighClaim","value_BoxRight","value_Volley","value_ParriedSafe","value_Feet","value_KeeperSaveInTheBox","value_BoxCentre","value_FromCorner","value_BigChanceCreated","value_HighCentre","value_SmallBoxCentre","value_BigChance","value_KeeperSaveInSixYard","value_SixYardBlock","value_SmallBoxRight","value_HighLeft","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_InvolvedPlayers","value_TeamPlayerFormation","value_TeamFormation","value_FastBreak","value_DeepBoxRight","value_ThrowinSetPiece","value_IntentionalGoalAssist","value_AerialFoul","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,23,52.395,34.068,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,299254,31.71,18.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876505,0,212,141,178,213,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.0","27.0",NA,"3.79","30.2","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.01689528,0.01110462,-0.00579066,"Newcastle","Everton",14,"Alexander Isak","FW",TRUE,-22.3351568768829,0,-142.78729534484,"A. Isak",1,1,"Newcastle",1
2,4.5,0,2.5,23,31.71,18.36,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,82726,36.54,17,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.01110462,0.01269174,0.00158712,"Newcastle","Everton",5,"Fabian Schar","DC",TRUE,0,4.4010514134182,-15.7258128223602,"F. Schar",2,1,"Newcastle",2
3,5,0,5,23,36.54,17,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,82726,49.35,3.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,2818876539,0,212,141,178,213,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.7","4.9",NA,"5.47","47.0","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.01214719,0.01248344,0.00033625,"Newcastle","Everton",5,"Fabian Schar","DC",TRUE,6.99822776467551,0,-46.8559779115053,"F. Schar",3,1,"Newcastle",3
4,5.5,0,6.5,23,49.35,3.332,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,141486,55.44,4.352,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.108333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.01248344,0.01473596,0.00225252,"Newcastle","Everton",23,"Jacob Murphy","DMR",TRUE,0,5.78975279499359,9.50808560046093,"J. Murphy",4,1,"Newcastle",4
5,6,0,8,23,55.44,4.352,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,141486,70.35,17.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2818876583,0,212,141,178,213,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.7","25.3",NA,"0.71","67.0","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.01473596,0.0241224,0.00938644,"Newcastle","Everton",23,"Jacob Murphy","DMR",TRUE,19.2449600559094,0,40.7604123461374,"J. Murphy",5,1,"Newcastle",5
6,6.5,0,9,23,70.35,17.204,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,299254,74.97,7.412,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.0241224,0.02122129,-0.00290111,"Newcastle","Everton",14,"Alexander Isak","FW",TRUE,0,-1.60267605305228,-64.7414183598809,"A. Isak",6,1,"Newcastle",6
7,7,0,10,23,74.97,7.412,"FirstHalf","Dispossessed","Successful",NA,NA,NA,"c(91, 70)",TRUE,299254,74.97,7.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2818876589,0,NA,NA,NA,NA,NA,56,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,NA,NA,NA,"Newcastle","Everton",14,"Alexander Isak","FW",TRUE,0,0,0,"A. Isak",7,1,"Newcastle",7
8,4,0,11,31,30.03,60.588,"FirstHalf","Tackle","Successful",NA,NA,NA,"c(91, 143)",TRUE,424495,30.03,60.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2818876629,0,NA,NA,178,NA,NA,56,233,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,NA,NA,NA,"Everton","Newcastle",15,"Jake O'Brien","DC",TRUE,0,0,0,"J. O'Brien",8,1,"Newcastle",8
9,9,0,16,23,75.18,0,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 35, 37, 216)",TRUE,331382,63.42,4.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2818876679,0,212,141,NA,213,140,56,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","5.9",NA,"2.74","60.4","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.02122129,0.0174506,-0.00377069,"Newcastle","Everton",11,"Harvey Barnes","FWR",TRUE,-6.04149864277021,0,161.16259329595,"H. Barnes",9,1,"Newcastle",9
10,10,0,18,23,63.42,4.012,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,141486,62.895,10.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2818876699,0,212,141,178,213,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","15.9",NA,"1.65","59.9","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:11:50",52221,"St. James' Park","Tony Harrington","0 : 1",23,31,0.0174506,0.01870347,0.00125287,"Newcastle","Everton",23,"Jacob Murphy","DMR",TRUE,3.19793423996321,0,94.4148132487272,"J. Murphy",10,1,"Newcastle",10
