"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Length","type_value_PassEndX","type_value_StandingSave","type_value_Angle","type_value_PassEndY","type_value_Zone","type_value_Cross","type_value_RightFoot","type_value_Chipped","type_value_Head","type_value_MissLeft","type_value_OppositeRelatedEvent","type_value_MissRight","type_value_CornerTaken","type_value_LeftFoot","type_value_Longball","type_value_HighClaim","type_value_KeeperThrow","type_value_HeadPass","type_value_LayOff","type_value_ThrowIn","type_value_Offensive","type_value_Defensive","type_value_BlockedCross","type_value_OtherBodyPart","type_value_Foul","type_value_FreekickTaken","type_value_GoalMouthY","type_value_BlockedX","type_value_GoalMouthZ","type_value_OutOfBoxCentre","type_value_RegularPlay","type_value_LowCentre","type_value_IndividualPlay","type_value_Blocked","type_value_BlockedY","type_value_OutfielderBlock","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_GoalKick","type_value_MissHigh","type_value_DirectFreekick","type_value_ShotAssist","type_value_KeyPass","type_value_BoxLeft","type_value_RelatedEventId","type_value_Assisted","type_value_FirstTouch","type_value_LowLeft","type_value_Hands","type_value_Collected","type_value_KeeperSaveObox","type_value_Yellow","type_value_LowRight","type_value_IntentionalAssist","type_value_BoxCentre","type_value_SetPiece","type_value_SmallBoxCentre","type_value_FromCorner","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_Volley","type_value_DeepBoxRight","type_value_SixYardBlock","type_value_SavedOffline","type_value_LastMan","type_value_ParriedDanger","type_value_DivingSave","type_value_KeeperSaveInTheBox","type_value_FastBreak","type_value_AerialFoul","type_value_ParriedSafe","type_value_FromShotOffTarget","type_value_HighCentre","type_value_LeadingToAttempt","type_value_BoxRight","type_value_Throughball","value_Length","value_PassEndX","value_StandingSave","value_Angle","value_PassEndY","value_Zone","value_Cross","value_RightFoot","value_Chipped","value_Head","value_MissLeft","value_OppositeRelatedEvent","value_MissRight","value_CornerTaken","value_LeftFoot","value_Longball","value_HighClaim","value_KeeperThrow","value_HeadPass","value_LayOff","value_ThrowIn","value_Offensive","value_Defensive","value_BlockedCross","value_OtherBodyPart","value_Foul","value_FreekickTaken","value_GoalMouthY","value_BlockedX","value_GoalMouthZ","value_OutOfBoxCentre","value_RegularPlay","value_LowCentre","value_IndividualPlay","value_Blocked","value_BlockedY","value_OutfielderBlock","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_GoalKick","value_MissHigh","value_DirectFreekick","value_ShotAssist","value_KeyPass","value_BoxLeft","value_RelatedEventId","value_Assisted","value_FirstTouch","value_LowLeft","value_Hands","value_Collected","value_KeeperSaveObox","value_Yellow","value_LowRight","value_IntentionalAssist","value_BoxCentre","value_SetPiece","value_SmallBoxCentre","value_FromCorner","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_TeamPlayerFormation","value_InvolvedPlayers","value_CaptainPlayerId","value_TeamFormation","value_Volley","value_DeepBoxRight","value_SixYardBlock","value_SavedOffline","value_LastMan","value_ParriedDanger","value_DivingSave","value_KeeperSaveInTheBox","value_FastBreak","value_AerialFoul","value_ParriedSafe","value_FromShotOffTarget","value_HighCentre","value_LeadingToAttempt","value_BoxRight","value_Throughball","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,167,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,425576,23.625,35.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2812535507,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.9","22.5",NA,"3.09","52.2","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01689528,0.01016549,-0.00672979,"Man City","Southampton",87,"James McAtee","AMR",TRUE,-28.8887500886947,0,177.034184690609,"J. McAtee",1,1,"Man City",1
2,5,0,4,167,25.83,36.04,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,121774,46.83,23.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2812535559,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.6","44.6",NA,"5.74","34.2","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01016549,0.01429128,0.00412579,"Man City","Southampton",31,"Ederson","GK",TRUE,20.0423905711379,0,-31.3314625527217,"Ederson",2,1,"Man City",2
3,5.5,0,6.5,167,46.83,23.256,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,444791,58.59,23.936,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.108333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01429128,0.01685596,0.00256468,"Man City","Southampton",82,"Rico Lewis","DR",TRUE,0,11.6652344110022,3.30933627606332,"R. Lewis",3,1,"Man City",3
4,6,0,9,167,58.59,23.936,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 37, 216, 218)",TRUE,444791,56.91,34.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2812535599,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.9","54.2",NA,"1.72","51.1","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01685596,0.01689528,3.93199999999989e-05,"Man City","Southampton",82,"Rico Lewis","DR",TRUE,-0.607163567994085,0,98.8321560303231,"R. Lewis",4,1,"Man City",4
5,7,0,12,167,57.225,37.128,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 37, 216, 218)",TRUE,93894,69.405,59.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2812535639,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.6","66.1",NA,"1.07","87.7","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01689528,0.0174506,0.000555320000000002,"Man City","Southampton",8,"Mateo Kovacic","DMC",TRUE,4.01148989255995,0,61.5803659426503,"M. Kovacic",5,1,"Man City",5
6,8,0,15,167,71.19,60.996,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,402664,65.625,55.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2812535673,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.8","62.5",NA,"3.92","81.7","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.02122129,0.01870347,-0.00251782,"Man City","Southampton",24,"Josko Gvardiol","DL",TRUE,-1.62386691349576,0,-135.650764603593,"J. Gvardiol",6,1,"Man City",6
7,9,0,16,167,65.52,56.848,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,331254,50.4,54.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2812535707,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.3","48.0",NA,"3.29","80.3","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01870347,0.0138454,-0.00485807,"Man City","Southampton",47,"Phil Foden","AML",TRUE,-12.7435383822638,0,-171.558199466666,"P. Foden",7,1,"Man City",7
8,9.5,0,18,167,50.4,54.604,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,297390,58.065,46.104,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.0138454,0.01685596,0.00301056,"Man City","Southampton",25,"Manuel Akanji","DC",TRUE,0,9.88762509416227,-47.9569745080569,"M. Akanji",8,1,"Man City",8
9,10,0,20,167,58.065,46.104,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 38, 216, 218)",TRUE,297390,58.065,31.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,2812535757,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.5","55.3",NA,"4.71","46.5","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01685596,0.01689528,3.93199999999989e-05,"Man City","Southampton",25,"Manuel Akanji","DC",TRUE,1.47531610338278,0,-90,"M. Akanji",9,1,"Man City",9
10,11,0,24,167,60.27,31.416,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 37, 216, 218)",TRUE,136741,60.795,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2812535793,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7","57.9",NA,"1.50","57.5","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01689528,0.01689528,0,"Man City","Southampton",20,"Bernardo Silva","DMC",TRUE,0.306350203569501,0,86.0914096070406,"B. Silva",10,1,"Man City",10
11,12,0,26,167,62.37,39.576,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,93894,70.665,57.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,2812535807,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.1","67.3",NA,"1.15","85.1","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.0199707,0.02122129,0.00125059,"Man City","Southampton",8,"Mateo Kovacic","DMC",TRUE,1.17717389345084,0,65.6068043841559,"M. Kovacic",11,1,"Man City",11
12,13,0,28,167,70.98,58.14,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,331254,78.435,63.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466666666666667,2812535829,0,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.4","74.7",NA,"0.66","94.0","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.02401521,0.02756312,0.00354791,"Man City","Southampton",47,"Phil Foden","AML",TRUE,1.70318715917579,0,37.7870863315567,"P. Foden",12,1,"Man City",12
