"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_PassEndY","type_value_StandingSave","type_value_PassEndX","type_value_Length","type_value_Zone","type_value_Longball","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_MissRight","type_value_MissLeft","type_value_Cross","type_value_Chipped","type_value_RightFoot","type_value_CornerTaken","type_value_Head","type_value_IntentionalAssist","type_value_ShotAssist","type_value_KeyPass","type_value_LowCentre","type_value_BlockedX","type_value_Assisted","type_value_GoalMouthY","type_value_GoalMouthZ","type_value_BlockedY","type_value_LeftFoot","type_value_FirstTouch","type_value_RegularPlay","type_value_RelatedEventId","type_value_SmallBoxLeft","type_value_Collected","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInSixYard","type_value_KeeperSaveInTheBox","type_value_KeeperThrow","type_value_OtherBodyPart","type_value_LayOff","type_value_ThrowIn","type_value_Foul","type_value_FreekickTaken","type_value_GoalDisallowed","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_Throughball","type_value_Blocked","type_value_BoxRight","type_value_LowLeft","type_value_OutfielderBlock","type_value_BoxCentre","type_value_FromCorner","type_value_HighCentre","type_value_LowRight","type_value_Volley","type_value_ParriedDanger","type_value_GoalKick","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_BigChanceCreated","type_value_BigChance","type_value_ParriedSafe","type_value_Feet","type_value_OutOfBoxLeft","type_value_IndividualPlay","type_value_MissHigh","type_value_FastBreak","type_value_SetPiece","type_value_HighRight","type_value_SmallBoxRight","type_value_OutOfBoxCentre","type_value_Yellow","type_value_SixYardBlock","type_value_SavedOffline","type_value_SmallBoxCentre","type_value_IntentionalGoalAssist","type_value_DirectFreekick","type_value_BlockedCross","type_value_KeeperSaveObox","type_value_HighClaim","type_value_HighLeft","type_value_ThrowinSetPiece","type_value_OverRun","type_value_OneOnOne","type_value_BoxLeft","value_Angle","value_PassEndY","value_StandingSave","value_PassEndX","value_Length","value_Zone","value_Longball","value_HeadPass","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_MissRight","value_MissLeft","value_Cross","value_Chipped","value_RightFoot","value_CornerTaken","value_Head","value_IntentionalAssist","value_ShotAssist","value_KeyPass","value_LowCentre","value_BlockedX","value_Assisted","value_GoalMouthY","value_GoalMouthZ","value_BlockedY","value_LeftFoot","value_FirstTouch","value_RegularPlay","value_RelatedEventId","value_SmallBoxLeft","value_Collected","value_DivingSave","value_Hands","value_KeeperSaveInSixYard","value_KeeperSaveInTheBox","value_KeeperThrow","value_OtherBodyPart","value_LayOff","value_ThrowIn","value_Foul","value_FreekickTaken","value_GoalDisallowed","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_Throughball","value_Blocked","value_BoxRight","value_LowLeft","value_OutfielderBlock","value_BoxCentre","value_FromCorner","value_HighCentre","value_LowRight","value_Volley","value_ParriedDanger","value_GoalKick","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_InvolvedPlayers","value_TeamFormation","value_CaptainPlayerId","value_TeamPlayerFormation","value_BigChanceCreated","value_BigChance","value_ParriedSafe","value_Feet","value_OutOfBoxLeft","value_IndividualPlay","value_MissHigh","value_FastBreak","value_SetPiece","value_HighRight","value_SmallBoxRight","value_OutOfBoxCentre","value_Yellow","value_SixYardBlock","value_SavedOffline","value_SmallBoxCentre","value_IntentionalGoalAssist","value_DirectFreekick","value_BlockedCross","value_KeeperSaveObox","value_HighClaim","value_HighLeft","value_ThrowinSetPiece","value_OverRun","value_OneOnOne","value_BoxLeft","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,162,53.025,33.592,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,108638,50.925,36.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2813514389,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.20","53.6",NA,"48.5","3.5","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.01689528,0.01484598,-0.0020493,"Crystal Palace","Tottenham",19,"Will Hughes","MC",TRUE,-2.15378131861883,0,126.32682595212,"W. Hughes",1,1,"Crystal Palace",1
2,5,0,1,162,49.14,37.536,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,332403,33.18,48.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666666667,2813514457,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.54","71.2",NA,"31.6","19.3","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.01484598,0.01110462,-0.00374136,"Crystal Palace","Tottenham",10,"Eberechi Eze","AMC",TRUE,-17.280727605779,0,145.717579064119,"E. Eze",2,1,"Crystal Palace",2
3,6,0,3,162,31.08,46.988,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,374631,19.32,33.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2813514481,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.98","49.9",NA,"18.4","17.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.01110462,0.01016549,-0.000939130000000002,"Crystal Palace","Tottenham",6,"Marc Guehi","DC",TRUE,-10.6276816243673,0,-132.010479816167,"M. Guehi",3,1,"Crystal Palace",3
4,7,0,5,162,19.32,33.932,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,304008,28.665,19.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,2813514545,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.28","28.3",NA,"27.3","17.4","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.01016549,0.01110462,0.000939130000000002,"Crystal Palace","Tottenham",1,"Dean Henderson","GK",TRUE,7.93189671078434,0,-57.5341085967349,"D. Henderson",4,1,"Crystal Palace",4
5,8,0,8,162,28.35,16.728,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 215, 218)",TRUE,401130,31.92,5.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2813514577,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.02","8.3",NA,"30.4","11.6","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.0105949,0.00977659,-0.000818310000000001,"Crystal Palace","Tottenham",5,"Maxence Lacroix","DC",TRUE,0.18345618346234,0,-72.1469827586212,"M. Lacroix",5,1,"Crystal Palace",5
6,9,0,9,162,29.925,5.78,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 37, 216, 218)",TRUE,395401,38.64,5.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2813514595,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01","8.6",NA,"36.8","8.7","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,NA,NA,NA,"Crystal Palace","Tottenham",26,"Chris Richards","DC",TRUE,8.1190746339223,0,0.447049218947637,"C. Richards",6,1,"Crystal Palace",6
7,5,0,10,30,69.51,60.86,"FirstHalf","Interception","Successful",NA,NA,NA,"c(91, 101, 56)",TRUE,362219,69.51,60.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2813514627,0,NA,NA,178,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,NA,NA,NA,"Tottenham","Crystal Palace",24,"Djed Spence","DL",TRUE,0,0,0,"D. Spence",7,1,"Crystal Palace",7
8,7,0,12,30,68.145,59.432,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 38, 217, 218)",TRUE,362219,81.27,46.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2813514663,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.52","69.0",NA,"77.4","18.1","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,NA,NA,NA,"Tottenham","Crystal Palace",24,"Djed Spence","DL",TRUE,17.7588539635927,0,-43.6302757065271,"D. Spence",8,1,"Crystal Palace",8
9,12,0,15,162,23.625,17.612,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,133464,4.83,25.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2813514755,0,213,141,178,140,212,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.73","38.0",NA,"4.6","20.5","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.01001304,0.00941056,-0.000602480000000001,"Crystal Palace","Tottenham",8,"Jefferson Lerma","MC",TRUE,-17.4930357541099,0,156.357350326102,"J. Lerma",9,1,"Crystal Palace",9
10,13,0,17,162,4.83,25.84,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 128, 36, 38, 216, 218)",TRUE,304008,46.935,19.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2813514805,0,213,141,178,140,212,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.12","28.0",NA,"44.7","42.7","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,NA,NA,NA,"Crystal Palace","Tottenham",1,"Dean Henderson","GK",TRUE,40.5406107517521,0,-9.17411204876045,"D. Henderson",10,1,"Crystal Palace",10
11,8,0,20,30,55.125,49.436,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 139, 36, 38, 216, 218)",TRUE,303657,61.845,29.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,2813514873,0,213,141,NA,140,212,56,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.04","43.7",NA,"58.9","20.8","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.01685596,0.0199707,0.00311474,"Tottenham","Crystal Palace",30,"Rodrigo Bentancur","MC",TRUE,8.84194264174995,0,-71.1823892440125,"R. Bentancur",11,2,"Tottenham",11
12,8.5,0,21.5,30,61.845,29.716,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,444751,57.225,20.06,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,0.358333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 23:16:27",60254,"Tottenham Hotspur Stadium","Chris Kavanagh","0 : 2",30,162,0.0199707,0.01685596,-0.00311474,"Tottenham","Crystal Palace",28,"Wilson Odobert","FWR",TRUE,0,-6.40008509031308,-115.56920276939,"W. Odobert",12,2,"Tottenham",12
