"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_PassEndX","type_value_Angle","type_value_PassEndY","type_value_StandingSave","type_value_Length","type_value_Longball","type_value_ThrowIn","type_value_LayOff","type_value_Chipped","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Offensive","type_value_ShotAssist","type_value_IntentionalAssist","type_value_HeadPass","type_value_KeyPass","type_value_FirstTouch","type_value_GoalMouthZ","type_value_RightFoot","type_value_BoxCentre","type_value_MissLeft","type_value_RegularPlay","type_value_Assisted","type_value_GoalMouthY","type_value_RelatedEventId","type_value_GoalKick","type_value_Head","type_value_Foul","type_value_FreekickTaken","type_value_CornerTaken","type_value_Cross","type_value_BlockedX","type_value_Blocked","type_value_BoxLeft","type_value_BlockedY","type_value_IndividualPlay","type_value_LowCentre","type_value_OutfielderBlock","type_value_BoxRight","type_value_MissHigh","type_value_LeadingToAttempt","type_value_OutOfBoxCentre","type_value_LeftFoot","type_value_BlockedCross","type_value_OverRun","type_value_Penalty","type_value_HighCentre","type_value_BigChance","type_value_KeeperMissed","type_value_DivingSave","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_KeeperThrow","type_value_MissRight","type_value_OtherBodyPart","type_value_Throughball","type_value_SmallBoxLeft","type_value_FromCorner","type_value_ParriedDanger","type_value_Hands","type_value_KeeperSaveInSixYard","type_value_KeeperSaveInTheBox","type_value_HighLeft","type_value_Volley","type_value_LowLeft","type_value_BigChanceCreated","type_value_LowRight","type_value_FastBreak","type_value_Yellow","type_value_PlayerPosition","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_JerseyNumber","type_value_InvolvedPlayers","type_value_HighClaim","type_value_FormationSlot","type_value_HighRight","type_value_ParriedSafe","type_value_SixYardBlock","type_value_DeepBoxRight","type_value_SmallBoxCentre","type_value_Collected","value_Zone","value_PassEndX","value_Angle","value_PassEndY","value_StandingSave","value_Length","value_Longball","value_ThrowIn","value_LayOff","value_Chipped","value_OppositeRelatedEvent","value_Defensive","value_Offensive","value_ShotAssist","value_IntentionalAssist","value_HeadPass","value_KeyPass","value_FirstTouch","value_GoalMouthZ","value_RightFoot","value_BoxCentre","value_MissLeft","value_RegularPlay","value_Assisted","value_GoalMouthY","value_RelatedEventId","value_GoalKick","value_Head","value_Foul","value_FreekickTaken","value_CornerTaken","value_Cross","value_BlockedX","value_Blocked","value_BoxLeft","value_BlockedY","value_IndividualPlay","value_LowCentre","value_OutfielderBlock","value_BoxRight","value_MissHigh","value_LeadingToAttempt","value_OutOfBoxCentre","value_LeftFoot","value_BlockedCross","value_OverRun","value_Penalty","value_HighCentre","value_BigChance","value_KeeperMissed","value_DivingSave","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_KeeperThrow","value_MissRight","value_OtherBodyPart","value_Throughball","value_SmallBoxLeft","value_FromCorner","value_ParriedDanger","value_Hands","value_KeeperSaveInSixYard","value_KeeperSaveInTheBox","value_HighLeft","value_Volley","value_LowLeft","value_BigChanceCreated","value_LowRight","value_FastBreak","value_Yellow","value_PlayerPosition","value_TeamPlayerFormation","value_CaptainPlayerId","value_TeamFormation","value_JerseyNumber","value_InvolvedPlayers","value_HighClaim","value_FormationSlot","value_HighRight","value_ParriedSafe","value_SixYardBlock","value_DeepBoxRight","value_SmallBoxCentre","value_Collected","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,30,52.71,33.932,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,429922,31.815,15.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876503,0,56,140,213,141,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","30.3","3.86","23.0",NA,"27.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.01689528,0.0105949,-0.00630038,"Tottenham","Brighton",14,"Archie Gray","MC",TRUE,-23.1628140808234,0,-138.800294532306,"A. Gray",1,1,"Tottenham",1
2,5,0,2,30,32.13,18.02,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,362352,27.825,34.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,2818876573,0,56,140,213,141,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","26.5","1.82","51.0",NA,"17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.01110462,0.01132376,0.00021914,"Tottenham","Brighton",23,"Pedro Porro","DR",TRUE,-2.57640526502907,0,104.488494791802,"P. Porro",2,1,"Tottenham",2
3,5.5,0,4.5,30,27.825,34.68,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,330816,24.78,54.74,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.01132376,0.00942382,-0.00189994,"Tottenham","Brighton",4,"Kevin Danso","DC",TRUE,0,-5.67968948925129,98.6313003411125,"K. Danso",3,1,"Tottenham",3
4,6,0,7,30,24.78,54.74,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 216, 218)",TRUE,330816,68.565,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2818876611,0,56,140,213,141,178,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","65.3","0.32","100.0",NA,"46.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,NA,NA,NA,"Tottenham","Brighton",4,"Kevin Danso","DC",TRUE,33.0228658161937,0,16.8485922312661,"K. Danso",4,1,"Tottenham",4
5,5,0,14,211,29.61,0,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 35, 37, 215)",TRUE,445059,22.785,14.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,2818876805,0,56,140,213,141,NA,212,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","21.7","2.00","20.8",NA,"16.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.00977659,0.00942382,-0.000352770000000001,"Brighton","Tottenham",27,"Mats Wieffer","DR",TRUE,-1.87657266985677,0,115.759017860001,"M. Wieffer",5,2,"Brighton",5
6,5.5,0,20,211,22.785,14.144,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,365402,24.36,26.316,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.00942382,0.01016549,0.00074167,"Brighton","Tottenham",29,"Jan Paul van Hecke","DC",TRUE,0,3.57349380349002,82.6271595694472,"J. P. van Hecke",6,2,"Brighton",6
7,6,0,26,211,24.36,26.316,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,365402,31.08,28.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,2818876831,0,56,140,213,141,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","29.6","0.30","41.8",NA,"7.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.01016549,0.01132376,0.00115827,"Brighton","Tottenham",29,"Jan Paul van Hecke","DC",TRUE,6.87525946909952,0,17.4161443796467,"J. P. van Hecke",7,2,"Brighton",7
8,7,0,27,211,30.345,27.676,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,470690,24.885,6.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,2818876911,0,56,140,213,141,178,212,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","23.7","4.45","10.2",NA,"21.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.01132376,0.00844854,-0.00287522,"Brighton","Tottenham",26,"Yasin Ayari","MC",TRUE,-9.64046335692468,0,-104.749001964944,"Y. Ayari",8,2,"Brighton",8
9,8,0,30,211,24.885,6.936,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,445059,24.36,23.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2818876949,0,56,140,213,141,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","23.2","1.60","34.7",NA,"16.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.00844854,0.01001304,0.0015645,"Brighton","Tottenham",27,"Mats Wieffer","DR",TRUE,3.25445555386054,0,91.8049419660735,"M. Wieffer",9,2,"Brighton",9
10,8.5,0,31.5,211,24.36,23.596,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,365402,27.09,27.064,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 03:00:23",61449,"Tottenham Hotspur Stadium","Robert Jones","1 : 4",30,211,0.01001304,0.01132376,0.00131072,"Brighton","Tottenham",29,"Jan Paul van Hecke","DC",TRUE,0,3.09024882684488,51.7902767216514,"J. P. van Hecke",10,2,"Brighton",10
