"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_PassEndY","type_value_StandingSave","type_value_Length","type_value_Zone","type_value_PassEndX","type_value_Longball","type_value_ThrowIn","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_HeadPass","type_value_KeeperThrow","type_value_RightFoot","type_value_Cross","type_value_BlockedCross","type_value_Chipped","type_value_Head","type_value_LayOff","type_value_OtherBodyPart","type_value_LeftFoot","type_value_Foul","type_value_FreekickTaken","type_value_GoalKick","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_RelatedEventId","type_value_Yellow","type_value_LeadingToGoal","type_value_IntentionalAssist","type_value_ShotAssist","type_value_RegularPlay","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_KeyPass","type_value_BigChance","type_value_BoxCentre","type_value_GoalMouthY","type_value_OneOnOne","type_value_LowRight","type_value_Assisted","type_value_GoalMouthZ","type_value_LeadingToAttempt","type_value_FirstTouch","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_BlockedY","type_value_BlockedX","type_value_DirectFreekick","type_value_MissHigh","type_value_OutOfBoxDeepLeft","type_value_Throughball","type_value_SmallBoxRight","type_value_OverRun","type_value_Blocked","type_value_BoxRight","type_value_OutfielderBlock","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_LastMan","type_value_BoxLeft","type_value_FastBreak","type_value_LowLeft","type_value_DivingSave","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_HighRight","type_value_FromCorner","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_SetPiece","type_value_LowCentre","type_value_SmallBoxLeft","type_value_ParriedSafe","type_value_KeeperSaveInSixYard","value_Angle","value_PassEndY","value_StandingSave","value_Length","value_Zone","value_PassEndX","value_Longball","value_ThrowIn","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_HeadPass","value_KeeperThrow","value_RightFoot","value_Cross","value_BlockedCross","value_Chipped","value_Head","value_LayOff","value_OtherBodyPart","value_LeftFoot","value_Foul","value_FreekickTaken","value_GoalKick","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_RelatedEventId","value_Yellow","value_LeadingToGoal","value_IntentionalAssist","value_ShotAssist","value_RegularPlay","value_BigChanceCreated","value_IntentionalGoalAssist","value_KeyPass","value_BigChance","value_BoxCentre","value_GoalMouthY","value_OneOnOne","value_LowRight","value_Assisted","value_GoalMouthZ","value_LeadingToAttempt","value_FirstTouch","value_IndividualPlay","value_OutOfBoxCentre","value_BlockedY","value_BlockedX","value_DirectFreekick","value_MissHigh","value_OutOfBoxDeepLeft","value_Throughball","value_SmallBoxRight","value_OverRun","value_Blocked","value_BoxRight","value_OutfielderBlock","value_MissLeft","value_MissRight","value_CornerTaken","value_LastMan","value_BoxLeft","value_FastBreak","value_LowLeft","value_DivingSave","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_HighRight","value_FromCorner","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_SetPiece","value_LowCentre","value_SmallBoxLeft","value_ParriedSafe","value_KeeperSaveInSixYard","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,30,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,403859,37.8,28.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2810209967,0,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.53","41.2",NA,"15.9","Back","36.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01689528,0.01262646,-0.00426882,"Tottenham","West Ham",29,"Pape Matar Sarr","MC",TRUE,-14.9659043962208,0,-157.849998786562,"P. M. Sarr",1,1,"Tottenham",1
2,5,0,3,30,36.96,30.668,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,103837,81.165,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2810210003,0,213,141,178,212,56,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.67","0.0",NA,"54.0","Right","77.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",33,"Ben Davies","DC",TRUE,26.599166976752,0,-34.7516628096377,"B. Davies",2,1,"Tottenham",2
3,5,0,23,29,37.38,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 38, 216)",TRUE,68049,48.3,65.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383333333333333,2810210427,0,213,141,NA,212,56,140,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.96","95.9",NA,"11.5","Back","46.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01126267,0.01248344,0.00122077,"West Ham","Tottenham",3,"Aaron Cresswell","DC",TRUE,10.9635253257439,0,-14.3223007632869,"A. Cresswell",3,2,"West Ham",3
4,6,0,25,29,47.775,64.736,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,104058,47.775,64.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,2810210433,0,NA,NA,NA,NA,56,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"West Ham","Tottenham",11,"Niclas Fullkrug","FW",TRUE,0,0,0,"N. Fullkrug",4,2,"West Ham",4
5,7,0,25,30,57.225,3.264,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,429922,57.225,3.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,2810210403,0,NA,NA,NA,NA,56,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",14,"Archie Gray","DR",TRUE,0,0,0,"A. Gray",5,2,"West Ham",5
6,7,0,25,29,48.3,65.212,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 139, 36, 38, 216, 218)",TRUE,104058,57.435,53.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416666666666667,2810210511,0,213,141,NA,212,56,140,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.36","78.3",NA,"15.1","Center","54.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01248344,0.01611813,0.00363469,"West Ham","Tottenham",11,"Niclas Fullkrug","FW",TRUE,13.4126591578879,0,-52.6460335316801,"N. Fullkrug",6,2,"West Ham",6
7,7.5,0,27.5,29,57.435,53.244,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,400166,54.705,50.932,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.458333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01611813,0.01611813,0,"West Ham","Tottenham",14,"Mohammed Kudus","AMC",TRUE,0,-1.7581962916194,-139.73918927326,"M. Kudus",7,2,"West Ham",7
8,8,0,30,29,54.705,50.932,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,400166,42.21,32.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2810210589,0,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.11","48.4",NA,"21.9","Back","40.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01685596,0.01262646,-0.0042295,"West Ham","Tottenham",14,"Mohammed Kudus","AMC",TRUE,-9.73079400959081,0,-124.737293101606,"M. Kudus",8,2,"West Ham",8
9,9,0,33,29,41.895,32.368,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 216, 218)",TRUE,361710,38.325,42.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2810210631,0,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.91","62.6",NA,"10.8","Back","36.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01262646,0.01269174,6.52799999999992e-05,"West Ham","Tottenham",25,"Jean-Clair Todibo","DC",TRUE,-4.09715717040684,0,109.290046219189,"J. Todibo",9,2,"West Ham",9
10,10,0,35,29,38.22,42.976,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,368310,39.165,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333333333,2810210719,0,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.50","82.5",NA,"13.2","Back","37.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01269174,0.01214719,-0.00054455,"West Ham","Tottenham",26,"Maximilian Kilman","DC",TRUE,-2.06481568097948,0,85.8814975850033,"M. Kilman",10,2,"West Ham",10
