"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_Zone","type_value_PassEndX","type_value_PassEndY","type_value_Length","type_value_Angle","type_value_Longball","type_value_HeadPass","type_value_ThrowIn","type_value_OtherBodyPart","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_LayOff","type_value_IntentionalAssist","type_value_Cross","type_value_Chipped","type_value_RightFoot","type_value_ShotAssist","type_value_KeyPass","type_value_GoalMouthZ","type_value_RelatedEventId","type_value_Head","type_value_Assisted","type_value_BoxCentre","type_value_GoalMouthY","type_value_BlockedY","type_value_RegularPlay","type_value_FirstTouch","type_value_HighCentre","type_value_BlockedX","type_value_DivingSave","type_value_ParriedSafe","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_SmallBoxCentre","type_value_FromCorner","type_value_LeftFoot","type_value_GoalKick","type_value_BlockedCross","type_value_ThrowinSetPiece","type_value_Volley","type_value_LowLeft","type_value_BigChance","type_value_Feet","type_value_KeeperThrow","type_value_Blocked","type_value_IndividualPlay","type_value_LowCentre","type_value_OutOfBoxCentre","type_value_OutfielderBlock","type_value_Foul","type_value_Throughball","type_value_FreekickTaken","type_value_BoxRight","type_value_LowRight","type_value_KeeperSaveObox","type_value_LeadingToGoal","type_value_OverRun","type_value_BigChanceCreated","type_value_SmallBoxRight","type_value_MissHigh","type_value_SmallBoxLeft","type_value_SixYardBlock","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_LastMan","type_value_Yellow","type_value_HighClaim","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_SetPiece","type_value_IntentionalGoalAssist","type_value_HighRight","type_value_HighLeft","type_value_Collected","type_value_FastBreak","type_value_BoxLeft","value_StandingSave","value_Zone","value_PassEndX","value_PassEndY","value_Length","value_Angle","value_Longball","value_HeadPass","value_ThrowIn","value_OtherBodyPart","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_LayOff","value_IntentionalAssist","value_Cross","value_Chipped","value_RightFoot","value_ShotAssist","value_KeyPass","value_GoalMouthZ","value_RelatedEventId","value_Head","value_Assisted","value_BoxCentre","value_GoalMouthY","value_BlockedY","value_RegularPlay","value_FirstTouch","value_HighCentre","value_BlockedX","value_DivingSave","value_ParriedSafe","value_Hands","value_KeeperSaveInTheBox","value_MissLeft","value_MissRight","value_CornerTaken","value_SmallBoxCentre","value_FromCorner","value_LeftFoot","value_GoalKick","value_BlockedCross","value_ThrowinSetPiece","value_Volley","value_LowLeft","value_BigChance","value_Feet","value_KeeperThrow","value_Blocked","value_IndividualPlay","value_LowCentre","value_OutOfBoxCentre","value_OutfielderBlock","value_Foul","value_Throughball","value_FreekickTaken","value_BoxRight","value_LowRight","value_KeeperSaveObox","value_LeadingToGoal","value_OverRun","value_BigChanceCreated","value_SmallBoxRight","value_MissHigh","value_SmallBoxLeft","value_SixYardBlock","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_LastMan","value_Yellow","value_HighClaim","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_TeamPlayerFormation","value_CaptainPlayerId","value_TeamFormation","value_InvolvedPlayers","value_SetPiece","value_IntentionalGoalAssist","value_HighRight","value_HighLeft","value_Collected","value_FastBreak","value_BoxLeft","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,29,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,400166,25.095,32.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2816436417,0,178,56,140,141,212,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","23.9","48.2","27.4","3.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,0.01689528,0.01016549,-0.00672979,"West Ham","Nottingham Forest",14,"Mohammed Kudus","FW",TRUE,-27.4143741826212,0,-177.44267623988,"M. Kudus",1,1,"West Ham",1
2,5,0,3,29,28.035,32.504,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 217, 218)",TRUE,92516,75.075,14.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2816436509,0,178,56,140,141,212,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","71.5","21.5","50.3","5.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,NA,NA,NA,"West Ham","Nottingham Forest",23,"Alphonse Areola","GK",TRUE,41.3271883053131,0,-20.8161565600117,"A. Areola",2,1,"West Ham",2
3,4,0,6,174,29.505,60.52,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 139, 36, 38, 215, 218)",TRUE,402596,32.34,49.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2816436565,0,NA,56,140,141,212,213,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","30.8","73.5","10.9","4.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,0.00977659,0.01110462,0.00132803,"Nottingham Forest","West Ham",8,"Elliot Anderson","MC",TRUE,5.6210535739047,0,-74.9451590307015,"E. Anderson",3,2,"Nottingham Forest",3
4,5,0,8,174,32.235,52.428,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 216, 218)",TRUE,328075,61.005,58.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133333333333333,2816436589,0,178,56,140,141,212,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","58.1","86.3","29.4","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,NA,NA,NA,"Nottingham Forest","West Ham",6,"Ibrahim Sangare","MC",TRUE,24.6156126639837,0,12.2679155331411,"I. Sangare",4,2,"Nottingham Forest",4
5,6,0,12,29,49.35,8.636,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 38, 216, 218)",TRUE,361710,63.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2816436613,0,178,56,140,141,212,213,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","60.6","0.0","17.1","5.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,NA,NA,NA,"West Ham","Nottingham Forest",25,"Jean-Clair Todibo","DC",TRUE,7.60879693398116,0,-31.1639506143602,"J. Todibo",5,2,"Nottingham Forest",5
6,7,0,32,174,43.575,68,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 38, 216)",TRUE,386969,64.155,57.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,2816436933,0,NA,56,140,141,212,213,1,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left","61.1","84.8","23.6","5.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,0.01248344,0.01870347,0.00622003,"Nottingham Forest","West Ham",7,"Neco Williams","DL",TRUE,23.0021941781315,0,-26.6674126441257,"N. Williams",6,2,"Nottingham Forest",6
7,7.5,0,32.5,174,64.155,57.664,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,402596,58.275,59.16,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.541666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,0.01870347,0.01611813,-0.00258534,"Nottingham Forest","West Ham",8,"Elliot Anderson","MC",TRUE,0,-5.86350249156527,165.725559908298,"E. Anderson",7,2,"Nottingham Forest",7
8,8,0,33,174,58.275,59.16,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 38, 216, 218)",TRUE,402596,69.09,51.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2816436943,0,178,56,140,141,212,213,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","65.8","75.8","13.2","5.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,NA,NA,NA,"Nottingham Forest","West Ham",8,"Elliot Anderson","MC",TRUE,13.1018772820137,0,-35.1534793076463,"E. Anderson",8,2,"Nottingham Forest",8
9,8,0,35,29,34.86,12.172,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 205, 36, 37, 217, 218)",TRUE,368310,72.66,18.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333333333,2816436983,0,178,56,140,141,212,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center","69.2","27.4","38.3","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,0.01214719,0.0241224,0.01197521,"West Ham","Nottingham Forest",26,"Maximilian Kilman","DC",TRUE,37.6522831801231,0,9.6981261940651,"M. Kilman",9,2,"Nottingham Forest",9
10,9,0,37,29,72.66,18.632,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,322596,72.66,18.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616666666666667,2816436987,0,178,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-19 17:45:02",62466,"London Stadium","Samuel Barrott","1 : 2",29,174,NA,NA,NA,"West Ham","Nottingham Forest",20,"Jarrod Bowen","FW",TRUE,0,0,0,"J. Bowen",10,2,"Nottingham Forest",10
