"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_StandingSave","type_value_PassEndY","type_value_Angle","type_value_Length","type_value_PassEndX","type_value_Zone","type_value_Longball","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Offensive","type_value_Foul","type_value_FreekickTaken","type_value_ThrowIn","type_value_Chipped","type_value_LeftFoot","type_value_Cross","type_value_MissRight","type_value_MissLeft","type_value_CornerTaken","type_value_HighClaim","type_value_KeeperThrow","type_value_LayOff","type_value_OtherBodyPart","type_value_IntentionalAssist","type_value_RightFoot","type_value_ShotAssist","type_value_BigChanceCreated","type_value_KeyPass","type_value_SetPiece","type_value_GoalMouthY","type_value_BoxCentre","type_value_FirstTouch","type_value_Assisted","type_value_Volley","type_value_BigChance","type_value_GoalMouthZ","type_value_RelatedEventId","type_value_GoalKick","type_value_Head","type_value_Blocked","type_value_BlockedX","type_value_BlockedY","type_value_RegularPlay","type_value_LowRight","type_value_OutfielderBlock","type_value_LowCentre","type_value_FromCorner","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_FastBreak","type_value_OverRun","type_value_AerialFoul","type_value_GoalDisallowed","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighLeft","type_value_Penalty","type_value_Yellow","type_value_DivingSave","type_value_KeeperMissed","type_value_MissHigh","type_value_LastMan","type_value_BlockedCross","type_value_LowLeft","type_value_BoxLeft","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_HighCentre","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_ParriedDanger","type_value_Throughball","type_value_LeadingToAttempt","type_value_OneOnOne","value_StandingSave","value_PassEndY","value_Angle","value_Length","value_PassEndX","value_Zone","value_Longball","value_HeadPass","value_OppositeRelatedEvent","value_Defensive","value_Offensive","value_Foul","value_FreekickTaken","value_ThrowIn","value_Chipped","value_LeftFoot","value_Cross","value_MissRight","value_MissLeft","value_CornerTaken","value_HighClaim","value_KeeperThrow","value_LayOff","value_OtherBodyPart","value_IntentionalAssist","value_RightFoot","value_ShotAssist","value_BigChanceCreated","value_KeyPass","value_SetPiece","value_GoalMouthY","value_BoxCentre","value_FirstTouch","value_Assisted","value_Volley","value_BigChance","value_GoalMouthZ","value_RelatedEventId","value_GoalKick","value_Head","value_Blocked","value_BlockedX","value_BlockedY","value_RegularPlay","value_LowRight","value_OutfielderBlock","value_LowCentre","value_FromCorner","value_IndividualPlay","value_OutOfBoxCentre","value_FastBreak","value_OverRun","value_AerialFoul","value_GoalDisallowed","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighLeft","value_Penalty","value_Yellow","value_DivingSave","value_KeeperMissed","value_MissHigh","value_LastMan","value_BlockedCross","value_LowLeft","value_BoxLeft","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_HighCentre","value_ParriedSafe","value_KeeperSaveObox","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_CaptainPlayerId","value_TeamFormation","value_InvolvedPlayers","value_TeamPlayerFormation","value_ParriedDanger","value_Throughball","value_LeadingToAttempt","value_OneOnOne","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,161,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,247995,33.075,34.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2812535499,0,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.3","3.10","19.4","31.5","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01689528,0.01132376,-0.00557152,"Wolves","Brighton",29,"Goncalo Guedes","FW",TRUE,-19.4304322314276,0,177.394360501145,"G. Guedes",1,1,"Wolves",1
2,5,0,3,161,33.18,36.312,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 37, 217, 218)",TRUE,122714,80.325,65.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,2812535573,0,178,141,213,212,140,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95.9","0.55","55.3","76.5","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Wolves","Brighton",1,"Jose Sa","GK",TRUE,32.0697112218955,0,31.5083987736532,"J. Sa",2,1,"Wolves",2
3,4,0,7,211,24.675,3.944,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 139, 36, 37, 215, 218)",TRUE,445059,32.655,8.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2812535581,0,NA,141,213,212,140,56,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.9","0.54","9.3","31.1","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.00844854,0.0105949,0.00214636,"Brighton","Wolves",27,"Mats Wieffer","DR",TRUE,9.1464662093164,0,31.1744638033973,"M. Wieffer",3,2,"Brighton",3
4,5,0,9,211,32.865,9.044,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 139, 35, 38, 215, 218)",TRUE,436048,32.025,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2812535621,0,NA,141,213,212,140,56,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5","4.59","6.7","30.5","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.0105949,0.00977659,-0.000818310000000001,"Brighton","Wolves",20,"Carlos Baleba","DMC",TRUE,-3.20102621294862,0,-97.1842673924269,"C. Baleba",4,2,"Brighton",4
5,5.5,0,10,211,32.025,2.38,"FirstHalf","Carry","Successful",999,"takeOns","1","NULL",TRUE,386979,69.405,20.74,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.00977659,0.0241224,0.01434581,"Brighton","Wolves",2,"Tariq Lamptey","AMR",TRUE,0,41.5463454343287,26.1589667560248,"T. Lamptey",5,2,"Brighton",5
6,6,0,11,161,65.1,62.424,"FirstHalf","Challenge","Unsuccessful",NA,NA,NA,"55",FALSE,431283,65.1,62.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2812535665,0,NA,NA,NA,NA,NA,56,NA,NA,233,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left",NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Wolves","Brighton",24,"Toti Gomes","DC",TRUE,0,0,0,"T. Gomes",6,2,"Brighton",6
7,7,0,11,211,39.9,5.576,"FirstHalf","TakeOn","Successful",NA,NA,NA,"c(91, 54)",TRUE,386979,39.9,5.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2812535641,0,178,NA,NA,NA,NA,56,NA,NA,233,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Brighton","Wolves",2,"Tariq Lamptey","AMR",TRUE,0,0,0,"T. Lamptey",7,2,"Brighton",7
8,7.5,0,13.5,211,39.9,5.576,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,386979,69.405,20.74,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,0.01126267,0.0241224,0.01285973,"Brighton","Wolves",2,"Tariq Lamptey","AMR",TRUE,0,33.0501128703596,27.2007522530428,"T. Lamptey",8,2,"Brighton",8
9,8,0,16,211,69.405,20.74,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 37, 217, 218)",TRUE,386979,76.86,22.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2812535695,0,178,141,213,212,140,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.6","0.28","7.7","73.2","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Brighton","Wolves",2,"Tariq Lamptey","AMR",TRUE,7.71538660910042,0,15.7889531407312,"T. Lamptey",9,2,"Brighton",9
10,7,0,17,161,29.61,45.356,"FirstHalf","Interception","Successful",NA,NA,NA,"c(91, 101, 56)",TRUE,402810,29.61,45.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283333333333333,2812535723,0,178,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-11 02:10:52",31279,"Molineux Stadium","Michael Oliver","0 : 2",161,211,NA,NA,NA,"Wolves","Brighton",12,"Emmanuel Agbadou","DC",TRUE,0,0,0,"E. Agbadou",10,3,"Wolves",10
