"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Zone","type_value_PassEndX","type_value_PassEndY","type_value_Angle","type_value_StandingSave","type_value_Length","type_value_Longball","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_ThrowIn","type_value_Chipped","type_value_Head","type_value_RightFoot","type_value_Cross","type_value_BlockedCross","type_value_MissRight","type_value_MissLeft","type_value_CornerTaken","type_value_LeftFoot","type_value_OtherBodyPart","type_value_Foul","type_value_FreekickTaken","type_value_LayOff","type_value_Throughball","type_value_KeeperThrow","type_value_ShotAssist","type_value_KeyPass","type_value_RegularPlay","type_value_RelatedEventId","type_value_GoalMouthY","type_value_IndividualPlay","type_value_GoalMouthZ","type_value_Assisted","type_value_OutOfBoxCentre","type_value_MissHigh","type_value_GoalKick","type_value_BlockedX","type_value_Blocked","type_value_LowCentre","type_value_BlockedY","type_value_OutfielderBlock","type_value_IntentionalAssist","type_value_HighCentre","type_value_BoxCentre","type_value_FirstTouch","type_value_Collected","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_ThrowinSetPiece","type_value_BoxRight","type_value_FromShotOffTarget","type_value_DivingSave","type_value_BoxLeft","type_value_LeadingToGoal","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_BigChance","type_value_HighClaim","type_value_LowRight","type_value_KeeperSaveObox","type_value_Yellow","type_value_FastBreak","type_value_Volley","type_value_ParriedSafe","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_OverRun","type_value_LowLeft","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_HighRight","type_value_HighLeft","type_value_LeadingToAttempt","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_SixYardBlock","type_value_SmallBoxRight","type_value_FromCorner","value_Zone","value_PassEndX","value_PassEndY","value_Angle","value_StandingSave","value_Length","value_Longball","value_HeadPass","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_ThrowIn","value_Chipped","value_Head","value_RightFoot","value_Cross","value_BlockedCross","value_MissRight","value_MissLeft","value_CornerTaken","value_LeftFoot","value_OtherBodyPart","value_Foul","value_FreekickTaken","value_LayOff","value_Throughball","value_KeeperThrow","value_ShotAssist","value_KeyPass","value_RegularPlay","value_RelatedEventId","value_GoalMouthY","value_IndividualPlay","value_GoalMouthZ","value_Assisted","value_OutOfBoxCentre","value_MissHigh","value_GoalKick","value_BlockedX","value_Blocked","value_LowCentre","value_BlockedY","value_OutfielderBlock","value_IntentionalAssist","value_HighCentre","value_BoxCentre","value_FirstTouch","value_Collected","value_Hands","value_KeeperSaveInTheBox","value_ThrowinSetPiece","value_BoxRight","value_FromShotOffTarget","value_DivingSave","value_BoxLeft","value_LeadingToGoal","value_BigChanceCreated","value_IntentionalGoalAssist","value_BigChance","value_HighClaim","value_LowRight","value_KeeperSaveObox","value_Yellow","value_FastBreak","value_Volley","value_ParriedSafe","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_OverRun","value_LowLeft","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_HighRight","value_HighLeft","value_LeadingToAttempt","value_InvolvedPlayers","value_TeamFormation","value_CaptainPlayerId","value_TeamPlayerFormation","value_SixYardBlock","value_SmallBoxRight","value_FromCorner","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
1,4,0,0,189,52.5,34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,401168,25.305,34.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2818876363,0,56,140,141,213,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","24.1","50.7","3.12",NA,"27.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,0.01689528,0.01016549,-0.00672979,"Brentford","Wolves",24,"Mikkel Damsgaard","AMC",TRUE,-27.1964215068657,0,178.997241903335,"M. Damsgaard",1,1,"Brentford",1
2,4.5,0,2,189,25.305,34.476,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,115131,26.88,29.92,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,0.0333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,0.01132376,0.01132376,0,"Brentford","Wolves",1,"Mark Flekken","GK",TRUE,0,1.46995028388386,-70.9298356674257,"M. Flekken",2,1,"Brentford",2
3,5,0,4,189,26.88,29.92,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 127, 36, 38, 216, 218)",TRUE,115131,68.04,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0666666666666667,2818876383,0,56,140,141,213,178,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","64.8","5.5","5.72",NA,"48.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,0.01132376,0.0174506,0.00612684,"Brentford","Wolves",1,"Mark Flekken","GK",TRUE,30.4592314032057,0,-32.4585804091431,"M. Flekken",3,1,"Brentford",3
4,6,0,7,189,67.305,3.536,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 37, 217, 218)",TRUE,470031,74.76,5.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116666666666667,2818876385,0,56,140,141,213,NA,212,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","71.2","7.6","0.22",NA,"7.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,NA,NA,NA,"Brentford","Wolves",33,"Michael Kayode","DR",TRUE,6.68408105838107,0,12.3480259919354,"M. Kayode",4,1,"Brentford",4
5,5,0,9,161,30.03,64.056,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 37, 216, 218)",TRUE,403693,37.38,64.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2818876399,0,56,140,141,213,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","35.6","94.6","0.04",NA,"7.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,NA,NA,NA,"Wolves","Brentford",8,"Joao Gomes","MC",TRUE,6.66071101254806,0,2.11936646903901,"J. Gomes",5,1,"Brentford",5
6,7,0,10,189,65.1,5.78,"FirstHalf","BallTouch","Unsuccessful",NA,NA,NA,"c(91, 69)",TRUE,470031,65.1,5.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2818876401,0,56,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,NA,NA,NA,"Brentford","Wolves",33,"Michael Kayode","DR",TRUE,0,0,0,"M. Kayode",6,1,"Brentford",6
7,6,0,11,161,26.355,60.044,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 36, 38, 216, 218)",TRUE,403693,39.795,56.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183333333333333,2818876417,0,56,140,141,213,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","37.9","83.4","6.04",NA,"13.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,NA,NA,NA,"Wolves","Brentford",8,"Joao Gomes","MC",TRUE,13.7979120674563,0,-13.923843848479,"J. Gomes",7,1,"Brentford",7
8,9,0,13,189,60.69,11.764,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,101856,44.73,7.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216666666666667,2818876433,0,56,140,141,213,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back","42.6","11.1","3.40",NA,"16.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,0.01870347,0.01248344,-0.00622003,"Brentford","Wolves",6,"Christian Norgaard","DMC",TRUE,-16.24294394891,0,-165.202731219182,"C. Norgaard",8,1,"Brentford",8
9,10,0,16,189,43.89,8.092,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 38, 216, 218)",TRUE,372724,57.96,2.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666666666667,2818876451,0,56,140,141,213,178,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right","55.2","3.8","5.91",NA,"15.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,0.01248344,0.01473596,0.00225252,"Brentford","Wolves",22,"Nathan Collins","DC",TRUE,9.80899366681097,0,-21.3789130552656,"N. Collins",9,1,"Brentford",9
10,11,0,18,189,56.28,2.516,"FirstHalf","Dispossessed","Successful",NA,NA,NA,"c(91, 70)",TRUE,296240,56.28,2.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2818876453,0,56,NA,NA,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 00:01:05",31382,"Molineux Stadium","Craig Pawson","1 : 1",161,189,NA,NA,NA,"Brentford","Wolves",11,"Yoane Wissa","FW",TRUE,0,0,0,"Y. Wissa",10,1,"Brentford",10
