epoch,loss,hits5_tr,hits5_val
1,0.492137,0.488494,0.476281
2,0.472330,0.504184,0.483871
3,0.462448,0.439331,0.451613
4,0.461565,0.512552,0.495256
5,0.457311,0.495816,0.480076
6,0.457142,0.491632,0.468691
7,0.458332,0.459205,0.466793
8,0.454124,0.529289,0.500949
9,0.454891,0.524059,0.516129
10,0.455013,0.493724,0.476281
11,0.456035,0.506276,0.493359
12,0.455393,0.504184,0.499051
13,0.450235,0.482218,0.493359
1,0.491544,0.475941,0.472486
2,0.473818,0.490586,0.461101
3,0.463358,0.497908,0.487666
4,0.458700,0.514644,0.521822
5,0.456511,0.511506,0.525617
6,0.457569,0.513598,0.464896
7,0.457096,0.519874,0.500949
8,0.456789,0.496862,0.481973
9,0.456076,0.488494,0.470588
10,0.454957,0.513598,0.491461
11,0.453755,0.479079,0.487666
12,0.453951,0.507322,0.487666
13,0.453107,0.500000,0.500949
14,0.452811,0.500000,0.491461
15,0.454913,0.519874,0.506641
16,0.452346,0.526151,0.518027
17,0.452236,0.455021,0.445920
18,0.453695,0.501046,0.489564
19,0.451003,0.509414,0.529412
20,0.451546,0.502092,0.512334
21,0.452764,0.511506,0.508539
22,0.452383,0.541841,0.555977
23,0.451649,0.486402,0.487666
24,0.449790,0.497908,0.500949
25,0.449184,0.517782,0.550285
26,0.450141,0.492678,0.500949
27,0.451030,0.440377,0.453510
28,0.450667,0.474895,0.459203
29,0.449356,0.502092,0.500949
30,0.450269,0.530335,0.527514
