epoch,loss,hits5_tr,hits5_val
1,0.462979,0.466883,0.468060
2,0.454571,0.509196,0.519452
3,0.453581,0.506912,0.508886
4,0.449855,0.506671,0.511287
5,0.449389,0.506070,0.500240
6,0.448474,0.493449,0.503122
7,0.447125,0.500301,0.500961
8,0.446964,0.499820,0.504323
9,0.446984,0.511961,0.508165
10,0.445001,0.532276,0.538184
11,0.444357,0.488881,0.492075
12,0.445258,0.508955,0.509126
13,0.444992,0.520255,0.516811
14,0.444165,0.520495,0.513208
15,0.443769,0.522539,0.519452
16,0.443361,0.524342,0.524256
17,0.443101,0.507753,0.507445
18,0.443225,0.528790,0.525937
19,0.442138,0.531554,0.534822
20,0.442053,0.525544,0.527858
21,0.443620,0.503907,0.500961
22,0.443448,0.496213,0.488232
23,0.441785,0.507874,0.509126
24,0.442134,0.508114,0.506724
25,0.441377,0.510999,0.507445
26,0.440770,0.506311,0.519212
27,0.442217,0.477341,0.475024
28,0.441483,0.522298,0.529539
29,0.441347,0.507273,0.506484
30,0.441449,0.510999,0.508886
