epoch,loss,hits5_tr,hits5_val
1,0.454759,0.517851,0.505283
2,0.445210,0.536603,0.525696
3,0.442477,0.519534,0.511527
4,0.441232,0.541531,0.529299
5,0.438384,0.534559,0.519693
6,0.438687,0.553552,0.547791
7,0.437403,0.550307,0.559558
8,0.436530,0.557519,0.548511
9,0.434866,0.540450,0.523775
10,0.436640,0.545859,0.538665
11,0.435258,0.553672,0.539145
12,0.434882,0.542734,0.532661
13,0.435755,0.536122,0.530259
14,0.434587,0.548984,0.544669
15,0.434035,0.538887,0.523535
16,0.435734,0.541652,0.535303
17,0.433905,0.522539,0.520653
18,0.433246,0.548143,0.540346
19,0.432962,0.539007,0.530259
20,0.432545,0.527467,0.528338
21,0.432476,0.537444,0.524976
22,0.432353,0.540209,0.528578
23,0.432483,0.543455,0.531220
24,0.432871,0.545138,0.530500
25,0.433355,0.547542,0.540346
26,0.431867,0.546219,0.537944
27,0.433092,0.538646,0.526897
28,0.432200,0.544416,0.542747
29,0.432312,0.531554,0.525456
30,0.430947,0.546460,0.539625
