epoch,loss,hits5_tr,hits5_val
1,0.461539,0.452659,0.444149
2,0.451817,0.521545,0.506044
3,0.449793,0.519239,0.499758
4,0.447295,0.516285,0.512573
5,0.445564,0.525004,0.514507
6,0.444734,0.506485,0.495406
7,0.444236,0.510376,0.502418
8,0.442677,0.521329,0.510155
9,0.442431,0.519239,0.503868
10,0.441622,0.547557,0.531673
11,0.441396,0.504107,0.491779
12,0.440627,0.498847,0.495648
13,0.440129,0.534155,0.524178
14,0.440030,0.543882,0.532640
15,0.440299,0.525220,0.512814
16,0.439639,0.538334,0.527321
17,0.439750,0.522049,0.508704
18,0.439409,0.528678,0.518617
19,0.439176,0.531273,0.516925
20,0.438847,0.535092,0.521035
21,0.439348,0.533506,0.517408
22,0.438364,0.514123,0.498308
23,0.438761,0.536028,0.529255
24,0.438936,0.531417,0.516199
25,0.438420,0.541432,0.526354
26,0.439158,0.523995,0.499758
27,0.438792,0.542874,0.528046
28,0.437669,0.528534,0.503627
29,0.438537,0.525004,0.509671
30,0.438379,0.534587,0.518375
