epoch,loss,hits5_tr,hits5_val
1,0.459821,0.484003,0.473888
2,0.452417,0.513475,0.506044
3,0.450651,0.492722,0.483075
4,0.448708,0.520968,0.503143
5,0.447064,0.500000,0.484768
6,0.445086,0.524139,0.507253
7,0.444403,0.510232,0.507253
8,0.445019,0.521977,0.516683
9,0.443940,0.513691,0.502418
10,0.444128,0.499351,0.485977
11,0.443881,0.512898,0.510397
12,0.443050,0.503459,0.486460
13,0.443403,0.512394,0.496132
14,0.443137,0.521401,0.506286
15,0.442587,0.492290,0.473888
16,0.442385,0.508214,0.493714
17,0.442062,0.530336,0.511364
18,0.442190,0.499640,0.488395
19,0.441358,0.503603,0.491538
20,0.441583,0.523851,0.512089
21,0.441422,0.514988,0.499275
22,0.441357,0.511241,0.500000
23,0.441219,0.501729,0.481141
24,0.441767,0.521833,0.508221
25,0.441375,0.525652,0.500967
26,0.440728,0.520968,0.503627
27,0.440866,0.511313,0.498791
28,0.440977,0.508647,0.492021
29,0.440153,0.517798,0.511364
30,0.440114,0.516213,0.501934
