epoch,loss,hits5_tr,hits5_val
1,0.467199,0.501591,0.556797
2,0.454478,0.563972,0.588454
3,0.453607,0.537237,0.573557
4,0.450471,0.521324,0.543762
5,0.446376,0.488861,0.515829
6,0.443204,0.556970,0.595903
7,0.445345,0.573520,0.603352
8,0.442144,0.539147,0.527002
9,0.441784,0.570974,0.599628
10,0.440014,0.558243,0.575419
11,0.441158,0.581795,0.597765
12,0.440350,0.558880,0.582868
13,0.438434,0.558243,0.553073
14,0.437757,0.550605,0.579143
15,0.437786,0.564609,0.584730
16,0.437164,0.548059,0.556797
17,0.436685,0.558243,0.553073
18,0.434594,0.584341,0.581006
19,0.435550,0.553151,0.560521
20,0.432662,0.548059,0.545624
21,0.434510,0.560153,0.560521
22,0.433975,0.556970,0.597765
23,0.432465,0.558880,0.558659
24,0.433873,0.582432,0.540037
25,0.429673,0.541693,0.567970
26,0.432520,0.546785,0.560521
27,0.432290,0.569064,0.601490
28,0.430118,0.573520,0.566108
29,0.429606,0.538511,0.549348
30,0.428920,0.577339,0.564246
1,0.451101,0.538406,0.515716
2,0.443135,0.521040,0.495648
3,0.440422,0.553682,0.536750
4,0.438278,0.514700,0.492263
5,0.437513,0.540424,0.516925
6,0.437243,0.544243,0.519342
7,0.436888,0.531561,0.505077
8,0.435558,0.546765,0.526112
9,0.436045,0.543666,0.521277
10,0.434452,0.545684,0.524178
11,0.435158,0.542729,0.527563
12,0.435601,0.552889,0.530464
13,0.434132,0.549431,0.533366
14,0.433525,0.564635,0.539894
15,0.433373,0.545396,0.529497
16,0.432311,0.540856,0.518133
17,0.431922,0.544819,0.524420
18,0.432229,0.556636,0.528772
19,0.431962,0.558005,0.522969
20,0.431818,0.534227,0.521518
21,0.431865,0.535380,0.514507
22,0.430231,0.533362,0.515474
23,0.431552,0.551016,0.525870
24,0.430756,0.546909,0.528288
25,0.431360,0.541649,0.524662
26,0.429649,0.550872,0.519826
27,0.430213,0.542297,0.514507
28,0.430152,0.535164,0.513056
29,0.430549,0.548782,0.525145
30,0.429572,0.553970,0.531915
