epoch,loss,hits5_tr,hits5_val
1,0.499437,0.435393,0.385366
2,0.480601,0.485955,0.439024
3,0.476602,0.488764,0.409756
1,0.499038,0.424157,0.403509
2,0.482060,0.494382,0.333333
3,0.476882,0.460674,0.429825
4,0.472178,0.514045,0.385965
5,0.471957,0.488764,0.412281
6,0.473053,0.508427,0.368421
7,0.470635,0.511236,0.456140
8,0.467046,0.457865,0.456140
9,0.465633,0.508427,0.403509
10,0.462590,0.497191,0.394737
11,0.464132,0.500000,0.429825
12,0.460869,0.511236,0.456140
13,0.460075,0.494382,0.447368
14,0.456005,0.449438,0.412281
15,0.459791,0.463483,0.429825
16,0.458823,0.514045,0.412281
17,0.460929,0.502809,0.421053
18,0.461307,0.505618,0.412281
19,0.456360,0.471910,0.421053
20,0.459459,0.494382,0.456140
21,0.453457,0.494382,0.464912
22,0.457014,0.483146,0.438596
23,0.457614,0.502809,0.447368
24,0.454851,0.497191,0.421053
25,0.457866,0.522472,0.447368
26,0.457460,0.530899,0.456140
27,0.459269,0.477528,0.438596
28,0.457336,0.491573,0.412281
29,0.454561,0.519663,0.482456
30,0.455615,0.550562,0.438596
1,0.478497,0.513444,0.479167
2,0.459197,0.501551,0.467949
3,0.457727,0.496898,0.459936
4,0.453526,0.522234,0.483974
5,0.452587,0.521200,0.491987
6,0.452989,0.533092,0.485577
7,0.451736,0.532575,0.488782
8,0.451510,0.532575,0.493590
9,0.449684,0.522751,0.511218
10,0.451018,0.549638,0.506410
11,0.449357,0.536194,0.496795
12,0.449751,0.503102,0.512821
13,0.448289,0.483971,0.445513
14,0.446911,0.539814,0.512821
15,0.446724,0.514995,0.491987
16,0.446673,0.512927,0.498397
17,0.447549,0.544984,0.503205
18,0.446802,0.523785,0.503205
19,0.445212,0.529473,0.493590
20,0.447636,0.528438,0.501603
21,0.445148,0.547053,0.512821
22,0.446176,0.500000,0.475962
23,0.445799,0.531024,0.517628
24,0.443789,0.544984,0.500000
25,0.446127,0.524819,0.483974
26,0.443959,0.556877,0.519231
27,0.442871,0.551706,0.503205
28,0.443170,0.528438,0.488782
29,0.444411,0.518097,0.500000
30,0.443232,0.519131,0.487179
31,0.443640,0.527404,0.491987
32,0.442800,0.536194,0.511218
33,0.444209,0.504654,0.466346
34,0.442094,0.499483,0.467949
35,0.440507,0.546019,0.501603
36,0.439990,0.516546,0.503205
37,0.442663,0.535160,0.524038
38,0.441024,0.532575,0.496795
39,0.440980,0.527921,0.504808
40,0.441839,0.532058,0.490385
